sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tags_observed,front_observed,rear_observed,tag_ids_observed,layer1_usable_count,unique_usable_tags,usable_front_count,usable_rear_count,layer1_gated_out,pass1_x_m,pass1_y_m,pass1_heading_deg,final_x_m,final_y_m,final_heading_deg,final_position_error_cm,final_heading_error_deg,distance_components_cut_count,distance_components_cut_tags,angle_components_cut_count,yaw_admitted_count,yaw_keep_count,yaw_flip_count,yaw_flip_tags,collection_conclusion,collection_notes,tag_id,camera_role,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_keep_error_deg,yaw_flip_error_deg,yaw_best_mode,yaw_best_error_deg,yaw_gain_deg,yaw_separation_deg,yaw_quantized_deg,yaw_diagnostic_decision,layer1_tag_usable_inferred,distance_component_cut,yaw_admitted_inferred,yaw_flip_inferred
1,2.0,1.5,65.0,295.0,7,5,2,35|36|37|38|39|44|45,7,7,5,2,0,1.976,1.488,65.9,1.991,1.482,65.8,2.0,0.8,1,37,0,5,4,1,35,KEEP,,35,front,5.071,5.03,0.041,19.4,18.6,0.8,-49.9,43.6,-93.5,-93.5,6.3,flip,6.3,87.2,87.2,43.6,accept_flip_quantized,True,False,True,True
1,2.0,1.5,65.0,295.0,7,5,2,35|36|37|38|39|44|45,7,7,5,2,0,1.976,1.488,65.9,1.991,1.482,65.8,2.0,0.8,1,37,0,5,4,1,35,KEEP,,36,front,4.043,4.049,-0.006,13.6,13.4,0.2,34.6,38.4,-3.7,-3.7,-73.0,keep,-3.7,-69.3,69.3,38.4,accept_keep_quantized,True,False,True,False
1,2.0,1.5,65.0,295.0,7,5,2,35|36|37|38|39|44|45,7,7,5,2,0,1.976,1.488,65.9,1.991,1.482,65.8,2.0,0.8,1,37,0,5,4,1,35,KEEP,,37,front,4.008,3.968,0.04,-3.0,-1.6,-1.4,19.8,23.4,-3.5,-3.5,-43.2,keep,-3.5,-39.7,39.7,23.4,accept_keep_quantized,True,True,True,False
1,2.0,1.5,65.0,295.0,7,5,2,35|36|37|38|39|44|45,7,7,5,2,0,1.976,1.488,65.9,1.991,1.482,65.8,2.0,0.8,1,37,0,5,4,1,35,KEEP,,38,front,3.684,3.693,-0.009,-15.9,-15.5,-0.4,12.1,9.5,2.6,2.6,-21.6,keep,2.6,-19.0,19.0,9.5,accept_keep_quantized,True,False,True,False
1,2.0,1.5,65.0,295.0,7,5,2,35|36|37|38|39|44|45,7,7,5,2,0,1.976,1.488,65.9,1.991,1.482,65.8,2.0,0.8,1,37,0,5,4,1,35,KEEP,,39,front,3.611,3.659,-0.048,-26.1,-30.5,4.4,21.6,-5.5,27.1,27.1,-16.0,flip,-16.0,11.0,11.0,,reject_edge,True,False,False,False
1,2.0,1.5,65.0,295.0,7,5,2,35|36|37|38|39|44|45,7,7,5,2,0,1.976,1.488,65.9,1.991,1.482,65.8,2.0,0.8,1,37,0,5,4,1,35,KEEP,,44,rear,0.988,1.043,-0.054,22.9,21.1,1.8,-40.6,-43.9,3.3,3.3,84.5,keep,3.3,-81.1,81.1,,reject_edge,True,False,False,False
1,2.0,1.5,65.0,295.0,7,5,2,35|36|37|38|39|44|45,7,7,5,2,0,1.976,1.488,65.9,1.991,1.482,65.8,2.0,0.8,1,37,0,5,4,1,35,KEEP,,45,rear,1.317,1.364,-0.046,-11.9,-12.6,0.7,-2.3,12.4,-14.7,-14.7,-10.0,flip,-10.0,4.7,4.7,,reject_edge,True,False,False,False
2,2.0,2.5,295.0,290.0,7,5,2,45|46|47|48|49|39|41,6,6,4,2,front_abs_angle_gt_30deg=1,1.942,2.47,296.6,1.949,2.5,296.5,5.1,1.5,3,48|39|41,0,5,5,0,,KEEP,,45,front,2.346,2.376,-0.029,34.8,33.4,1.4,24.9,8.4,16.5,16.5,-33.3,keep,16.5,-16.8,16.8,,reject_edge,False,False,False,False
2,2.0,2.5,295.0,290.0,7,5,2,45|46|47|48|49|39|41,6,6,4,2,front_abs_angle_gt_30deg=1,1.942,2.47,296.6,1.949,2.5,296.5,5.1,1.5,3,48|39|41,0,5,5,0,,KEEP,,46,front,2.418,2.426,-0.008,10.2,10.6,-0.4,-17.6,-14.4,-3.2,-3.2,32.0,keep,-3.2,-28.8,28.8,-14.4,accept_keep_quantized,True,False,True,False
2,2.0,2.5,295.0,290.0,7,5,2,45|46|47|48|49|39|41,6,6,4,2,front_abs_angle_gt_30deg=1,1.942,2.47,296.6,1.949,2.5,296.5,5.1,1.5,3,48|39|41,0,5,5,0,,KEEP,,47,front,2.834,2.817,0.016,-9.7,-8.5,-1.2,-34.0,-33.5,-0.5,-0.5,67.4,keep,-0.5,-66.9,66.9,-33.5,accept_keep_quantized,True,False,True,False
