sample_uid,observation_uid,tag_id,camera_role,sample_observation_count,retained_observation_count,candidate_fit_success,current_stage5_rejected,current_stage5_survived,gt_distance_error_m,gt_abs_distance_error_m,gt_angle_error_deg,gt_abs_angle_error_deg,gt_distance_villain_gt8cm,gt_angle_villain_gt8deg,gt_any_da_villain,holdout_fit_x_m,holdout_fit_y_m,holdout_fit_heading_deg,heldout_predicted_distance_m,heldout_distance_residual_m,heldout_normalized_distance_residual,heldout_predicted_angle_deg,heldout_angle_residual_deg,heldout_normalized_angle_residual,heldout_H_score,retained_C_rms,retained_C_max,H_over_C,H_minus_C,H_over_1plus_C,sample_rank_heldout_H_score,sample_rank_H_over_C,sample_rank_H_minus_C,sample_rank_H_over_1plus_C,global_rank_heldout_H_score,global_percentile_heldout_H_score,global_rank_H_over_C,global_percentile_H_over_C,global_rank_H_minus_C,global_percentile_H_minus_C,global_rank_H_over_1plus_C,global_percentile_H_over_1plus_C
repeat10_s006,repeat10_s006_o037,40,front,6,5,True,Y,N,-0.15,0.15,4.0,4.0,Y,N,Y,5.003111032656664,2.027365192863237,114.99212775573928,4.602411513939742,0.1374115139397425,2.74823027879485,-30.221121647393034,-4.321121647393028,-1.2221977676814384,2.126797715887704,0.33522257587719745,0.48978464969543034,6.3444346202590385,1.7915751400105067,1.5928413391980494,1,1,1,1,4,0.9845360824742269,4,0.9845360824742269,4,0.9845360824742269,4,0.9845360824742269
main29_s017,main29_s017_o112,51,front,5,4,True,Y,N,-0.097,0.097,6.9,6.9,Y,N,Y,6.033370439676741,4.024578223769301,261.23798112465676,3.8335141482268464,0.10651414822684657,2.1302829645369314,-31.35888133198955,-4.958881331989545,-1.4025834467796747,1.8035168191864208,0.3734799179521768,0.4423624083253827,4.8289525955646075,1.430036901234244,1.3131002467625577,1,1,1,1,9,0.9587628865979382,12,0.9432989690721649,6,0.9742268041237113,6,0.9742268041237113
main29_s018,main29_s018_o114,31,front,4,3,True,N,Y,-0.105,0.105,2.1,2.1,Y,N,Y,7.006609839862716,1.068274509462807,25.69809864499905,4.122936626178084,0.05193662617808403,1.0387325235616807,-19.213911983659187,-0.8139119836591817,-0.3255647934636727,0.7697264742257023,0.21026236253107844,0.265114476269413,3.6607905711700095,0.5594641116946238,0.635999679124068,1,1,1,1,93,0.5257731958762887,19,0.9072164948453608,49,0.7525773195876289,63,0.6804123711340206
main29_s013,main29_s013_o084,40,front,6,5,True,N,Y,-0.129,0.129,4.8,4.8,Y,N,Y,4.953395453662435,1.9757358092604518,115.45655924993562,4.591365350722761,0.10536535072276099,2.1073070144552197,-28.868743148195648,-3.6687431481956594,-1.0376772634083336,1.6609510763666067,0.4982518136540042,0.740265894825542,3.3335575121860037,1.1626992627126025,1.108592735366563,1,1,1,1,15,0.9278350515463918,23,0.8865979381443299,11,0.9484536082474226,12,0.9432989690721649
main29_s004,main29_s004_o022,47,front,6,5,True,N,Y,0.154,0.154,-3.5,3.5,Y,N,Y,1.9517694364846294,3.989693913898446,289.1043518762463,4.160685713989827,-0.14531428601017282,-2.9062857202034564,-3.61947186120733,1.8805281387926698,0.7522112555170679,2.1227715916208565,0.7008569955768706,1.0617389085558882,3.0288227199239377,1.4219145960439858,1.2480600057154643,1,1,1,1,5,0.979381443298969,29,0.8556701030927836,7,0.9690721649484536,8,0.9639175257731959
main29_s011,main29_s011_o068,46,front,5,4,True,N,Y,-0.093,0.093,4.8,4.8,Y,N,Y,4.014196215849181,3.9603604385360076,219.78871404981155,4.054715345085148,0.05971534508514775,1.194306901702955,-30.83952540905335,-4.639525409053363,-1.3122559512915695,1.254668214540293,0.4836999015562174,0.7136142361703725,2.593898015078407,0.7709683129840756,0.8456347629492336,2,1,1,1,35,0.8247422680412371,36,0.8195876288659794,32,0.8402061855670103,33,0.8350515463917526
repeat10_s005,repeat10_s005_o028,40,front,7,6,True,N,Y,-0.206,0.206,1.2,1.2,Y,N,Y,4.9607493556141735,1.0311580701909142,115.44362541579923,5.204443197599912,0.15644319759991188,2.617795397100358,-20.451195122660096,-0.6511951226600843,-0.2604780490640337,1.8602018109769738,0.775108564541555,1.204305738021807,2.39992421200662,1.0850932464354188,1.047936925174712,2,2,2,2,6,0.9742268041237113,40,0.7989690721649485,17,0.9175257731958762,17,0.9175257731958762
main29_s012,main29_s012_o075,40,front,6,5,True,Y,N,-0.142,0.142,1.9,1.9,Y,N,Y,4.984949584210172,0.9682345449899123,116.60997030485285,5.265315411609394,0.15231541160939344,2.548724326373275,-18.964999371561703,0.0350006284382971,0.01400025137531884,1.8022474440105993,0.7744102068797704,0.9377937846081497,2.327251665847948,1.027837237130829,1.0156881633248604,1,1,1,1,10,0.9536082474226804,43,0.7835051546391752,18,0.9123711340206185,19,0.9072164948453608
main29_s001,main29_s001_o004,38,front,5,4,True,N,Y,-0.099,0.099,-0.2,0.2,Y,N,Y,2.0206235105229,0.9948831924888563,59.54915386947755,4.190805469908422,0.10080546990842176,2.0161093981684353,-22.419709984278654,-0.5197099842786486,-0.20788399371145944,1.4331630856648025,1.0080758810337165,1.6350336180300677,1.4216817529600914,0.42508720463108607,0.7136996660340542,3,3,3,3,20,0.9020618556701031,83,0.5773195876288659,65,0.6701030927835052,51,0.7422680412371134
main29_s029,main29_s029_o174,49,front,5,4,True,N,Y,0.115,0.115,1.7,1.7,Y,N,Y,9.054409743876128,4.012894079459911,246.20042126156366,5.261195363349234,-0.06780463665076564,-1.1345885819872585,18.963944864099744,-0.13605513590024998,-0.05442205436009999,0.8031976750391623,0.7578239086673674,1.0140850604108163,1.0598737593956156,0.04537376637179491,0.45692726733252736,4,4,4,4,87,0.5567010309278351,115,0.41237113402061853,116,0.4072164948453608,94,0.5206185567010309
main29_s029,main29_s029_o178,58,rear,5,4,True,N,Y,-0.091,0.091,-1.0,1.0,Y,N,Y,9.076265545613502,4.0022356912519825,245.90290552420666,0.7517347524217082,0.04473475242170821,0.8946950484341643,10.433050371691763,-2.4669496283082424,-0.6977587244089565,0.8022924863107673,0.7767170383877299,1.0023115683377655,1.0329276257105493,0.025575447923037453,0.4515589533822461,5,5,5,5,88,0.5515463917525774,120,0.38659793814432986,118,0.3969072164948454,96,0.5103092783505154
repeat10_s005,repeat10_s005_o027,39,front,7,6,True,N,Y,-0.132,0.132,-0.3,0.3,Y,N,Y,4.943636201690857,1.0328141741755283,115.73004815551228,5.2386609341338115,0.0716609341338117,1.1991167810770305,-12.597088150003628,1.3029118499963772,0.5211647399985508,0.9245252135226751,0.9846402524775977,1.692436775504874,0.9389472055365823,-0.06011503895492254,0.4658402006955722,3,3,3,3,75,0.6185567010309279,132,0.32474226804123707,136,0.3041237113402062,92,0.5309278350515464
