sample_uid,observation_uid,tag_id,camera_role,sample_observation_count,retained_observation_count,candidate_fit_success,current_stage5_rejected,current_stage5_survived,gt_distance_error_m,gt_abs_distance_error_m,gt_angle_error_deg,gt_abs_angle_error_deg,gt_distance_villain_gt8cm,gt_angle_villain_gt8deg,gt_any_da_villain,holdout_fit_x_m,holdout_fit_y_m,holdout_fit_heading_deg,heldout_predicted_distance_m,heldout_distance_residual_m,heldout_normalized_distance_residual,heldout_predicted_angle_deg,heldout_angle_residual_deg,heldout_normalized_angle_residual,heldout_H_score,retained_C_rms,retained_C_max,H_over_C,H_minus_C,H_over_1plus_C,sample_rank_heldout_H_score,sample_rank_H_over_C,sample_rank_H_minus_C,sample_rank_H_over_1plus_C,global_rank_heldout_H_score,global_percentile_heldout_H_score,global_rank_H_over_C,global_percentile_H_over_C,global_rank_H_minus_C,global_percentile_H_minus_C,global_rank_H_over_1plus_C,global_percentile_H_over_1plus_C
main29_s010,main29_s010_o062,48,front,3,2,True,N,Y,-0.024,0.024,5.9,5.9,N,N,N,3.7291243830577554,3.102537086066163,257.6568574838269,3.056090706950963,0.18109070695096285,3.621814139019257,-27.5695432395205,-2.669543239520493,-1.0678172958081973,2.6699973253569875,0.10049956872202673,0.10124457723854331,26.56725157440201,2.5694977566349606,2.426168443171283,1,1,1,1,3,0.9896907216494846,1,1.0,2,0.9948453608247423,1,1.0
main29_s001,main29_s001_o006,45,rear,5,4,True,N,Y,-0.05,0.05,1.8,1.8,N,N,N,1.897391499552116,1.0714122565281703,57.59849829587991,0.9259911342802283,0.09299113428022832,1.8598226856045663,-21.11674345130473,-11.816743451304717,-4.726697380521887,3.5916993574714633,0.9097717870689804,1.3494089757268148,3.9479124419134517,2.681927570402483,1.8806955793308786,1,1,1,1,1,1.0,17,0.9175257731958762,1,1.0,2,0.9948453608247423
repeat10_s005,repeat10_s005_o031,49,rear,7,6,True,N,Y,-0.039,0.039,-0.3,0.3,N,N,N,4.84887192456344,1.0177998511668385,114.1990736228305,1.0287422678252405,0.13174226782524046,2.634845356504809,-10.145562303244333,-7.645562303244333,-3.0582249212977333,2.854395708546862,0.7229818855151567,1.1837745630403622,3.94808744967791,2.1314138230317052,1.656660312301207,1,1,1,1,2,0.9948453608247423,16,0.9226804123711341,3,0.9896907216494846,3,0.9896907216494846
repeat10_s006,repeat10_s006_o037,40,front,6,5,True,Y,N,-0.15,0.15,4.0,4.0,Y,N,Y,5.003111032656664,2.027365192863237,114.99212775573928,4.602411513939742,0.1374115139397425,2.74823027879485,-30.221121647393034,-4.321121647393028,-1.2221977676814384,2.126797715887704,0.33522257587719745,0.48978464969543034,6.3444346202590385,1.7915751400105067,1.5928413391980494,1,1,1,1,4,0.9845360824742269,4,0.9845360824742269,4,0.9845360824742269,4,0.9845360824742269
main29_s022,main29_s022_o141,51,rear,5,4,True,N,Y,-0.031,0.031,0.4,0.4,N,N,N,8.004998291667048,1.070661996467651,39.10869381450522,0.7431720431997707,0.08917204319977068,1.7834408639954136,-13.741540068985955,-4.641540068985961,-1.8566160275943844,1.8203961642028719,0.3410287090515991,0.45729615692080083,5.337955767024407,1.4793674551512728,1.3574624852664716,1,1,1,1,7,0.9690721649484536,7,0.9690721649484536,5,0.979381443298969,5,0.979381443298969
main29_s017,main29_s017_o112,51,front,5,4,True,Y,N,-0.097,0.097,6.9,6.9,Y,N,Y,6.033370439676741,4.024578223769301,261.23798112465676,3.8335141482268464,0.10651414822684657,2.1302829645369314,-31.35888133198955,-4.958881331989545,-1.4025834467796747,1.8035168191864208,0.3734799179521768,0.4423624083253827,4.8289525955646075,1.430036901234244,1.3131002467625577,1,1,1,1,9,0.9587628865979382,12,0.9432989690721649,6,0.9742268041237113,6,0.9742268041237113
main29_s003,main29_s003_o017,47,front,7,6,True,Y,N,-0.056,0.056,4.3,4.3,N,N,N,1.9651478591238762,2.9957935930080786,262.5854429839598,3.270125326773394,0.071125326773394,1.42250653546788,-37.08910100312653,-7.289101003126518,-2.061669099225771,1.7711584229186321,0.41863052004910184,0.575160084403729,4.230839220014083,1.3525279028695303,1.248498744308228,1,1,1,1,13,0.9381443298969072,15,0.9278350515463918,8,0.9639175257731959,7,0.9690721649484536
main29_s004,main29_s004_o022,47,front,6,5,True,N,Y,0.154,0.154,-3.5,3.5,Y,N,Y,1.9517694364846294,3.989693913898446,289.1043518762463,4.160685713989827,-0.14531428601017282,-2.9062857202034564,-3.61947186120733,1.8805281387926698,0.7522112555170679,2.1227715916208565,0.7008569955768706,1.0617389085558882,3.0288227199239377,1.4219145960439858,1.2480600057154643,1,1,1,1,5,0.979381443298969,29,0.8556701030927836,7,0.9690721649484536,8,0.9639175257731959
main29_s006,main29_s006_o036,48,front,5,4,True,Y,N,-0.045,0.045,4.5,4.5,N,N,N,2.9809194257771616,2.9933334947513885,263.11555502801866,3.232258369838177,0.049258369838176996,0.9851673967635399,-35.45249982550746,-6.752499825507471,-1.9098953666309246,1.5195813751037035,0.23145767440851683,0.31352180500774346,6.565266755517821,1.2881237006951867,1.233969633453765,1,1,1,1,17,0.9175257731958762,3,0.9896907216494846,10,0.9536082474226804,9,0.9587628865979382
repeat10_s007,repeat10_s007_o044,35,front,5,4,True,N,Y,-0.053,0.053,5.7,5.7,N,N,N,6.0508482632234495,1.985511468237886,64.30056895231017,3.2102553217367396,0.07625532173673966,1.5251064347347931,-36.157257668827924,-7.2572576688279185,-2.0526624441785186,1.808227411999166,0.5081906688110173,0.6818917029616378,3.558167284396948,1.3000367431881488,1.1989382041626626,1,1,1,1,8,0.9639175257731959,20,0.9020618556701031,9,0.9587628865979382,10,0.9536082474226804
main29_s028,main29_s028_o172,32,rear,4,3,True,N,Y,0.018,0.018,-2.4,2.4,N,N,N,9.07881523600744,3.069477088943027,291.24736843196723,2.1628408054159993,-0.061159194584000875,-1.2231838916800175,2.8770436650335967,-4.022956334966409,-1.6091825339865635,1.4292738122124973,0.28000551478347524,0.38608646901477306,5.104448793866567,1.149268297429022,1.1166153549379607,1,1,1,1,21,0.8969072164948454,11,0.9484536082474226,13,0.9381443298969072,11,0.9484536082474226
main29_s013,main29_s013_o084,40,front,6,5,True,N,Y,-0.129,0.129,4.8,4.8,Y,N,Y,4.953395453662435,1.9757358092604518,115.45655924993562,4.591365350722761,0.10536535072276099,2.1073070144552197,-28.868743148195648,-3.6687431481956594,-1.0376772634083336,1.6609510763666067,0.4982518136540042,0.740265894825542,3.3335575121860037,1.1626992627126025,1.108592735366563,1,1,1,1,15,0.9278350515463918,23,0.8865979381443299,11,0.9484536082474226,12,0.9432989690721649
main29_s016,main29_s016_o104,35,front,6,5,True,Y,N,-0.039,0.039,6.9,6.9,N,N,N,6.001315500884986,2.0384630094009584,65.457850913029,3.1488003565043474,0.0018003565043476222,0.036007130086952444,-34.27207445471828,-6.57207445471829,-1.8588633653576738,1.3146614629793396,0.18837063145730065,0.213579516008592,6.979121176208105,1.126290831522039,1.1062722589897467,1,1,1,1,30,0.8505154639175257,2,0.9948453608247423,15,0.9278350515463918,13,0.9381443298969072
