dataset_id,sample_uid,observation_uid,source_role,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,meas_distance_m,meas_angle_deg,meas_yaw_deg,yaw_sign_corrected_deg,distance_weight_default,angle_weight_default,yaw_weight_default,geometry_gate_pass,geometry_gate_reason,sample_quality_pass,yaw_use_offline_label,yaw_label_source,sample_tags_seen,sample_front_count,sample_rear_count,true_distance_m,distance_error_m,true_angle_deg,angle_error_deg,true_yaw_deg,yaw_error_deg,truth_label_abs_distance_error_gt8cm,truth_label_abs_angle_error_gt8deg,watch_tag40,clean_core_pass,screening_notes,step21_first_screen_rejected,step21_first_screen_reason
main29,main29_s001,main29_s001_o001,main_spatial_diversity,2.0,1.0,60.0,60.0,34,front,6.02,15.5,43.4,43.4,0,1,1,N,front_too_far_gt5p5,Y,Y,offline_truth_diagnostic_keep_flip,6,5,1,6.06,-0.04,16.9,-1.4,46.9,-3.4,N,N,N,N,front_too_far_gt5p5,True,front_too_far_gt5p5
main29,main29_s005,main29_s005_o030,main_spatial_diversity,3.0,2.0,65.0,65.0,58,front,6.883,43.6,38.7,,0,0,0,N,front_too_far_gt5p5,Y,N,not_accepted_offline,7,5,2,7.025,-0.142,42.9,0.7,-22.1,60.7,Y,N,N,N,front_too_far_gt5p5;truth_dist_outlier_gt8cm,True,front_edge_abs_angle_gt30
main29,main29_s007,main29_s007_o039,main_spatial_diversity,3.0,4.0,280.0,280.0,43,front,2.826,44.0,-62.0,,1,0,0,N,front_edge_abs_angle_gt30,Y,N,not_accepted_offline,8,7,1,2.845,-0.019,49.1,-5.0,-50.9,-11.1,N,N,N,N,front_edge_abs_angle_gt30,True,front_edge_abs_angle_gt30
main29,main29_s007,main29_s007_o040,main_spatial_diversity,3.0,4.0,280.0,280.0,44,front,3.652,35.8,-63.2,,1,0,0,N,front_edge_abs_angle_gt30,Y,N,not_accepted_offline,8,7,1,3.7,-0.048,39.0,-3.2,-61.0,-2.2,N,N,N,N,front_edge_abs_angle_gt30,True,front_edge_abs_angle_gt30
main29,main29_s008,main29_s008_o047,main_spatial_diversity,4.0,1.0,115.0,115.0,36,front,3.676,37.1,-32.9,,1,0,0,N,front_edge_abs_angle_gt30,Y,N,not_accepted_offline,6,5,1,3.716,-0.04,33.7,3.4,8.7,-41.6,N,N,N,N,front_edge_abs_angle_gt30,True,front_edge_abs_angle_gt30
main29,main29_s010,main29_s010_o059,main_spatial_diversity,4.0,3.0,250.0,250.0,44,front,3.464,35.0,40.8,,1,0,0,N,front_edge_abs_angle_gt30,Y,N,not_accepted_offline,5,4,1,3.557,-0.093,31.0,4.0,-39.0,79.8,Y,N,N,N,front_edge_abs_angle_gt30;truth_dist_outlier_gt8cm,True,front_edge_abs_angle_gt30
main29,main29_s011,main29_s011_o064,main_spatial_diversity,4.0,4.0,220.0,220.0,41,front,2.734,36.0,-29.8,,1,0,0,N,front_edge_abs_angle_gt30,Y,N,not_accepted_offline,7,5,2,2.771,-0.037,34.4,1.5,-5.6,-24.3,N,N,N,N,front_edge_abs_angle_gt30,True,front_edge_abs_angle_gt30
main29,main29_s012,main29_s012_o071,main_spatial_diversity,5.0,1.0,115.0,115.0,35,front,4.107,35.0,23.9,,1,0,0,N,front_edge_abs_angle_gt30,Y,N,not_accepted_offline,8,7,1,4.174,-0.067,32.1,2.9,7.1,16.8,N,N,N,N,front_edge_abs_angle_gt30,True,front_edge_abs_angle_gt30
main29,main29_s012,main29_s012_o077,main_spatial_diversity,5.0,1.0,115.0,115.0,42,front,4.085,-30.4,37.9,,1,0,0,N,front_edge_abs_angle_gt30,Y,N,not_accepted_offline,8,7,1,4.126,-0.042,-40.7,10.3,24.3,13.5,N,Y,N,N,front_edge_abs_angle_gt30;truth_angle_outlier_gt8deg,True,front_edge_abs_angle_gt30
main29,main29_s013,main29_s013_o079,main_spatial_diversity,5.0,2.0,115.0,115.0,35,front,3.147,37.0,28.4,,1,0,0,N,front_edge_abs_angle_gt30,Y,N,not_accepted_offline,9,7,2,3.184,-0.037,34.3,2.7,9.3,19.1,N,N,N,N,front_edge_abs_angle_gt30,True,front_edge_abs_angle_gt30
