sample_uid,gt_x_m,gt_y_m,gt_heading_deg,observation_count,success,failure_reason,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,signed_heading_error_deg,abs_heading_error_deg,within_5cm,within_10cm,within_20cm,within_5deg,within_10deg,within_20deg,within_10cm_10deg,within_20cm_20deg,iterations,runtime_ms,objective_value,tag_count_input,tag_count_used,tag_count_rejected,tags_input,tags_used,tags_rejected
main29_s001,2.0,1.0,60.0,5,True,,2.012496119636617,1.0195541093616312,59.772944436097625,0.02320595179903809,-0.22705556390238257,0.22705556390238257,True,True,True,True,True,True,True,True,79,10.712999996030703,4.858239255857859,5,5,0,36;37;38;39;45,36;37;38;39;45,
main29_s002,2.0,2.0,70.0,6,True,,2.0273005543499134,2.014521233753247,70.80143271452341,0.0309222654009861,0.8014327145234006,0.8014327145234006,True,True,True,True,True,True,True,True,60,8.158299999195151,1.3325300891559633,6,6,0,36;37;38;39;44;45,36;37;38;39;44;45,
main29_s003,2.0,3.0,265.0,7,True,,2.0020268139917077,2.9860819632432825,262.84883361272597,0.014064839925087048,-2.1511663872740314,2.1511663872740314,True,True,True,True,True,True,True,True,58,8.326499999384396,2.7492172832420207,7,7,0,43;44;45;46;47;38;39,43;44;45;46;47;38;39,
main29_s004,2.0,4.0,290.0,6,True,,1.9339773752528007,4.013788258905508,288.78697281274094,0.06744703894282393,-1.2130271872590583,1.2130271872590583,False,True,True,True,True,True,True,True,64,8.631599994259886,5.898927506955034,6,6,0,45;46;47;48;49;39,45;46;47;48;49;39,
main29_s005,3.0,2.0,65.0,6,True,,2.9774791256760165,2.0265755701671155,65.64996675649122,0.034834619418388106,0.6499667564912102,0.6499667564912102,True,True,True,True,True,True,True,True,64,8.430099987890571,0.923935183498929,6,5,0,35;36;37;38;45;46,35;36;37;38;45,
main29_s006,3.0,3.0,265.0,6,True,,3.0121432963509953,2.9848904147390027,263.5999660496898,0.019384509615346004,-1.4000339503102168,1.4000339503102168,True,True,True,True,True,True,True,True,52,6.848799996078014,1.5273163414190578,6,5,0,45;46;47;48;37;38,45;46;47;48;37,
main29_s007,3.0,4.0,280.0,6,True,,2.9323591411413403,4.0084615377368005,276.6096172055182,0.06816805269338722,-3.390382794481809,3.390382794481809,False,True,True,True,True,True,True,True,65,8.842399998684414,1.4849126200305844,6,6,0,45;46;47;48;49;38,45;46;47;48;49;38,
main29_s008,4.0,1.0,115.0,5,True,,3.962571965668051,0.9680107637358554,116.84483818358393,0.04923585066510809,1.8448381835839314,1.8448381835839314,True,True,True,True,True,True,True,True,73,9.384200006024912,2.084595773296242,5,5,0,38;39;41;42;48,38;39;41;42;48,
main29_s009,4.0,2.0,65.0,6,True,,3.9576063176772878,2.0124970587620283,65.71556089813157,0.044197293792500834,0.7155608981315709,0.7155608981315709,True,True,True,True,True,True,True,True,60,7.973900006618351,1.4097672826816185,6,6,0,34;35;36;37;46;47,34;35;36;37;46;47,
main29_s010,4.0,3.0,250.0,4,True,,3.944856023416039,2.9803154446111586,254.62262169855254,0.05855202707292721,4.6226216985525355,4.6226216985525355,False,True,True,True,True,True,True,True,89,10.734800001955591,0.8396160526284301,4,3,0,45;46;48;35,45;46;48,
main29_s011,4.0,4.0,220.0,6,True,,4.0348269179096565,3.9255296248728273,220.11959351968136,0.08221162316040097,0.11959351968135934,0.11959351968135934,False,True,True,True,True,True,True,True,60,7.830799993826076,1.7201162334343876,6,5,0,42;43;45;46;35;36,42;43;45;46;35,
