sample_uid,observation_uid,tag_id,camera_role,distance_residual_m_signed,distance_residual_sigma_signed,angle_residual_deg_signed,angle_residual_sigma_signed,distance_peer_median_sigma,distance_m2_signed,distance_m2_abs
main29_s001,main29_s001_o002,36,front,-0.004262356467576112,-0.08524712935152223,2.614775840529944,0.8715919468433148,1.1986491125919008,-1.283896241943423,1.283896241943423
main29_s001,main29_s001_o003,37,front,-0.03506920695865201,-0.7013841391730402,2.5502909315129614,0.8500969771709871,1.1986491125919008,-1.900033251764941,1.900033251764941
main29_s001,main29_s001_o004,38,front,0.07744686747151519,1.5489373494303038,-0.13515586471976349,-0.04505195490658783,0.43149727419763195,1.1174400752326719,1.1174400752326719
main29_s001,main29_s001_o005,39,front,0.04741208388733931,0.9482416777467861,-6.041455936047129,-1.4239848202062155,0.6819047090427466,0.26633696870403956,0.26633696870403956
main29_s001,main29_s001_o006,45,rear,0.07245282737185077,1.4490565474370154,-1.6623298026760835,-0.5541099342253611,0.43149727419763195,1.0175592732393834,1.0175592732393834
main29_s002,main29_s002_o007,36,front,-0.012156048692538501,-0.24312097385077003,-0.22197730882083988,-0.0739924362736133,0.22959276938460782,-0.47271374323537785,0.47271374323537785
main29_s002,main29_s002_o008,37,front,0.005482557724684423,0.10965115449368845,1.8026494900339571,0.6008831633446524,0.22959276938460782,-0.11994161489091937,0.11994161489091937
main29_s002,main29_s002_o009,38,front,0.011479638469230391,0.22959276938460782,2.2666776780729947,0.7555592260243316,0.14806307150600606,0.08152969787860176,0.08152969787860176
main29_s002,main29_s002_o010,39,front,0.03788038857417941,0.7576077714835883,-1.829095427126333,-0.6096984757087777,0.14806307150600606,0.6095446999775822,0.6095446999775822
main29_s002,main29_s002_o011,44,rear,0.02945184600036077,0.5890369200072154,-1.7298856818894137,-0.4077379654471731,0.14806307150600606,0.44097384850120935,0.44097384850120935
main29_s002,main29_s002_o012,45,rear,0.007403153575300303,0.14806307150600606,-1.0520199407807524,-0.35067331359358417,0.22959276938460782,-0.08152969787860176,0.08152969787860176
main29_s003,main29_s003_o013,43,front,-0.024371097882308845,-0.4874219576461769,0.6316244749409066,0.14887531646470253,0.09588020690655785,-0.5833021645527348,0.5833021645527348
main29_s003,main29_s003_o014,44,front,-0.006193444499974721,-0.12386888999949441,1.7458054229215065,0.5819351409738355,0.09588020690655785,-0.21974909690605227,0.21974909690605227
main29_s003,main29_s003_o015,45,front,0.005442684645034834,0.10885369290069669,2.9803115678257086,0.9934371892752362,0.03725166784777301,0.07160202505292368,0.07160202505292368
