sample_index,gt_x_m,gt_y_m,gt_heading_deg,obs_json_path,old_final_x_m,old_final_y_m,old_final_heading_deg,old_position_error_cm,old_heading_error_deg,rerun_success,rerun_failure_reason,observed_count,layer1_usable_count,new_pass1_x_m,new_pass1_y_m,new_pass1_heading_deg,new_final_x_m,new_final_y_m,new_final_heading_deg,new_position_error_cm,new_heading_error_deg,position_error_change_cm,position_error_improvement_cm,new_distance_cut_count,new_distance_cut_tags,distance_floor_activated,distance_floor_kept_tags,new_yaw_admitted_count,new_yaw_admitted_tags
1,2.0,1.5,65.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x2.00_y1.50_h65_20260707_152924.json,1.991,1.482,65.8,2.0,0.8,True,,7,7,1.976246221571116,1.488127873336207,65.88487039939913,1.9914884255953011,1.482287592349213,65.82916382420616,1.965136849266191,0.8291638242061481,-0.03486315073380908,0.03486315073380908,1,37,False,,5,35|36|37|38|44
2,2.0,2.5,295.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x2.00_y2.50_h295_20260707_153220.json,1.949,2.5,296.5,5.1,1.5,True,,7,6,1.9420487917918692,2.469943814069717,296.62886933612515,1.9493955782278354,2.4998389563805814,296.51555780084715,5.06046780242942,1.515557800847148,-0.0395321975705798,0.0395321975705798,3,48|39|41,False,,5,46|47|48|49|41
3,2.0,3.5,290.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x2.00_y3.50_h290_20260707_153416.json,1.975,3.503,287.3,2.5,2.7,True,,7,6,1.9501058436032448,3.492593763151341,287.25554516778783,1.9750071608625983,3.5029953346667897,287.32776066829774,2.517169120091278,2.672239331702258,0.0171691200912778,-0.0171691200912778,0,,False,,5,46|47|48|39|40
4,3.0,3.5,295.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x3.00_y3.50_h295_20260707_153619.json,2.972,3.475,292.4,3.8,2.6,True,,6,5,2.986101650461592,3.4811445336471647,292.49322843602374,2.971807487394137,3.4749254724746765,292.4445674353184,3.772995756226,2.5554325646816096,-0.027004243773999903,0.027004243773999903,0,,False,,4,47|48|49|39
5,4.0,1.5,110.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x4.00_y1.50_h110_20260707_154857.json,3.872,1.484,106.0,12.9,4.0,True,,5,4,3.9265654832909704,1.5073055124792263,106.87666469896094,3.872335429931853,1.4838815168295185,106.0412675665381,12.867807874848747,3.958732433461904,-0.03219212515125314,0.03219212515125314,0,,False,,4,36|38|39|41
6,4.01,2.5,110.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x4.01_y2.50_h110_20260707_154341.json,3.963,2.531,106.3,5.6,3.7,True,,7,6,3.9455463388422225,2.5260603734417257,106.15666070803121,3.962975561771378,2.530622703050912,106.25185053458073,5.611637669042606,3.74814946541926,0.011637669042606547,-0.011637669042606547,0,,False,,4,38|39|40|48
7,4.0,3.5,295.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x4.00_y3.50_h295_20260707_153800.json,3.937,3.479,291.9,6.6,3.1,True,,4,4,3.952985850117962,3.484697494761473,291.99430895131684,3.937432330990604,3.479476450339877,291.89736117318074,6.584777365956164,3.102638826819259,-0.015222634043835725,0.015222634043835725,0,,False,,4,48|49|37|38
8,5.0,1.5,145.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x5.00_y1.50_h145_20260707_155315.json,4.983,1.464,144.7,4.0,0.3,True,,7,6,5.00426520336512,1.4776471775672269,144.77770666360962,4.9784586760805105,1.4827267325363824,144.72889422428892,2.7611490453686836,0.27110577571107797,-1.2388509546313164,1.2388509546313164,3,39|42|43,True,38,5,38|39|41|42|50
9,5.0,2.5,110.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x5.00_y2.50_h110_20260707_155445.json,5.007,2.55,107.9,5.0,2.1,True,,7,5,4.988252167680803,2.5406997936348006,107.842854631521,5.007108251437135,2.5499534099731243,107.92592467550213,5.045661905475394,2.074075324497869,0.04566190547539417,-0.04566190547539417,0,,False,,4,36|37|38|50
10,5.0,3.5,260.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x5.00_y3.50_h260_20260707_155718.json,5.006,3.699,257.8,19.9,2.2,True,,8,6,4.980332205822805,3.4656513144095475,258.1123518089294,4.92714646646452,3.49225655980449,258.4227986626998,7.326389434548752,1.5772013373002096,-12.573610565451247,12.573610565451247,3,48|49|50,True,46|47|35,4,46|47|49|35
