sample_uid,gt_x_m,gt_y_m,gt_heading_deg,observation_count,success,failure_reason,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,signed_heading_error_deg,abs_heading_error_deg,within_5cm,within_10cm,within_20cm,within_5deg,within_10deg,within_20deg,within_10cm_10deg,within_20cm_20deg,iterations,runtime_ms,objective_value,tag_count_input,tag_count_used,tag_count_rejected,tags_input,tags_used,tags_rejected
main29_s001,2.0,1.0,60.0,4,True,,1.9404740530918172,1.0230044632751873,74.01105436354692,0.06381648443697946,14.011054363546918,14.011054363546918,False,True,True,False,False,True,False,True,107,11.277500001597218,0.0026276951396091816,4,4,0,36;37;39;45,36;37;39;45,
main29_s002,2.0,2.0,70.0,6,True,,1.9744636575940437,2.0338180469465446,70.58765799269997,0.04237646850261276,0.5876579926999739,0.5876579926999739,True,True,True,True,True,True,True,True,90,9.378300001117168,0.0005443130759656667,6,6,0,36;37;38;39;44;45,36;37;38;39;44;45,
main29_s003,2.0,3.0,265.0,7,True,,2.0380612512771394,2.9806878562376857,278.3940473500911,0.04268041407341127,13.394047350091114,13.394047350091114,True,True,True,False,False,True,False,True,86,10.848000001715263,0.00031661669305102535,7,7,0,43;44;45;46;47;38;39,43;44;45;46;47;38;39,
main29_s004,2.0,4.0,290.0,5,True,,1.9960620505895768,4.002171401660312,285.2803659429379,0.004496935704394464,-4.7196340570620805,4.7196340570620805,True,True,True,True,True,True,True,True,98,9.710500002256595,0.004923844090664849,5,5,0,45;46;48;49;39,45;46;48;49;39,
main29_s005,3.0,2.0,65.0,5,True,,2.9579784499384836,2.0412354438265683,41.503670789165085,0.058874209099966684,-23.496329210834915,23.496329210834915,False,True,True,False,False,False,False,False,39,4.295999999158084,0.0006161480461014357,5,5,0,35;36;37;38;45,35;36;37;38;45,
main29_s006,3.0,3.0,265.0,5,True,,3.0271841069619696,2.981000082419306,255.54821339403077,0.033165833916742875,-9.451786605969232,9.451786605969232,True,True,True,False,True,True,True,True,84,8.2287000004726,0.0006795371717697452,5,5,0,45;46;47;48;37,45;46;47;48;37,
main29_s007,3.0,4.0,280.0,6,True,,2.8894197312647107,4.001100960839989,282.10518101073296,0.11058574930044096,2.105181010732963,2.105181010732963,False,False,True,True,True,True,False,True,97,9.709899997687899,0.0016157274675288951,6,6,0,45;46;47;48;49;38,45;46;47;48;49;38,
main29_s008,4.0,1.0,115.0,5,True,,3.9508326964190617,0.9601418671086975,123.49318323131365,0.0632937161099021,8.493183231313651,8.493183231313651,False,True,True,False,True,True,True,True,106,10.230399999272777,0.0034596377443705402,5,5,0,38;39;41;42;48,38;39;41;42;48,
main29_s009,4.0,2.0,65.0,6,True,,3.96026592452446,2.0120297256971895,80.41277658194235,0.04151519064445624,15.412776581942353,15.412776581942353,True,True,True,False,False,True,False,True,83,7.588299999042647,0.0014007505217805594,6,6,0,34;35;36;37;46;47,34;35;36;37;46;47,
main29_s010,4.0,3.0,250.0,3,True,,3.932155447329477,2.869221689804374,92.32023664572304,0.14732905261585966,-157.67976335427696,157.67976335427696,False,False,True,False,False,False,False,False,87,7.991499998752261,0.0009090728648638138,3,3,0,45;46;48,45;46;48,
