sample_uid,gt_x_m,gt_y_m,gt_heading_deg,observation_count,success,failure_reason,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,signed_heading_error_deg,abs_heading_error_deg,within_5cm,within_10cm,within_20cm,within_5deg,within_10deg,within_20deg,within_10cm_10deg,within_20cm_20deg,iterations,runtime_ms,objective_value,tag_count_input,tag_count_used,tag_count_rejected,tags_input,tags_used,tags_rejected
main29_s001,2.0,1.0,60.0,4,True,,2.0152565065006076,0.9975197455185257,59.62283683113318,0.01545679956834388,-0.3771631688668151,0.3771631688668151,True,True,True,True,True,True,True,True,70,9.307399999670452,3.323056633286699,4,4,0,36;37;39;45,36;37;39;45,
main29_s002,2.0,2.0,70.0,6,True,,2.0273005543499134,2.014521233753247,70.80143271452341,0.0309222654009861,0.8014327145234006,0.8014327145234006,True,True,True,True,True,True,True,True,60,8.224299999710638,1.3325300891559633,6,6,0,36;37;38;39;44;45,36;37;38;39;44;45,
main29_s003,2.0,3.0,265.0,7,True,,2.0020268139917077,2.9860819632432825,262.84883361272597,0.014064839925087048,-2.1511663872740314,2.1511663872740314,True,True,True,True,True,True,True,True,58,8.401099999900907,2.7492172832420207,7,7,0,43;44;45;46;47;38;39,43;44;45;46;47;38;39,
main29_s004,2.0,4.0,290.0,5,True,,1.9558931095787735,3.990848838766683,289.10497870520874,0.0450462155408004,-0.8950212947912632,0.8950212947912632,True,True,True,True,True,True,True,True,71,9.284200001275167,2.3523712710832547,5,5,0,45;46;48;49;39,45;46;48;49;39,
main29_s005,3.0,2.0,65.0,5,True,,2.9774791256760165,2.0265755701671155,65.64996675649122,0.034834619418388106,0.6499667564912102,0.6499667564912102,True,True,True,True,True,True,True,True,64,8.310500001243781,0.923935183498929,5,5,0,35;36;37;38;45,35;36;37;38;45,
main29_s006,3.0,3.0,265.0,5,True,,3.0121432963509953,2.9848904147390027,263.5999660496898,0.019384509615346004,-1.4000339503102168,1.4000339503102168,True,True,True,True,True,True,True,True,52,6.886899998789886,1.5273163414190578,5,5,0,45;46;47;48;37,45;46;47;48;37,
main29_s007,3.0,4.0,280.0,6,True,,2.9323591411413403,4.0084615377368005,276.6096172055182,0.06816805269338722,-3.390382794481809,3.390382794481809,False,True,True,True,True,True,True,True,65,8.894500002497807,1.4849126200305844,6,6,0,45;46;47;48;49;38,45;46;47;48;49;38,
main29_s008,4.0,1.0,115.0,5,True,,3.962571965668051,0.9680107637358554,116.84483818358393,0.04923585066510809,1.8448381835839314,1.8448381835839314,True,True,True,True,True,True,True,True,73,9.424400002899347,2.084595773296242,5,5,0,38;39;41;42;48,38;39;41;42;48,
main29_s009,4.0,2.0,65.0,6,True,,3.9576063176772878,2.0124970587620283,65.71556089813157,0.044197293792500834,0.7155608981315709,0.7155608981315709,True,True,True,True,True,True,True,True,60,8.122999999613967,1.4097672826816185,6,6,0,34;35;36;37;46;47,34;35;36;37;46;47,
main29_s010,4.0,3.0,250.0,3,True,,3.944856023416039,2.9803154446111586,254.62262169855254,0.05855202707292721,4.6226216985525355,4.6226216985525355,False,True,True,True,True,True,True,True,89,10.840099999768427,0.8396160526284301,3,3,0,45;46;48,45;46;48,
main29_s011,4.0,4.0,220.0,4,True,,4.0190868641211495,3.9544130302932117,219.76379070342463,0.04942145474413778,-0.2362092965753675,0.2362092965753675,True,True,True,True,True,True,True,True,59,7.490100000723032,0.8544702902381044,4,4,0,42;43;45;35,42;43;45;35,
main29_s012,5.0,1.0,115.0,5,True,,4.987429697148528,0.9699269071763826,116.59843148750487,0.032594530611064695,1.598431487504854,1.598431487504854,True,True,True,True,True,True,True,True,67,8.710499998414889,2.663893381040461,5,5,0,36;37;38;41;49,36;37;38;41;49,
main29_s013,5.0,2.0,115.0,5,True,,4.947843858116387,1.9732336407562139,115.3966431814128,0.05862338375896623,0.39664318141279864,0.39664318141279864,False,True,True,True,True,True,True,True,65,8.430199999565957,1.1457925415458243,5,5,0,36;37;38;39;49,36;37;38;39;49,
main29_s014,5.0,3.0,245.0,6,True,,5.019313878000849,2.9796579852478153,245.62937118706427,0.028050373395193656,0.6293711870642653,0.6293711870642653,True,True,True,True,True,True,True,True,60,8.229200000641868,1.6082794078276867,6,6,0,46;47;48;49;34;35,46;47;48;49;34;35,
main29_s015,5.0,4.0,245.0,5,True,,5.018093128283976,3.9672444107794367,245.55706065840047,0.037420447836533026,0.5570606584004736,0.5570606584004736,True,True,True,True,True,True,True,True,65,8.415100001002429,1.8953282208012263,5,5,0,46;47;48;49;35,46;47;48;49;35,
main29_s016,6.0,2.0,65.0,6,True,,5.992896099316499,2.0402699629730665,66.11325348188171,0.04089175128034006,1.1132534818817135,1.1132534818817135,True,True,True,True,True,True,True,True,57,7.691099999647122,1.1963293070214855,6,6,0,32;33;34;35;48;49,32;33;34;35;48;49,
main29_s017,6.0,4.0,260.0,4,True,,6.037488618476796,4.023830431121348,261.216623291365,0.044421683474718185,1.2166232913650106,1.2166232913650106,True,True,True,True,True,True,True,True,67,8.263800002168864,0.5263456319796802,4,4,0,48;49;50;34,48;49;50;34,
main29_s018,7.0,1.0,25.0,3,True,,7.007029806305241,1.0669426016799013,25.718819708200957,0.0673106982311366,0.7188197082009538,0.7188197082009538,False,True,True,True,True,True,True,True,93,11.392899999918882,0.09683145181952427,3,3,0,55;56;57,55;56;57,
main29_s019,7.0,2.0,60.0,4,True,,6.988147500553573,2.032151245110906,60.64322114837179,0.03426637280642794,0.6432211483717936,0.6432211483717936,True,True,True,True,True,True,True,True,49,6.075699999200879,0.37365979358266865,4,4,0,32;33;49;50,32;33;49;50,
main29_s020,7.0,3.0,250.0,6,True,,7.00500866217152,2.9765963311815775,250.80651952272933,0.023933625110100235,0.8065195227293316,0.8065195227293316,True,True,True,True,True,True,True,True,61,8.221799998864299,2.2606237548971113,6,6,0,48;49;50;51;32;33,48;49;50;51;32;33,
main29_s021,7.0,4.0,295.0,4,True,,7.0416569039701535,4.0197547018025785,297.04689302688865,0.04610364293293311,2.046893026888654,2.046893026888654,True,True,True,True,True,True,True,True,57,7.0382999983849,1.5098087805309564,4,4,0,51;53;55;34,51;53;55;34,
main29_s022,8.0,1.0,40.0,5,True,,8.023291241141365,1.0229822690929415,40.06169889141635,0.032721042259769045,0.06169889141634144,0.06169889141634144,True,True,True,True,True,True,True,True,69,8.764500002143905,1.5279954178362996,5,5,0,31;55;56;57;51,31;55;56;57;51,
