sample_uid,observation_uid,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,normalized_distance_residual,measured_angle_deg,predicted_angle_deg,angle_residual_deg,normalized_angle_residual,yaw_used,measured_yaw_deg,predicted_yaw_deg,yaw_residual_deg,normalized_yaw_residual,combined_score,rejected,rejection_reason
main29_s001,main29_s001_o002,36,front,4.432,4.430224720184436,-0.0017752798155648009,-0.03550559631129602,1.5,4.104036327145593,2.604036327145593,1.0416145308582372,True,28.5,34.33767221249309,5.837672212493089,1.6851908116618415,1.1439827431644154,False,
main29_s001,main29_s001_o003,37,front,4.444,4.411423444825244,-0.03257655517475566,-0.6515311034951132,-12.1,-9.552717163938581,2.547282836061413,1.0189131344245652,True,23.8,20.68091872140883,-3.1190812785911817,-0.9004012079094704,0.8705169133967253,False,
main29_s001,main29_s001_o004,38,front,4.09,4.1698211789813975,0.07982117898139762,1.5964235796279524,-21.9,-22.03064171336024,-0.13064171336023378,-0.052256685344093515,True,16.4,8.202994171987257,-8.197005828012749,-2.3662717606760455,1.648286084809328,False,
main29_s001,main29_s001_o005,39,front,4.094,4.143536957698073,0.04953695769807265,0.990739153961453,-29.3,-35.32961502951457,-6.029615029514559,-1.705432670125628,False,,,,,1.3946441595482493,False,
main29_s001,main29_s001_o006,45,rear,0.833,0.902970630376426,0.06997063037642604,1.3994126075285207,-9.3,-10.991185973953861,-1.69118597395385,-0.6764743895815399,False,,,,,1.099084447590241,False,
main29_s002,main29_s002_o007,36,front,3.655,3.6363882119162705,-0.01861178808372932,-0.3722357616745864,24.2,23.73184836950574,-0.4681516304942477,-0.18726065219769908,True,39.3,42.89087260352687,3.5908726035268614,1.0365956321359429,0.6450210639181436,False,
main29_s002,main29_s002_o008,37,front,3.484,3.488545014161072,0.004545014161072114,0.09090028322144228,5.4,6.92622412511443,1.5262241251144246,0.6104896500457698,True,24.0,26.085248359135562,2.085248359135562,0.6019593507370711,0.49776685782353336,False,
main29_s002,main29_s002_o009,38,front,3.169,3.184799056333682,0.01579905633368206,0.3159811266736412,-10.8,-8.831744809875971,1.9682551901240402,0.7873020760496161,False,,,,,0.5998702490397316,False,
main29_s002,main29_s002_o010,39,front,3.11,3.1576386339509703,0.047638633950970455,0.9527726790194091,-24.2,-26.291394885464797,-2.0913948854648083,-0.8365579541859234,False,,,,,0.8965503300422011,False,
main29_s002,main29_s002_o011,44,rear,1.434,1.4666155180491958,0.032615518049195824,0.6523103609839165,15.0,14.056359202635463,-0.9436407973645373,-0.26690192272829805,False,,,,,0.49837006501345454,False,
main29_s002,main29_s002_o012,45,rear,1.865,1.868017178469727,0.0030171784697270443,0.060343569394540886,-8.1,-8.534998819229486,-0.4349988192294916,-0.17399952769179663,False,,,,,0.1302251550282089,False,
main29_s003,main29_s003_o013,43,front,1.45,1.418477578619376,-0.031522421380624,-0.63044842761248,25.3,25.598472771693423,0.2984727716934117,0.08442084834558225,True,-58.2,-57.416781074405776,0.7832189255942126,0.1598738937163904,0.3786606930601925,False,
main29_s003,main29_s003_o014,44,front,2.361,2.350796120265143,-0.010203879734857146,-0.20407759469714293,10.4,11.977620489966284,1.5776204899662787,0.6310481959865115,True,-68.5,-71.03763335613291,-2.5376333561329147,-0.7325516506339559,0.5705264852636073,False,
main29_s003,main29_s003_o015,45,front,2.844,2.848586496059404,0.004586496059403977,0.09172992118807954,-3.7,-0.8406092420516416,2.859390757948347,1.1437563031793387,False,,,,,0.8113546880075442,False,
main29_s003,main29_s003_o016,46,front,2.897,2.904988155805046,0.007988155805046304,0.15976311610092608,-20.4,-19.83572029740526,0.5642797025947459,0.22571188103789835,True,-16.8,-12.850974143504459,3.9490258564955525,1.1399855706422497,0.6772584951554022,False,
main29_s003,main29_s003_o017,47,front,3.199,3.251011552378691,0.05201155237869104,1.0402310475738208,-29.8,-36.38842748830973,-6.588427488309719,-1.8634887017358621,False,,,,,1.5090842875455528,True,worst_normalized_residual
main29_s003,main29_s003_o018,38,rear,2.221,2.2240095001676248,0.00300950016762469,0.060190003352493804,12.2,9.667237308617132,-2.5327626913828567,-0.7163734696852436,False,,,,,0.5083373803747113,False,
main29_s003,main29_s003_o019,39,rear,2.153,2.155489225748017,0.00248922574801691,0.0497845149603382,-14.7,-15.675384046724616,-0.9753840467246278,-0.2758802694800643,False,,,,,0.1982276734190121,False,
main29_s004,main29_s004_o020,45,front,3.823,3.879929102957945,0.056929102957945066,1.1385820591589013,24.0,23.151625560800653,-0.8483744391993469,-0.33934977567973873,False,,,,,0.8400974275917088,False,
main29_s004,main29_s004_o021,46,front,3.914,3.9229653224392655,0.0089653224392654,0.179306448785308,8.3,9.1648448943007,0.8648448943006883,0.34593795772027536,True,-8.2,-9.56780932017756,-1.367809320177571,-0.39485253960229977,0.32027717225244084,False,
main29_s004,main29_s004_o022,47,front,4.306,4.187010973081198,-0.11898902691880231,-2.379780538376046,-5.5,-3.763716822244419,1.7362831777555812,0.6945132711022325,True,-16.1,-22.496371036722678,-6.396371036722684,-1.8464732699442834,1.7846724845368913,True,worst_normalized_residual
main29_s004,main29_s004_o023,48,front,4.522,4.630527517493697,0.10852751749369638,1.8160127133190673,-15.6,-14.608651292115837,0.991348707884157,0.3965394831536628,True,-35.2,-33.3413055065941,1.858694493405892,0.5365588830545834,1.1169961461618145,False,
main29_s004,main29_s004_o024,49,front,5.179,5.206734865874338,0.027734865874338155,0.46409307236685576,-22.2,-23.283177960536705,-1.083177960536716,-0.4332711842146864,True,-43.9,-42.015832175014964,1.8841678249850418,0.5439124004767727,0.4826824346925245,False,
main29_s004,main29_s004_o025,39,rear,1.094,1.1312945519457893,0.037294551945789234,0.7458910389157847,7.0,5.331598431770459,-1.668401568229541,-0.6673606272918164,True,-16.4,-13.401055782707772,2.998944217292234,0.8657206255691713,0.7640235271966592,False,
main29_s005,main29_s005_o026,35,front,3.973,3.98487577583425,0.011875775834250035,0.2375155166850007,14.3,14.133206857439745,-0.166793142560266,-0.0667172570241064,True,34.8,38.32925228487909,3.529252284879078,1.0188073783565188,0.6052088585066168,False,
main29_s005,main29_s005_o027,36,front,3.067,3.059711273489855,-0.007288726510145338,-0.14577453020290676,4.7,5.533671398590911,0.8336713985909228,0.3334685594363691,True,23.1,29.7297168260302,6.629716826030204,1.9138343970797649,1.1247538387330378,False,
main29_s005,main29_s005_o028,37,front,3.196,3.1786610616112396,-0.01733893838876055,-0.346778767775211,-14.5,-13.749684810228018,0.7503151897719817,0.3001260759087927,True,14.1,10.446360617211326,-3.6536393827886684,-1.0547148405874278,0.6640167091711542,False,
main29_s005,main29_s005_o029,38,front,3.118,3.149797889026623,0.03179788902662306,0.6359577805324612,-26.6,-31.247317134854995,-4.647317134855001,-1.3144597841521635,False,,,,,1.03253252316165,False,
main29_s005,main29_s005_o031,45,rear,2.254,2.254044470461482,4.447046148214895e-05,0.000889409229642979,9.9,10.75781395869376,0.8578139586937539,0.34312558347750155,False,,,,,0.2426272419634218,False,
main29_s006,main29_s006_o033,45,front,3.113,3.122846690995179,0.009846690995178875,0.1969338199035775,18.5,18.715752912240305,0.2157529122403048,0.08630116489612191,True,28.6,25.053026707127117,-3.5469732928728774,-1.0239229927242846,0.604055492901576,False,
main29_s006,main29_s006_o034,46,front,2.856,2.853311243298518,-0.0026887567014819425,-0.05377513402963885,-1.0,1.1416426317639434,2.1416426317639434,0.8566570527055773,False,,,,,0.6069403063688026,False,
main29_s006,main29_s006_o035,47,front,2.909,2.8876015009893505,-0.021398499010649275,-0.4279699802129855,-18.3,-17.896284077279915,0.40371592272009593,0.16148636908803837,True,-16.3,-11.559010282393103,4.740989717606908,1.368605844842798,0.833130263904873,False,
main29_s006,main29_s006_o036,48,front,3.183,3.212280852891648,0.02928085289164839,0.5856170578329678,-28.7,-34.611036563449204,-5.9110365634492155,-1.6718936151426267,False,,,,,1.252632348053415,False,
main29_s006,main29_s006_o037,37,rear,2.203,2.2123013394276763,0.009301339427676414,0.18602678855352828,8.8,8.97596186512601,0.17596186512599843,0.07038474605039938,False,,,,,0.14064134978042256,False,
main29_s007,main29_s007_o041,45,front,4.022,4.057156042294734,0.03515604229473368,0.7031208458946736,26.0,24.790458849121137,-1.209541150878863,-0.34210989996425,True,22.5,18.213089957938962,-4.286910042061038,-0.8750618480218928,0.6775326180213714,False,
main29_s007,main29_s007_o042,46,front,3.854,3.8669164969536958,0.012916496953695678,0.25832993907391355,11.1,11.280678810108952,0.18067881010895803,0.07227152404358321,False,,,,,0.18968069302055246,False,
main29_s007,main29_s007_o043,47,front,3.923,3.9055225490720713,-0.01747745092792874,-0.3495490185585748,-4.1,-2.7491026313236944,1.3508973686763,0.5403589474705199,False,,,,,0.455067197503133,False,
main29_s007,main29_s007_o044,48,front,4.139,4.163659157076228,0.024659157076227345,0.4931831415245469,-16.2,-15.66317851560234,0.5368214843976489,0.21472859375905956,True,-21.6,-22.240547406784515,-0.6405474067845205,-0.1849101088678798,0.32839494942487346,False,
main29_s007,main29_s007_o045,49,front,4.615,4.602434377950479,-0.012565622049521608,-0.21026307354739823,-24.0,-26.560229881975374,-2.560229881975374,-1.0240919527901498,True,-35.5,-33.13759877315755,2.362401226842451,0.6819664921256955,0.7206601566733488,False,
main29_s007,main29_s007_o046,38,rear,1.105,1.147573577769338,0.04257357776933812,0.8514715553867624,-10.4,-8.327920999824585,2.072079000175421,0.5860724448713126,True,-14.2,-14.90528989100676,-0.7052898910067711,-0.14396669614247928,0.6025532147642981,False,
main29_s008,main29_s008_o048,38,front,4.386,4.372700203151096,-0.013299796848904144,-0.2659959369780829,8.7,9.445991979463031,0.7459919794630423,0.29839679178521694,True,-18.8,-17.377452619029555,1.4225473809704567,0.4106540566691452,0.3308732073848349,False,
main29_s008,main29_s008_o049,39,front,4.696,4.75007170733823,0.05407170733823019,0.9047927219269287,-3.3,-1.7099857467433424,1.590014253256669,0.6360057013026676,True,-24.5,-28.533430345235956,-4.033430345235956,-1.1643510477897923,0.9271581102542374,False,
main29_s008,main29_s008_o050,41,front,3.788,3.8300234564374334,0.04202345643743355,0.840469128748671,-18.9,-18.852006538304693,0.047993461695313044,0.019197384678125217,True,39.7,44.32454886320269,4.624548863202676,1.3349922655253215,0.910853307796314,False,
main29_s008,main29_s008_o051,42,front,3.232,3.226664783823985,-0.0053352161760154004,-0.10670432352030801,-26.6,-30.730534675549137,-4.130534675549143,-1.16829163160279,False,,,,,0.8295454023533118,False,
main29_s008,main29_s008_o052,48,rear,0.901,0.9572963169086616,0.05629631690866155,1.125926338173231,-5.9,-6.175406408746312,-0.2754064087463064,-0.11016256349852256,True,-33.4,-32.998851007238954,0.4011489927610512,0.11580173947787008,0.656570877680607,False,
main29_s009,main29_s009_o053,34,front,3.97,3.98367756780717,0.013677567807169666,0.2735513561433933,14.1,13.899873247192431,-0.20012675280756298,-0.08005070112302519,True,34.5,38.12549884759528,3.6254988475952814,1.0465913678029068,0.626256590213558,False,
main29_s009,main29_s009_o054,35,front,3.478,3.47535844969155,-0.002641550308450036,-0.052831006169000716,0.2,1.3892563837589478,1.1892563837589591,0.47570255350358365,True,25.5,25.61488198416191,0.11488198416191153,0.03316357224045897,0.2769981089865699,False,
main29_s009,main29_s009_o055,36,front,2.729,2.7206582051802566,-0.008341794819743509,-0.16683589639487018,-13.6,-12.595470309113125,1.0045296908868693,0.4018118763547477,False,,,,,0.3076418374551833,False,
main29_s009,main29_s009_o056,37,front,3.117,3.158289390557604,0.041289390557603944,0.8257878111520789,-26.7,-31.36518656585895,-4.66518656585896,-1.319514022487701,False,,,,,1.1006913201686055,False,
main29_s009,main29_s009_o057,46,rear,2.266,2.2579371347649584,-0.008062865235041627,-0.16125730470083255,11.5,11.21203938298936,-0.2879606170106399,-0.08144756200115431,False,,,,,0.1277451049459607,False,
main29_s009,main29_s009_o058,47,rear,1.839,1.8743849446399026,0.035384944639902605,0.7076988927980521,-14.2,-13.177647911279792,1.0223520887201971,0.2891648378777129,False,,,,,0.5405802559900023,False,
main29_s010,main29_s010_o060,45,front,3.588,3.6120517945455473,0.024051794545547178,0.48103589091094356,22.7,23.209968404332585,0.5099684043325965,0.2039873617330386,True,42.2,38.37960131400135,-3.8203986859986685,-1.102854104886512,0.7045787272681268,False,
main29_s010,main29_s010_o061,46,front,3.143,3.112213833749104,-0.030786166250895697,-0.6157233250179139,7.6,9.350518435079039,1.7505184350790444,0.7002073740316177,True,20.2,24.520151344747802,4.3201513447478135,1.2471202709150369,0.8990206801007722,False,
main29_s010,main29_s010_o062,48,front,2.875,2.8947000687417943,0.019700068741794308,0.39400137483588615,-24.9,-27.160486898113504,-2.2604868981134985,-0.9041947592453994,False,,,,,0.6974257114630253,False,
main29_s011,main29_s011_o065,42,front,2.995,2.990254350169308,-0.004745649830692145,-0.09491299661384289,16.7,17.369472593957198,0.6694725939572095,0.2677890375828838,True,-27.1,-22.8862007302437,4.213799269756294,1.216419071352422,0.7212014981324972,False,
main29_s011,main29_s011_o066,43,front,3.543,3.5105353095602156,-0.032464690439784505,-0.6492938087956901,-0.1,1.9523466320727039,2.052346632072698,0.8209386528290793,True,-39.1,-38.303326692128195,0.7966733078717994,0.22997977437798647,0.6187119465664636,False,
main29_s011,main29_s011_o067,45,front,4.412,4.450763661387887,0.038763661387887005,0.7752732277577401,-18.7,-18.691055512711728,0.008944487288260916,0.0035777949153043666,True,30.6,31.053271163087373,0.45327116308737914,0.13084811401219654,0.4539392790652767,False,
main29_s011,main29_s011_o068,46,front,3.995,4.043139211353027,0.04813921135302657,0.9627842270605314,-26.2,-30.316001757441995,-4.116001757442007,-1.164181101625196,False,,,,,1.0682394640851365,False,
main29_s011,main29_s011_o069,35,rear,1.828,1.8566774746806924,0.028677474680692372,0.5735494936138474,0.8,0.19003321117537553,-0.6099667888246358,-0.24398671552985435,True,50.5,49.93435988697456,-0.565640113025438,-0.1632862357598435,0.37199952229734834,False,
main29_s012,main29_s012_o072,36,front,3.664,3.7154743790469773,0.05147437904697716,1.0294875809395432,20.6,20.500923313235916,-0.09907668676407866,-0.03963067470563146,False,,,,,0.7284968324180882,False,
main29_s012,main29_s012_o073,37,front,4.433,4.372985593896754,-0.06001440610324593,-1.2002881220649186,7.6,8.818697837385201,1.218697837385207,0.48747913495408285,True,-15.1,-17.82031551125408,-2.7203155112540855,-0.7852874463516303,0.8746435190756622,False,
main29_s012,main29_s012_o074,38,front,4.735,4.756878626704223,0.021878626704222803,0.3660994479776837,-4.4,-2.2934852880466394,2.1065147119533663,0.8426058847813465,True,-24.9,-28.932498636685978,-4.032498636685972,-1.1640820866987223,0.8561737727530496,False,
