sample_uid,gt_x_m,gt_y_m,gt_heading_deg,observation_count,success,failure_reason,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,signed_heading_error_deg,abs_heading_error_deg,within_5cm,within_10cm,within_20cm,within_5deg,within_10deg,within_20deg,within_10cm_10deg,within_20cm_20deg,iterations,runtime_ms,objective_value,tag_count_input,tag_count_used,tag_count_rejected,tags_input,tags_used,tags_rejected
main29_s001,2.0,1.0,60.0,5,True,,2.0113531748490314,1.0173223310698236,59.766364114652546,0.020711294813344147,-0.2336358853474394,0.2336358853474394,True,True,True,True,True,True,True,True,73,11.394100001780316,10.328033800512499,5,5,0,36;37;38;39;45,36;37;38;39;45,
main29_s002,2.0,2.0,70.0,6,True,,2.0450085262916207,2.00684171581398,70.84097576597884,0.04552555891170119,0.8409757659788397,0.8409757659788397,True,True,True,True,True,True,True,True,57,8.47260000591632,2.4247141491538255,6,6,0,36;37;38;39;44;45,36;37;38;39;44;45,
main29_s003,2.0,3.0,265.0,7,True,,1.9667323500746263,2.99408432281121,262.5629797070872,0.03378952157339881,-2.4370202929127913,2.4370202929127913,True,True,True,True,True,True,True,True,58,8.933699995395727,1.983869240237052,7,6,1,43;44;45;46;47;38;39,43;44;45;46;38;39,47
main29_s004,2.0,4.0,290.0,6,True,,1.9669393959907293,3.992905438163146,289.0875989352521,0.033813256943316605,-0.9124010647478826,0.9124010647478826,True,True,True,True,True,True,True,True,65,9.866100001090672,3.2099637369489407,6,5,1,45;46;47;48;49;39,45;46;48;49;39,47
main29_s005,3.0,2.0,65.0,5,True,,2.9981189610826515,2.015856820507525,65.80395457256066,0.0159680012530198,0.8039545725606558,0.8039545725606558,True,True,True,True,True,True,True,True,64,9.098599999560975,4.233392115256453,5,5,0,35;36;37;38;45,35;36;37;38;45,
main29_s006,3.0,3.0,265.0,5,True,,3.0044618040355537,2.983701539839773,263.6627262051132,0.016898150752262694,-1.337273794886812,1.337273794886812,True,True,True,True,True,True,True,True,52,7.4064000000362284,3.5457279368610815,5,5,0,45;46;47;48;37,45;46;47;48;37,
main29_s007,3.0,4.0,280.0,6,True,,2.937772044444233,4.008533236846442,276.5773688911822,0.06281030634957917,-3.422631108817825,3.422631108817825,False,True,True,True,True,True,True,True,62,9.684700002253521,2.41703761354297,6,6,0,45;46;47;48;49;38,45;46;47;48;49;38,
main29_s008,4.0,1.0,115.0,5,True,,3.964791952880218,0.9697967950937211,116.82344459849261,0.046387931281740465,1.823444598492614,1.823444598492614,True,True,True,True,True,True,True,True,70,10.482600002433173,4.032903034341177,5,5,0,38;39;41;42;48,38;39;41;42;48,
main29_s009,4.0,2.0,65.0,6,True,,3.966964917233838,2.0080423358642507,65.7743743995971,0.0339999391105422,0.7743743995970931,0.7743743995970931,True,True,True,True,True,True,True,True,56,8.236500005295966,2.318098611203241,6,6,0,34;35;36;37;46;47,34;35;36;37;46;47,
main29_s010,4.0,3.0,250.0,3,True,,3.933002272004604,2.9846235044886162,254.83036709033124,0.06873959681840369,4.830367090331237,4.830367090331237,False,True,True,True,True,True,True,True,83,10.95089999580523,2.44340667226115,3,3,0,45;46;48,45;46;48,
