sample_uid,gt_x_m,gt_y_m,gt_heading_deg,observation_count,success,failure_reason,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,signed_heading_error_deg,abs_heading_error_deg,within_5cm,within_10cm,within_20cm,within_5deg,within_10deg,within_20deg,within_10cm_10deg,within_20cm_20deg,iterations,runtime_ms,objective_value,tag_count_input,tag_count_used,tag_count_rejected,tags_input,tags_used,tags_rejected
main29_s001,2.0,1.0,60.0,5,True,,2.0193951681514646,1.0167923383188187,59.72311547239642,0.02565453515145522,-0.27688452760358473,0.27688452760358473,True,True,True,True,True,True,True,True,73,10.298000001057517,5.674135578181636,5,5,0,36;37;38;39;45,36;37;38;39;45,
main29_s002,2.0,2.0,70.0,6,True,,2.0346317091545063,2.0115947017740936,70.81919593600554,0.03652112249359931,0.8191959360055421,0.8191959360055421,True,True,True,True,True,True,True,True,58,7.95250000373926,1.6645286926513156,6,6,0,36;37;38;39;44;45,36;37;38;39;44;45,
main29_s003,2.0,3.0,265.0,7,True,,1.9915745911177194,2.987623186504728,262.97086844504645,0.014972408861982261,-2.029131554953551,2.029131554953551,True,True,True,True,True,True,True,True,59,8.522500000253785,3.6877416346659753,7,7,0,43;44;45;46;47;38;39,43;44;45;46;47;38;39,
main29_s004,2.0,4.0,290.0,6,True,,1.9320779109613988,4.013108905320049,288.79120079530196,0.06917552730596044,-1.208799204698039,1.208799204698039,False,True,True,True,True,True,True,True,64,8.83600000088336,6.045873647191279,6,6,0,45;46;47;48;49;39,45;46;47;48;49;39,
main29_s005,3.0,2.0,65.0,5,True,,2.977253022838106,2.02614160842817,65.64875660181329,0.034652686204903485,0.6487566018132895,0.6487566018132895,True,True,True,True,True,True,True,True,64,8.27930000377819,1.220880902289515,5,5,0,35;36;37;38;45,35;36;37;38;45,
main29_s006,3.0,3.0,265.0,5,True,,3.010540418898983,2.9857504849163004,263.61247520585323,0.01772425204872178,-1.3875247941467705,1.3875247941467705,True,True,True,True,True,True,True,True,52,6.923799999640323,2.072657322893143,5,5,0,45;46;47;48;37,45;46;47;48;37,
main29_s007,3.0,4.0,280.0,6,True,,2.9390851523944046,4.009740797311325,276.5641825735246,0.061688749307091915,-3.4358174264754098,3.4358174264754098,False,True,True,True,True,True,True,True,65,8.95699999819044,1.7725512846544715,6,6,0,45;46;47;48;49;38,45;46;47;48;49;38,
main29_s008,4.0,1.0,115.0,5,True,,3.963990307441836,0.9683999160830395,116.8351842674102,0.04790890587033315,1.8351842674101988,1.8351842674101988,True,True,True,True,True,True,True,True,73,9.556400000292342,2.371689188867188,5,5,0,38;39;41;42;48,38;39;41;42;48,
main29_s009,4.0,2.0,65.0,6,True,,3.957852935604033,2.0119319749965787,65.71227574090557,0.043803505162449984,0.712275740905568,0.712275740905568,True,True,True,True,True,True,True,True,56,7.804100001521874,1.748439415222429,6,6,0,34;35;36;37;46;47,34;35;36;37;46;47,
main29_s010,4.0,3.0,250.0,3,True,,3.9449832583496867,2.9816589735966437,254.62655932168653,0.057993405757430186,4.626559321686528,4.626559321686528,False,True,True,True,True,True,True,True,87,10.540299997956026,1.0459501205177926,3,3,0,45;46;48,45;46;48,
main29_s011,4.0,4.0,220.0,5,True,,4.028116223091641,3.932923027253808,220.16165782317776,0.07273130188393669,0.16165782317776234,0.16165782317776234,False,True,True,True,True,True,True,True,60,7.8867999982321635,2.1258548594131836,5,5,0,42;43;45;46;35,42;43;45;46;35,
main29_s012,5.0,1.0,115.0,6,True,,4.962279663925287,0.9804269595896096,116.62688541462995,0.04249620764840179,1.6268854146299532,1.6268854146299532,True,True,True,True,True,True,True,True,72,9.758600004715845,5.720824267117113,6,6,0,36;37;38;40;41;49,36;37;38;40;41;49,
main29_s013,5.0,2.0,115.0,6,True,,4.89883091215551,1.9644135446682613,115.27360491170926,0.1072454201276868,0.27360491170924206,0.27360491170924206,False,False,True,True,True,True,False,True,66,8.963599997514393,3.1625089582176034,6,6,0,36;37;38;39;40;49,36;37;38;39;40;49,
main29_s014,5.0,3.0,245.0,6,True,,5.020518587510579,2.979995126696434,245.62377510414763,0.028656716303879153,0.6237751041476258,0.6237751041476258,True,True,True,True,True,True,True,True,59,8.084700006293133,2.082076632781302,6,6,0,46;47;48;49;34;35,46;47;48;49;34;35,
main29_s015,5.0,4.0,245.0,5,True,,5.015312090236194,3.9684774112939296,245.55267285783768,0.0350447386369685,0.5526728578376776,0.5526728578376776,True,True,True,True,True,True,True,True,61,7.9670999984955415,2.2497730940834906,5,5,0,46;47;48;49;35,46;47;48;49;35,
