sample_uid,observation_uid,tag_id,camera_role,raw_yaw_deg,predicted_yaw_deg,yaw_keep_deg,yaw_flip_deg,yaw_keep_error_deg,yaw_flip_error_deg,yaw_keep_abs_error_deg,yaw_flip_abs_error_deg,best_mode,best_yaw_deg,best_abs_error_deg,branch_separation_deg,accepted,decision
main29_s001,main29_s001_o002,36,front,28.5,34.24730567838117,28.5,-28.5,-5.747305678381167,-62.74730567838117,5.747305678381167,62.74730567838117,keep,28.5,5.747305678381167,57.0,True,accept_keep
main29_s001,main29_s001_o003,37,front,-23.8,20.580183501063402,-23.80000000000001,23.80000000000001,-44.380183501063414,3.219816498936609,44.380183501063414,3.219816498936609,flip,23.80000000000001,3.219816498936609,41.160367002126804,True,accept_flip
main29_s001,main29_s001_o004,38,front,16.4,8.092039255869622,16.400000000000006,-16.400000000000006,8.307960744130384,-24.492039255869628,8.307960744130384,24.492039255869628,keep,16.400000000000006,8.307960744130384,16.184078511739244,True,accept_keep
main29_s001,main29_s001_o006,45,rear,11.3,19.730603523142378,11.300000000000011,-11.300000000000011,-8.430603523142366,-31.03060352314239,8.430603523142366,31.03060352314239,keep,11.300000000000011,8.430603523142366,22.600000000000023,True,accept_keep
main29_s002,main29_s002_o007,36,front,39.3,43.061161280674696,39.30000000000001,-39.30000000000001,-3.761161280674685,-82.36116128067471,3.761161280674685,82.36116128067471,keep,39.30000000000001,3.761161280674685,78.60000000000002,True,accept_keep
main29_s002,main29_s002_o008,37,front,24.0,26.27228495795225,24.0,-24.0,-2.2722849579522517,-50.27228495795225,2.2722849579522517,50.27228495795225,keep,24.0,2.2722849579522517,48.0,True,accept_keep
main29_s002,main29_s002_o011,44,rear,-61.2,-57.22707496899994,-61.2,61.19999999999999,-3.9729250310000452,118.42707496899993,3.9729250310000452,118.42707496899993,keep,-61.2,3.9729250310000452,114.45414993799989,True,accept_keep
main29_s003,main29_s003_o013,43,front,-58.2,-57.29992552836268,-58.2,58.19999999999999,-0.9000744716373106,115.49992552836267,0.9000744716373106,115.49992552836267,keep,-58.2,0.9000744716373106,114.59985105672536,True,accept_keep
main29_s003,main29_s003_o014,44,front,-68.5,-70.95287216411714,-68.5,68.5,2.4528721641171387,139.45287216411714,2.4528721641171387,139.45287216411714,keep,-68.5,2.4528721641171387,137.0,True,accept_keep
main29_s003,main29_s003_o016,46,front,16.8,-12.77126225123186,16.80000000000001,-16.80000000000001,29.57126225123187,-4.028737748768151,29.57126225123187,4.028737748768151,flip,-16.80000000000001,4.028737748768151,25.54252450246372,True,accept_flip
