sample_uid,gt_x_m,gt_y_m,gt_heading_deg,observation_count,success,failure_reason,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,signed_heading_error_deg,abs_heading_error_deg,within_5cm,within_10cm,within_20cm,within_5deg,within_10deg,within_20deg,within_10cm_10deg,within_20cm_20deg,iterations,runtime_ms,objective_value,tag_count_input,tag_count_used,tag_count_rejected,tags_input,tags_used,tags_rejected
main29_s001,2.0,1.0,60.0,5,True,,2.0113531748490314,1.0173223310698236,59.766364114652546,0.020711294813344147,-0.2336358853474394,0.2336358853474394,True,True,True,True,True,True,True,True,73,10.78129999950761,10.328033800512499,5,5,0,36;37;38;39;45,36;37;38;39;45,
main29_s002,2.0,2.0,70.0,6,True,,2.0450085262916207,2.00684171581398,70.84097576597884,0.04552555891170119,0.8409757659788397,0.8409757659788397,True,True,True,True,True,True,True,True,57,8.440999998128973,2.4247141491538255,6,6,0,36;37;38;39;44;45,36;37;38;39;44;45,
main29_s003,2.0,3.0,265.0,7,True,,1.9667323500746263,2.99408432281121,262.5629797070872,0.03378952157339881,-2.4370202929127913,2.4370202929127913,True,True,True,True,True,True,True,True,58,9.003999999549706,1.983869240237052,7,6,1,43;44;45;46;47;38;39,43;44;45;46;38;39,47
main29_s004,2.0,4.0,290.0,6,True,,1.9572818775121852,4.020481725048277,288.73265421447826,0.0473744556679774,-1.2673457855217407,1.2673457855217407,True,True,True,True,True,True,True,True,63,9.995500004151836,8.733805714156466,6,6,0,45;46;47;48;49;39,45;46;47;48;49;39,
main29_s005,3.0,2.0,65.0,5,True,,2.9981189610826515,2.015856820507525,65.80395457256066,0.0159680012530198,0.8039545725606558,0.8039545725606558,True,True,True,True,True,True,True,True,64,9.212500001012813,4.233392115256453,5,5,0,35;36;37;38;45,35;36;37;38;45,
main29_s006,3.0,3.0,265.0,5,True,,2.9786611342827407,2.99090909308996,263.13193358029736,0.023194649782789067,-1.868066419702643,1.868066419702643,True,True,True,True,True,True,True,True,55,7.423399998515379,1.657448738649534,5,4,1,45;46;47;48;37,45;46;47;37,48
main29_s007,3.0,4.0,280.0,6,True,,2.937772044444233,4.008533236846442,276.5773688911822,0.06281030634957917,-3.422631108817825,3.422631108817825,False,True,True,True,True,True,True,True,62,9.902799996780232,2.41703761354297,6,6,0,45;46;47;48;49;38,45;46;47;48;49;38,
main29_s008,4.0,1.0,115.0,5,True,,3.964791953444982,0.9697967968953516,116.8234446352541,0.04638792968004669,1.8234446352541056,1.8234446352541056,True,True,True,True,True,True,True,True,70,10.62169999931939,4.032903034341181,5,5,0,38;39;41;42;48,38;39;41;42;48,
main29_s009,4.0,2.0,65.0,6,True,,3.9952872775583783,1.9890580689121626,65.38430401581796,0.011913673184318362,0.3843040158179747,0.3843040158179747,True,True,True,True,True,True,True,True,56,7.882400001108181,0.7595219959484063,6,5,1,34;35;36;37;46;47,34;35;36;46;47,37
main29_s010,4.0,3.0,250.0,3,True,,3.9330022704212846,2.984623505812599,254.83036713591696,0.0687395980654372,4.830367135916958,4.830367135916958,False,True,True,True,True,True,True,True,83,10.820600000442937,2.4434066722611423,3,3,0,45;46;48,45;46;48,
