sample_uid,observation_uid,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,normalized_distance_residual,measured_angle_deg,predicted_angle_deg,angle_residual_deg,normalized_angle_residual,da_combined_score,rejected,rejection_reason
main29_s003,main29_s003_o017,47,front,3.199,3.249777965639082,0.0507779656390821,1.015559312781642,-29.8,-36.36495578293051,-6.564955782930497,-1.856849900919998,1.4965380503555743,True,worst_da_normalized_residual
main29_s004,main29_s004_o022,47,front,4.306,4.189920189500406,-0.1160798104995937,-2.321596209991874,-5.5,-4.061411152892106,1.4385888471078943,0.5754355388431577,1.691291669348068,True,worst_da_normalized_residual
main29_s004,main29_s004_o023,48,front,4.522,4.638274432866882,0.11627443286688166,1.945643401752796,-15.6,-14.859588589884652,0.7404114101153425,0.296164564046137,1.3916252541149197,True,worst_da_normalized_residual
main29_s006,main29_s006_o036,48,front,3.183,3.211239564238527,0.028239564238527137,0.5647912847705427,-28.7,-34.54916193928284,-5.849161939282851,-1.6543928286100644,1.2361239474076153,True,worst_da_normalized_residual
main29_s009,main29_s009_o056,37,front,3.117,3.153339942197373,0.03633994219737291,0.7267988439474582,-26.7,-31.27271362023839,-4.572713620238403,-1.293358723717865,1.049050367661264,True,worst_da_normalized_residual
main29_s012,main29_s012_o075,40,front,5.113,5.240590552200515,0.1275905522005143,2.1349982957915925,-19.0,-18.869624939448784,0.1303750605512164,0.052150024220486556,1.5101220725589042,True,worst_da_normalized_residual
main29_s016,main29_s016_o104,35,front,3.147,3.143892177841944,-0.0031078221580558285,-0.06215644316111657,-27.7,-33.42006382003842,-5.720063820038433,-1.6178783663876015,1.1448567228809583,True,worst_da_normalized_residual
main29_s017,main29_s017_o112,51,front,3.727,3.7950988208545606,0.06809882085456076,1.3619764170912152,-26.4,-30.470134722100624,-4.070134722100619,-1.1512079449360688,1.2610034681150863,True,worst_da_normalized_residual
repeat10_s005,repeat10_s005_o028,40,front,5.048,5.1816901971790825,0.13369019717908248,2.2370648783839386,-19.8,-20.254817143351715,-0.4548171433517041,-0.18192685734068165,1.587065948774783,True,worst_da_normalized_residual
repeat10_s005,repeat10_s005_o031,49,rear,0.897,1.000654341385085,0.103654341385085,2.0730868277017,-2.5,-3.7632365510710315,-1.2632365510710315,-0.5052946204284126,1.508809406224688,True,worst_da_normalized_residual
repeat10_s006,repeat10_s006_o037,40,front,4.465,4.553881532647682,0.08888153264768217,1.7776306529536434,-25.9,-29.849246759167215,-3.9492467591672096,-1.117015665594452,1.484536078292443,True,worst_da_normalized_residual
repeat10_s008,repeat10_s008_o052,51,front,3.766,3.798274036770735,0.03227403677073504,0.6454807354147007,-27.5,-32.45604791133991,-4.956047911339908,-1.40178203439755,1.0912465926066475,True,worst_da_normalized_residual
