sample_uid,observation_uid,tag_id,camera_role,component_pattern,distance_use,distance_use_reason,angle_use,angle_use_reason,yaw_use,yaw_use_reason
main29_s001,main29_s001_o002,36,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
main29_s001,main29_s001_o003,37,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_flip
main29_s001,main29_s001_o004,38,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
main29_s001,main29_s001_o005,39,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
main29_s001,main29_s001_o006,45,rear,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
main29_s002,main29_s002_o007,36,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s002,main29_s002_o008,37,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s002,main29_s002_o009,38,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_ambiguous_low_separation
main29_s002,main29_s002_o010,39,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
main29_s002,main29_s002_o011,44,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s002,main29_s002_o012,45,rear,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_ambiguous_low_separation
main29_s003,main29_s003_o013,43,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s003,main29_s003_o014,44,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s003,main29_s003_o015,45,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
main29_s003,main29_s003_o016,46,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
main29_s003,main29_s003_o017,47,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
main29_s003,main29_s003_o018,38,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s003,main29_s003_o019,39,rear,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_ambiguous_low_separation
main29_s004,main29_s004_o020,45,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
main29_s004,main29_s004_o021,46,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s004,main29_s004_o022,47,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_flip
main29_s004,main29_s004_o023,48,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
main29_s004,main29_s004_o024,49,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s004,main29_s004_o025,39,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s005,main29_s005_o026,35,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s005,main29_s005_o027,36,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s005,main29_s005_o028,37,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
main29_s005,main29_s005_o029,38,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
main29_s005,main29_s005_o031,45,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
