sample_uid,gt_x_m,gt_y_m,gt_heading_deg,observation_count,success,failure_reason,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,signed_heading_error_deg,abs_heading_error_deg,within_5cm,within_10cm,within_20cm,within_5deg,within_10deg,within_20deg,within_10cm_10deg,within_20cm_20deg,iterations,runtime_ms,objective_value,tag_count_input,tag_count_used,tag_count_rejected,tags_input,tags_used,tags_rejected
repeat10_s001,2,1,60,4,TRUE,,1.916750438,1.031100377,60.4598468,0.088869134,0.459846799,0.459846799,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,72,10.1212,4.607249915,4,4,0,37;38;39;45,37;38;39;45,
main29_s026,9,1,45,4,TRUE,,8.922989326,1.01678476,45.55239784,0.078818603,0.552397843,0.552397843,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,66,9.8631,6.200221916,4,4,0,31;55;56;52,31;55;56;52,
main29_s011,4,4,220,6,TRUE,,4.030591179,3.928770239,220.5753522,0.077520959,0.575352201,0.575352201,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,53,9.385600002,8.547651952,6,6,0,42;43;45;46;35;36,42;43;45;46;35;36,
main29_s029,9,4,245,5,TRUE,,9.068245773,4.026315234,246.1632805,0.073143538,1.163280456,1.163280456,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,65,10.0863,4.980768471,5,5,0,49;50;51;53;58,49;50;51;53;58,
main29_s018,7,1,25,4,TRUE,,7.020566227,1.069437755,25.98351208,0.072419414,0.98351208,0.98351208,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,93,14.4439,1.156478605,4,4,0,31;55;56;57,31;55;56;57,
repeat10_s003,4,3,250,4,TRUE,,3.942042565,2.971158958,251.4030932,0.064736929,1.403093182,1.403093182,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,56,8.414299999,1.890446414,4,4,0,45;46;48;35,45;46;48;35,
repeat10_s005,5,1,115,7,TRUE,,4.956569686,1.04787296,115.5384406,0.064637547,0.538440586,0.538440586,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,69,11.97570001,2.893157838,7,7,0,36;37;38;39;40;41;49,36;37;38;39;40;41;49,
main29_s007,3,4,280,6,TRUE,,2.937772043,4.008533236,276.5773689,0.062810308,-3.422631108,3.422631108,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,62,10.5685,2.417037614,6,6,0,45;46;47;48;49;38,45;46;47;48;49;38,
main29_s027,9,2,85,3,TRUE,,9.032917196,2.045383803,88.94166598,0.056064529,3.941665984,3.941665984,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,85,11.8333,3.835960792,3,3,0,31;32;33,31;32;33,
main29_s012,5,1,115,6,TRUE,,4.94753901,1.012861438,116.620433,0.054014554,1.620432989,1.620432989,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,70,11.60700001,2.466006151,6,6,0,36;37;38;40;41;49,36;37;38;40;41;49,
main29_s017,6,4,260,5,TRUE,,6.050962178,4.014930575,261.7212388,0.05310429,1.721238806,1.721238806,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,61,9.185999996,2.222772316,5,5,0,48;49;50;51;34,48;49;50;51;34,
main29_s021,7,4,295,4,TRUE,,7.048486249,4.018949979,297.0759183,0.052057834,2.075918263,2.075918263,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,58,8.398599995,2.020546299,4,4,0,51;53;55;34,51;53;55;34,
repeat10_s009,7,1,25,4,TRUE,,7.048640436,0.994040677,25.13800699,0.049004138,0.138006993,0.138006993,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,91,14.19019999,2.180851084,4,4,0,31;55;56;57,31;55;56;57,
main29_s008,4,1,115,5,TRUE,,3.95996028,0.972633218,116.8396586,0.048498659,1.839658587,1.839658587,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,72,11.6256,4.246211366,5,5,0,38;39;41;42;48,38;39;41;42;48,
main29_s025,8,4,310,5,TRUE,,8.003459951,4.046666197,309.5680345,0.046794286,-0.431965489,0.431965489,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,49,8.139600002,2.372345337,5,5,0,53;55;56;33;34,53;55;56;33;34,
main29_s023,8,2,110,5,TRUE,,7.95777297,2.019627738,110.5949344,0.046565762,0.594934419,0.594934419,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,64,10.0179,1.550295051,5,5,0,32;33;34;35;52,32;33;34;35;52,
main29_s022,8,1,40,5,TRUE,,8.026849488,1.036323895,39.97941127,0.045169905,-0.020588731,0.020588731,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,66,10.49650001,3.85378952,5,5,0,31;55;56;57;51,31;55;56;57;51,
repeat10_s010,9,4,245,5,TRUE,,9.016177779,3.957869175,244.4009264,0.045130111,-0.599073628,0.599073628,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,66,10.1841,4.817694357,5,5,0,50;51;52;53;58,50;51;52;53;58,
main29_s001,2,1,60,5,TRUE,,1.990665834,1.043954642,59.81315468,0.044934811,-0.186845319,0.186845319,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,69,11.3043,9.90376118,5,5,0,36;37;38;39;45,36;37;38;39;45,
repeat10_s004,4,4,220,6,TRUE,,4.03649053,3.974326618,218.8158267,0.044617052,-1.184173269,1.184173269,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,55,9.459400011,5.022630698,6,6,0,42;43;45;46;35;36,42;43;45;46;35;36,
repeat10_s002,2,4,290,5,TRUE,,2.010709384,3.957736001,288.345125,0.043599731,-1.654874964,1.654874964,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,58,9.176800013,0.402530457,5,5,0,45;46;47;48;39,45;46;47;48;39,
