combo_index,rejection_score_threshold,min_score_gap,max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,joint_within_20cm_20deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s,rank
1,2.0,0.25,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.6324137999981758,1
2,2.0,0.25,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.377553700000135,2
3,2.0,0.5,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3883196999995562,3
4,2.0,0.5,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.37070889999813517,4
5,2.0,0.75,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.37468250000165426,5
6,2.0,0.75,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.37069289999999455,6
7,2.0,1.0,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.37021549999917625,7
8,2.0,1.0,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.37358970000059344,8
9,2.0,1.5,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3675927000003867,9
10,2.0,1.5,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3693671999972139,10
11,2.5,0.25,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3664804000000004,11
12,2.5,0.25,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3703554999992775,12
13,2.5,0.5,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3725659999981872,13
14,2.5,0.5,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3663496999979543,14
15,2.5,0.75,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3716902999985905,15
16,2.5,0.75,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3682872999997926,16
17,2.5,1.0,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.36707879999812576,17
18,2.5,1.0,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3708689000013692,18
19,2.5,1.5,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.36658019999958924,19
20,2.5,1.5,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3787058999987494,20
21,3.0,0.25,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3667667000008805,21
22,3.0,0.25,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.37015750000136904,22
23,3.0,0.5,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3662490999995498,23
24,3.0,0.5,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.37472510000225157,24
25,3.0,0.75,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.36908240000047954,25
26,3.0,0.75,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3726879000023473,26
27,3.0,1.0,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.37196810000023106,27
28,3.0,1.0,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3713881000003312,28
29,3.0,1.5,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3728675000020303,29
30,3.0,1.5,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.37364139999772306,30
31,3.5,0.25,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3703741999997874,31
32,3.5,0.25,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3709519000003638,32
33,3.5,0.5,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.37298809999992955,33
34,3.5,0.5,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3702651000021433,34
35,3.5,0.75,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.371965000002092,35
36,3.5,0.75,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.37005739999949583,36
37,3.5,1.0,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3847606999988784,37
38,3.5,1.0,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.36838360000183457,38
39,3.5,1.5,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.36971319999793195,39
40,3.5,1.5,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3726060000008147,40
41,4.0,0.25,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3684499000009964,41
42,4.0,0.25,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3696648999975878,42
43,4.0,0.5,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3691736000000674,43
44,4.0,0.5,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.37290459999712766,44
45,4.0,0.75,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.37390769999910844,45
46,4.0,0.75,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.37088230000154,46
47,4.0,1.0,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3662235999981931,47
48,4.0,1.0,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.36755319999792846,48
49,4.0,1.5,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.3718436000017391,49
50,4.0,1.5,1,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,1.0,0,0,0.36689100000148755,50
