rank,combo_index,rejection_score_threshold,min_score_gap,max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,joint_within_20cm_20deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
1,1,2.0,0.25,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.6117825000001176
2,2,2.0,0.25,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.3794132000002719
3,3,2.0,0.5,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.36710069999753614
4,4,2.0,0.5,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.36716919999889797
5,5,2.0,0.75,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.3722529000006034
6,6,2.0,0.75,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.3678561999986414
7,7,2.0,1.0,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.36344110000209184
8,8,2.0,1.0,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.36746629999834113
9,9,2.0,1.5,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.361823799998092
10,10,2.0,1.5,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.3625716000024113
11,11,2.5,0.25,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.3670676000001549
12,12,2.5,0.25,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.3773159999982454
13,13,2.5,0.5,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.364737600000808
