combo_index,core_reject_threshold,core_support_threshold,yaw_support_threshold,yaw_bonus_weight,min_decision_score_gap,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
1,0.8,0.4,1.5,0.25,0.3,1.0,0.042457442140185674,0.03937918699612849,0.07193072873812736,0.07407551106525607,0.10049423579621065,1.087175538996408,0.6283898174763749,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,20,20,0.817613799998071
2,0.8,0.4,1.5,0.25,0.5,1.0,0.0409360046984587,0.039000801549351816,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0889677813801943,0.6283898174763749,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,18,18,0.5447510000012699
3,0.8,0.4,2.0,0.25,0.3,1.0,0.04265478655852376,0.039000801549351816,0.07193072873812736,0.07407551106525607,0.10049423579621065,1.054880402909933,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,23,23,0.5887290999999095
4,0.8,0.4,2.0,0.25,0.5,1.0,0.04073862483946716,0.038172571852276786,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0718783715240618,0.6088384684906032,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,20,20,0.5537652999992133
5,0.8,0.4,2.5,0.25,0.3,1.0,0.04265478655852376,0.039000801549351816,0.07193072873812736,0.07407551106525607,0.10049423579621065,1.054880402909933,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,23,23,0.5985431999979482
6,0.8,0.4,2.5,0.25,0.5,1.0,0.041505688962933454,0.03879504916850857,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0662129670076719,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,20,20,0.5570719000024837
7,0.8,0.6,1.5,0.25,0.3,1.0,0.04258412898973393,0.039000801549351816,0.07193072873812736,0.07407551106525607,0.10049423579621065,1.0741862905909427,0.6088384684906032,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,22,22,0.5779363000001467
8,0.8,0.6,1.5,0.25,0.5,1.0,0.041062691548006965,0.038172571852276786,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0759785329747291,0.6088384684906032,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,20,20,0.5538352000003215
9,0.8,0.6,2.0,0.25,0.3,1.0,0.04265478655852376,0.039000801549351816,0.07193072873812736,0.07407551106525607,0.10049423579621065,1.054880402909933,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,23,23,0.5939518000013777
10,0.8,0.6,2.0,0.25,0.5,1.0,0.04113334911679679,0.038172571852276786,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0566726452937194,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,21,21,0.6700966999997036
11,0.8,0.6,2.5,0.25,0.3,1.0,0.04265478655852376,0.039000801549351816,0.07193072873812736,0.07407551106525607,0.10049423579621065,1.054880402909933,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,23,23,0.600703700001759
12,0.8,0.6,2.5,0.25,0.5,1.0,0.041505688962933454,0.03879504916850857,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0662129670076719,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,20,20,0.5542495999980019
13,0.8,0.8,1.5,0.25,0.3,1.0,0.04265478655852376,0.039000801549351816,0.07193072873812736,0.07407551106525607,0.10049423579621065,1.054880402909933,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,23,23,0.5845310000004247
14,0.8,0.8,1.5,0.25,0.5,1.0,0.04113334911679679,0.038172571852276786,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0566726452937194,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,21,21,0.5618778999996721
15,0.8,0.8,2.0,0.25,0.3,1.0,0.04265478655852376,0.039000801549351816,0.07193072873812736,0.07407551106525607,0.10049423579621065,1.054880402909933,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,23,23,0.5884807000002183
16,0.8,0.8,2.0,0.25,0.5,1.0,0.04113334911679679,0.038172571852276786,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0566726452937194,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,21,21,0.5617992999978014
17,0.8,0.8,2.5,0.25,0.3,1.0,0.04265478655852376,0.039000801549351816,0.07193072873812736,0.07407551106525607,0.10049423579621065,1.054880402909933,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,23,23,0.5893369000004895
