combo_index,core_reject_threshold,core_support_threshold,yaw_support_threshold,yaw_bonus_weight,min_decision_score_gap,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
1,0.8,0.4,1.5,0.25,0.3,1.0,0.04507790858839754,0.039417781082448575,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.183367054228007,0.7935860394007364,2.880835021029327,3.385801035393797,4.877939540716881,0.6410256410256411,0.9487179487179487,1.0,1.0,0.9487179487179487,18,18,0.7709979999999632
2,0.8,0.4,1.5,0.25,0.5,1.0,0.04344190532135362,0.03937918699612849,0.07193072873812736,0.08420754069997671,0.11184192837797675,1.185257642386005,0.7935860394007364,2.880835021029327,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,17,17,0.536955499999749
3,0.8,0.4,2.0,0.25,0.3,1.0,0.045204595437945805,0.03937918699612849,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.1703778058225418,0.6283898174763749,2.880835021029327,3.385801035393797,4.877939540716881,0.6410256410256411,0.9487179487179487,1.0,1.0,0.9487179487179487,20,20,0.5631083999978728
4,0.8,0.4,2.0,0.25,0.5,1.0,0.04317386789357226,0.039000801549351816,0.07193072873812736,0.08420754069997671,0.11184192837797675,1.1874741202108823,0.7935860394007364,2.880835021029327,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,18,18,0.5395415000020876
5,0.8,0.4,2.5,0.25,0.3,1.0,0.045204595437945805,0.03937918699612849,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.1703778058225418,0.6283898174763749,2.880835021029327,3.385801035393797,4.877939540716881,0.6410256410256411,0.9487179487179487,1.0,1.0,0.9487179487179487,20,20,0.5591593000026478
6,0.8,0.4,2.5,0.25,0.5,1.0,0.043568592170901886,0.039000801549351816,0.07193072873812736,0.08420754069997671,0.11184192837797675,1.1722683939805398,0.6283898174763749,2.880835021029327,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,19,19,0.5623494999999821
7,0.8,0.6,1.5,0.25,0.3,1.0,0.045204595437945805,0.03937918699612849,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.1703778058225418,0.6283898174763749,2.880835021029327,3.385801035393797,4.877939540716881,0.6410256410256411,0.9487179487179487,1.0,1.0,0.9487179487179487,20,20,0.5625634999996691
8,0.8,0.6,1.5,0.25,0.5,1.0,0.043568592170901886,0.039000801549351816,0.07193072873812736,0.08420754069997671,0.11184192837797675,1.1722683939805398,0.6283898174763749,2.880835021029327,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,19,19,0.5407898999983445
9,0.8,0.6,2.0,0.25,0.3,1.0,0.045204595437945805,0.03937918699612849,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.1703778058225418,0.6283898174763749,2.880835021029327,3.385801035393797,4.877939540716881,0.6410256410256411,0.9487179487179487,1.0,1.0,0.9487179487179487,20,20,0.5590457999969658
10,0.8,0.6,2.0,0.25,0.5,1.0,0.043568592170901886,0.039000801549351816,0.07193072873812736,0.08420754069997671,0.11184192837797675,1.1722683939805398,0.6283898174763749,2.880835021029327,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,19,19,0.5422465999981796
