combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
1,0.03,2.0,2.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04280472036616378,0.04036937233389647,0.07120511696264324,0.08306986910609071,0.0893760674516387,1.1594698804830013,0.8591196964910637,2.5569284980164184,3.36749259322238,4.84049812179353,0.6410256410256411,1.0,1.0,1.0,1.0,13,13,0.761534400000528
2,0.03,2.0,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04188381491696878,0.03644734394645243,0.07128856965879332,0.09102318225794825,0.12468881059325379,1.0739301444282063,0.714561177358263,2.564289065242349,3.365917065116321,4.73374776330229,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,11,11,0.4814375999994809
3,0.03,2.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04416460107848119,0.038240103801401915,0.07751812235996243,0.10372400592372918,0.12621012788388453,1.0665630773411534,0.6823963829651234,2.5675291499033506,3.36499419692052,4.688085895705711,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,12,12,0.5013658000025316
4,0.03,2.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04462328819364084,0.037924101491592005,0.07893459331902564,0.11126563737229989,0.12696062282253523,1.0568764457348159,0.6656807737261659,2.569183199135068,3.3644805091195735,4.665109077934517,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,11,11,0.48443179999958375
5,0.03,2.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04475754197888442,0.03917850417259381,0.07925446992377802,0.11592888720799369,0.12738157661629781,1.0656471240240069,0.6732299691225307,2.5701279449094727,3.3641754355311377,4.6520872999459755,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,12,12,0.49207079999905545
6,0.03,2.5,2.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04626426713281893,0.03899228273640968,0.07780877637012092,0.09435844582625487,0.1312979445866557,1.1714293534533733,0.9594656872239966,2.2019166869226865,3.331295793613549,4.839543242746515,0.6410256410256411,0.9743589743589743,1.0,1.0,0.9743589743589743,11,11,0.472831999999471
7,0.03,2.5,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04570188500910953,0.037484994289540774,0.08104372488556541,0.10628345293096661,0.1369113177611524,1.0849219042628129,0.772785511948598,2.6638379442254063,3.3209614160442698,4.732032078547974,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,7,7,0.4488129999990633
8,0.03,2.5,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.047063244243519924,0.03822478588293447,0.0857169336514736,0.11066610717206452,0.13925863684223874,1.0800331685601554,0.7236980484625235,2.6762009222444476,3.315701126968918,4.686048682200038,0.6666666666666666,0.9230769230769231,1.0,1.0,0.9230769230769231,7,7,0.4450427999981912
9,0.03,2.5,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04937007776606919,0.03973868867892285,0.0902214472965354,0.11273331070319445,0.14042767301278278,1.0940293128905876,0.6990055601069685,2.6826578641488936,3.3128651817340824,4.662911113185203,0.6410256410256411,0.9230769230769231,1.0,1.0,0.9230769230769231,6,6,0.4332820999989053
10,0.03,2.5,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.050099477188331264,0.040162503365200275,0.0928606221903919,0.11611075165015035,0.1410866260028734,1.0933980456295689,0.6850138190877715,2.658422020714653,3.311201244646668,4.64979856732478,0.6153846153846154,0.9230769230769231,1.0,1.0,0.9230769230769231,6,6,0.43512850000115577
