rank,combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
1,54,0.05,2.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.0388574836512503,0.037413546087538385,0.0629615288849841,0.07638798089719843,0.09064218436977507,1.0959158901014627,0.7090815821508158,2.3268699418286474,3.4761359287850837,4.742955868403044,0.7948717948717948,1.0,1.0,1.0,1.0,12,12,0.47362270000303397
2,28,0.04,2.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.040355023055040566,0.03770179954245017,0.06373122230876985,0.07467084938181166,0.0908557027800358,1.074007460221294,0.6878771368260175,2.426757356800408,3.4287702815240664,4.737627681165947,0.717948717948718,1.0,1.0,1.0,1.0,12,12,0.47801220000110334
3,79,0.06,2.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03840308612867211,0.036854231396234664,0.06404504151648222,0.0814311218102046,0.08590259392298748,1.1023808057525297,0.7430639048237992,2.2639020425064587,3.506662924124896,4.788644033677116,0.7692307692307693,1.0,1.0,1.0,1.0,12,12,0.48016759999882197
4,55,0.05,2.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03931219236537212,0.03913282279401099,0.06439555943986171,0.07054358959064208,0.09888978884586995,1.0961039564503063,0.69085741158068,2.321564039623013,3.479035429023668,4.712719146705751,0.7948717948717948,1.0,1.0,1.0,1.0,16,16,0.5039126999981818
5,80,0.06,2.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.038587515611882756,0.03867874439717975,0.06440714417588413,0.07845955227038158,0.09038390426150267,1.1229468221104493,0.7311685925080837,2.256316961511459,3.5107894302649356,4.749971956318149,0.7692307692307693,1.0,1.0,1.0,1.0,15,15,0.5135794000016176
6,105,0.08,2.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03830842165264475,0.036193487190988985,0.06485321405856517,0.07597561311900818,0.09551935668332366,1.1364069392769296,0.8690637636049701,2.181211990113866,3.548451882981283,4.831394068948043,0.7692307692307693,1.0,1.0,1.0,1.0,15,15,0.5138451999991958
7,84,0.06,2.5,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03978054216818615,0.03862905627882463,0.06517572327895921,0.08160259474282462,0.08365412177031492,1.0802550507054407,0.7390940894554774,2.3510392435155154,3.4640218429184415,4.781638738245277,0.7692307692307693,1.0,1.0,1.0,1.0,9,9,0.45245929999873624
8,53,0.05,2.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03842746670755321,0.036428507525178525,0.0655561527264765,0.07951020855801558,0.08595750585590044,1.08331608403693,0.7408564096882628,2.335908270016489,3.4711890019075327,4.792978175798055,0.7948717948717948,1.0,1.0,1.0,1.0,13,13,0.5054122000001371
9,57,0.05,2.5,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03944515257175828,0.0368468454054741,0.06573034897012445,0.07144675068054025,0.07237038239399993,1.1174254727695314,0.845405708267748,2.4424183868612204,3.41928972334415,4.879111884636103,0.7692307692307693,1.0,1.0,1.0,1.0,8,8,0.4527459999990242
10,58,0.05,2.5,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.039851245443150614,0.03593339772087352,0.06646564225975105,0.07960959623615523,0.0844137622083047,1.084319410837277,0.7699008105773544,2.4324038147553892,3.4254224801682653,4.7886912095342495,0.7435897435897436,1.0,1.0,1.0,1.0,11,11,0.4758524999997462
