combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
1,0.03,2.0,2.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04107299194826699,0.0387211005955509,0.07022058651974204,0.07120511696264324,0.0893760674516387,1.2380656757109063,0.9196323795793546,2.6818210824813775,3.36749259322238,4.84049812179353,0.717948717948718,1.0,1.0,1.0,1.0,9,9,0.6968013999976392
2,0.03,2.0,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03773256350505581,0.03644734394645243,0.06452382828565027,0.06895805582101464,0.07128856965879332,1.1670763682511485,0.8062140306348624,2.564289065242349,3.365917065116321,4.73374776330229,0.7948717948717948,1.0,1.0,1.0,1.0,8,8,0.45631520000097225
3,0.03,2.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.039208976766945756,0.03735965019915741,0.06479937661993763,0.06807637509859431,0.07158152475583873,1.1579398168886565,0.7995062316195458,2.5675291499033506,3.36499419692052,4.688085895705711,0.7692307692307693,1.0,1.0,1.0,1.0,9,9,0.46485720000055153
4,0.03,2.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03999549886694949,0.037924101491592005,0.06666864667710386,0.06769171490206582,0.0717283297096541,1.1482951890915092,0.796311240444254,2.569183199135068,3.3644805091195735,4.665109077934517,0.7435897435897436,1.0,1.0,1.0,1.0,9,9,0.4687145000025339
5,0.03,2.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04001506264485916,0.03917850417259381,0.0674115533289194,0.06775232834122598,0.07181144178499256,1.1567707453603002,0.7945509137440183,2.5701279449094727,3.3641754355311377,4.6520872999459755,0.717948717948718,1.0,1.0,1.0,1.0,10,10,0.46506899999803863
6,0.03,2.5,2.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04101770918063781,0.038121293509654,0.07061538089702585,0.07571806916977619,0.08943356134950482,1.2168067208682334,0.9594656872239966,2.6744880344900253,3.331295793613549,4.839543242746515,0.7435897435897436,1.0,1.0,1.0,1.0,7,7,0.42700390000027255
7,0.03,2.5,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03949224780810881,0.037484994289540774,0.0691841232674373,0.07328126787676535,0.0776646413396492,1.177126561319015,0.7862623938051456,2.6638379442254063,3.3209614160442698,4.732032078547974,0.7692307692307693,1.0,1.0,1.0,1.0,5,5,0.42812310000226717
8,0.03,2.5,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04000306885680812,0.03822478588293447,0.07023771688277917,0.07426988965021214,0.07854967663005906,1.1695748730250755,0.7780316318643372,2.6762009222444476,3.315701126968918,4.686048682200038,0.717948717948718,1.0,1.0,1.0,1.0,5,5,0.42728600000191364
9,0.03,2.5,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04135096630794452,0.03924300812207126,0.06985765852241052,0.07700291629101658,0.07900906600860066,1.1730525980622293,0.7740846409986659,2.6826578641488936,3.3128651817340824,4.662911113185203,0.6923076923076923,1.0,1.0,1.0,1.0,6,6,0.43892219999906956
10,0.03,2.5,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04194790136185147,0.03921872930381128,0.06964813246716384,0.07860736438042713,0.07927391344998903,1.1716613738351345,0.7719027135805163,2.658422020714653,3.311201244646668,4.64979856732478,0.6666666666666666,1.0,1.0,1.0,1.0,6,6,0.43704710000019986
