rank,combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
1,79,0.06,2.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03716803637701064,0.036854231396234664,0.05377075975249516,0.06498769588783614,0.08590259392298748,1.1756558217923232,0.857833885702064,2.408847250184749,3.506662924124896,4.788644033677116,0.7948717948717948,1.0,1.0,1.0,1.0,9,9,0.4510960999978124
2,54,0.05,2.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03687864358213235,0.03665249702027429,0.05564890570314707,0.06536961582802833,0.07638798089719843,1.1670903735203246,0.8454155100847061,2.3268699418286474,3.4761359287850837,4.742955868403044,0.8461538461538461,1.0,1.0,1.0,1.0,9,9,0.4466327999980422
3,125,0.08,5.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03600625950541757,0.03502211656559872,0.05597876262882591,0.06897207440697235,0.06907356963238738,1.139408607534731,0.8223737618363316,2.49362722425343,3.379385262992571,4.804192283171744,0.8205128205128205,1.0,1.0,1.0,1.0,0,0,0.3818720999988727
4,120,0.08,4.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.035570004988093804,0.035324831120886094,0.056569468528918754,0.06333304336049747,0.06743335314364976,1.135743948402972,0.837957877320548,2.50727200319335,3.4242358010038743,4.806510993159009,0.8717948717948718,1.0,1.0,1.0,1.0,0,0,0.37307789999977103
5,85,0.06,2.5,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.037707527502931194,0.036617066926513266,0.056812502282825736,0.06553240957453048,0.07601575964854888,1.1432074289693208,0.7749729519726998,2.344187276212722,3.4677898080086607,4.741763401034575,0.8461538461538461,1.0,1.0,1.0,1.0,7,7,0.4334761999998591
6,84,0.06,2.5,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.037783121673749184,0.036436156854450445,0.05745456293542505,0.06582412123093744,0.08365412177031492,1.152415007698338,0.7894448208232063,2.3771115456572147,3.4640218429184415,4.781638738245277,0.8461538461538461,1.0,1.0,1.0,1.0,7,7,0.43183700000008685
7,80,0.06,2.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03640711543663168,0.036884282668506185,0.05745896223742063,0.06477522437279806,0.07845955227038158,1.1701232000378683,0.8554751348946752,2.256316961511459,3.5107894302649356,4.749971956318149,0.7948717948717948,1.0,1.0,1.0,1.0,11,11,0.4737271999983932
8,53,0.05,2.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03761146392840494,0.036428507525178525,0.05754784552456043,0.06572067365570682,0.08595750585590044,1.1669752031502925,0.7843615068992449,2.436255834911293,3.4711890019075327,4.792978175798055,0.7948717948717948,1.0,1.0,1.0,1.0,9,9,0.4667871000019659
9,94,0.06,4.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03606471400900668,0.035195307587322124,0.05830576077262044,0.06979200629125731,0.07102214703787937,1.1324956551715717,0.812703806277085,2.342715176604571,3.3666280185555024,4.774903052693986,0.8461538461538461,1.0,1.0,1.0,1.0,0,0,0.3786886999987473
10,115,0.08,3.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.038717852598661374,0.037351610022132574,0.05918779427419345,0.06620267176913848,0.08981880326946559,1.1788926867220988,0.7766368434272124,2.536738916656077,3.4819389530552485,4.812029097695643,0.8205128205128205,1.0,1.0,1.0,1.0,5,5,0.4180787000004784
