combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
1,0.05,2.5,3.0,0.75,0.75,0.25,0.8,0.5,1,1.0,0.04276565978238238,0.03923442636456926,0.07324511222225026,0.09270464786756384,0.1060162618294196,1.098604442738782,0.7243074986339479,2.4259556851884554,3.42924043853111,4.730364364598472,0.717948717948718,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.6651828000030946
2,0.05,2.5,3.0,0.75,0.75,0.5,0.8,0.5,1,1.0,0.03952739029811827,0.035113500677322065,0.0677570761417693,0.07531358463891384,0.10494579114639078,1.0737954532033531,0.7891554311355549,2.4350345294316753,3.4238384750162822,4.812444150357578,0.7948717948717948,0.9743589743589743,1.0,1.0,0.9743589743589743,6,6,0.4380890999964322
3,0.05,2.5,3.0,0.75,0.75,0.75,0.8,0.5,1,1.0,0.039352607243260486,0.03684684994569012,0.06573034828291392,0.07144674927222032,0.0723703827480289,1.1268072948534917,0.8454056910177314,2.442418428368967,3.4192897331696486,4.879111745614409,0.7692307692307693,1.0,1.0,1.0,1.0,7,7,0.44235440000193194
4,0.05,2.5,3.0,0.75,0.75,1.0,0.8,0.5,1,1.0,0.04114031085280768,0.039347552088147116,0.0666409102248139,0.074583466185051,0.1131203480177205,1.1908796233190833,0.8946408391402372,2.448525667194019,3.525053644529578,4.934453009721125,0.717948717948718,0.9743589743589743,1.0,1.0,0.9743589743589743,7,7,0.4317850999941584
5,0.05,2.5,3.0,0.75,1.0,0.25,0.8,0.5,1,1.0,0.0417899756339448,0.03995166802104703,0.07141909121519885,0.09256618413295989,0.09596072845781713,1.0691466217599925,0.6704411299504329,2.359803779050594,3.460401119518849,4.733563533282961,0.7435897435897436,1.0,1.0,1.0,1.0,8,8,0.4454717999979039
6,0.05,2.5,3.0,0.75,1.0,0.5,0.8,0.5,1,1.0,0.0390808600786037,0.037922105935135245,0.06720070307398703,0.07527900438347368,0.08975115765087688,1.0773288466862818,0.7680016260846401,2.373056506911837,3.4530496900214303,4.81465300697414,0.7948717948717948,1.0,1.0,1.0,1.0,10,10,0.467145900001924
7,0.05,2.5,3.0,0.75,1.0,0.75,0.8,0.5,1,1.0,0.03972433279528213,0.03532394101191781,0.0659115855240332,0.07103758231584438,0.10193478677768941,1.1048494732425422,0.8178730755828951,2.38420307080429,3.4467986442513734,4.880508541409938,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,10,10,0.46000679999997374
8,0.05,2.5,3.0,0.75,1.0,1.0,0.8,0.5,1,1.0,0.04220695915644088,0.037861290159755964,0.07092123262382719,0.11178870269934,0.1130068198435871,1.1665070599892657,0.8618019553898648,2.393697971876577,3.5410137529222254,4.935170937474652,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.474469599997974
9,0.05,2.5,3.0,0.75,1.25,0.25,0.8,0.5,1,1.0,0.040167870644967664,0.04008625081907471,0.06338898422457394,0.07533287866900003,0.09242852646608114,1.0947295198130502,0.7019391855718311,2.3122612419409734,3.4833001857997488,4.736895560001585,0.7692307692307693,1.0,1.0,1.0,1.0,10,10,0.46200669999961974
10,0.05,2.5,3.0,0.75,1.25,0.5,0.8,0.5,1,1.0,0.03878933830022357,0.03636312975262009,0.06668647510394954,0.07524444849198746,0.09061681587596346,1.0845042042336723,0.751674179831582,2.3272538606281046,3.4751145617316865,4.816987557024788,0.7948717948717948,1.0,1.0,1.0,1.0,12,12,0.48080620000109775
11,0.05,2.5,3.0,0.75,1.25,0.75,0.8,0.5,1,1.0,0.03916435293979215,0.038393207484379674,0.06592696834754927,0.07034989030927367,0.1026804675327469,1.1080064340222044,0.7963577656232133,2.340160256528236,3.468047262195114,4.882026091447472,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,12,12,0.47672099999908824
12,0.05,2.5,3.0,0.75,1.25,1.0,0.8,0.5,1,1.0,0.04113400263107411,0.03607809144187128,0.06999610566813627,0.11244258974212043,0.11289373348631102,1.1544413363300463,0.8367013040506208,2.351379824149717,3.5568010674966217,4.936006166486351,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,11,11,0.46496509999997215
13,0.05,2.5,3.0,0.75,1.5,0.25,0.8,0.5,1,1.0,0.039073107882348836,0.03885501097114697,0.06398148413731657,0.07635358438569699,0.09229166866707977,1.1048567054198004,0.7399653931742591,2.27649031125236,3.5008380624923916,4.740358028744225,0.7948717948717948,1.0,1.0,1.0,1.0,14,14,0.5074481000046944
14,0.05,2.5,3.0,0.75,1.5,0.5,0.8,0.5,1,1.0,0.03829009577355323,0.037000473849554724,0.0662137937672446,0.07520991496586005,0.09147723566759192,1.0868614687581952,0.7386271176142714,2.292063683113952,3.4923677619812565,4.819445727866139,0.7692307692307693,1.0,1.0,1.0,1.0,13,13,0.49046069999894826
15,0.05,2.5,3.0,0.75,1.5,0.75,0.8,0.5,1,1.0,0.03801558947488669,0.03617283572338903,0.06594211706366003,0.06986061782179862,0.10342217010347107,1.1067947097140627,0.7790348314008497,2.3057078424855035,3.4849535699896705,4.8836620208277,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,14,14,0.49586529999942286
16,0.05,2.5,3.0,0.75,1.5,1.0,0.8,0.5,1,1.0,0.04063802018636023,0.03554898272137148,0.06923615792833383,0.11278106036730431,0.113093374118287,1.1571328874207831,0.8159068166270913,2.3177540911465258,3.5724197258991808,4.93695614241912,0.7435897435897436,0.9487179487179487,1.0,1.0,0.9487179487179487,13,13,0.48628179999650456
17,0.05,2.5,3.0,1.0,0.75,0.25,0.8,0.5,1,1.0,0.04533417111606376,0.03917555905187588,0.07560703416926833,0.09933010999202932,0.11632339279387054,1.1016008723524846,0.7164803686244454,2.494506833916887,3.3979692766609446,4.704243817582665,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,3,3,0.3970986999993329
18,0.05,2.5,3.0,1.0,0.75,0.5,0.8,0.5,1,1.0,0.041890285116249204,0.036279947906095976,0.07479077100764926,0.08267799213883593,0.11479113164595178,1.0836861068338857,0.774777258972847,2.496704833861429,3.3960265823425857,4.771735733072177,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.4120565000048373
19,0.05,2.5,3.0,1.0,0.75,0.75,0.8,0.5,1,1.0,0.04166626755880235,0.03524517508001184,0.0724333771062202,0.0766619996352822,0.11342548117804838,1.1058497958260485,0.8261372050941418,2.498490166421732,3.3942693163772333,4.828956841809173,0.717948717948718,0.9743589743589743,1.0,1.0,0.9743589743589743,5,5,0.43668220000108704
20,0.05,2.5,3.0,1.0,0.75,1.0,0.8,0.5,1,1.0,0.04021051498456031,0.03671578579497365,0.06883176767885456,0.07240058329170682,0.07371729072658671,1.151236519507386,0.8438893853868876,2.4999571501705873,3.3926544142458965,4.878144973464231,0.6666666666666666,1.0,1.0,1.0,1.0,7,7,0.4345681999984663
21,0.05,2.5,3.0,1.0,1.0,0.25,0.8,0.5,1,1.0,0.042644332392960255,0.038766650649286145,0.06869223664428199,0.09919387381607137,0.10630728991511261,1.0653196659724216,0.6700328214243427,2.423354111056483,3.430758747414984,4.706765087560086,0.717948717948718,0.9743589743589743,1.0,1.0,0.9743589743589743,8,8,0.4505171999990125
22,0.05,2.5,3.0,1.0,1.0,0.5,0.8,0.5,1,1.0,0.04139595803329226,0.03645203258040644,0.07296851678968654,0.08262035951268447,0.10546328658517942,1.0766464198100585,0.7579231620990754,2.4307399365749234,3.426415873743167,4.773658325372537,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,10,10,0.4629328000009991
23,0.05,2.5,3.0,1.0,1.0,0.75,0.8,0.5,1,1.0,0.03844616303180084,0.034138676932094505,0.06389957763552485,0.07241941473213814,0.0726332751583588,1.0924440709616716,0.8039545725606558,2.4370202929127913,3.422631108817825,4.830367090331237,0.7692307692307693,1.0,1.0,1.0,1.0,8,8,0.4497460999991745
24,0.05,2.5,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03944515257175828,0.0368468454054741,0.06573034897012445,0.07144675068054025,0.07237038239399993,1.1174254727695314,0.845405708267748,2.4424183868612204,3.41928972334415,4.879111884636103,0.7692307692307693,1.0,1.0,1.0,1.0,8,8,0.45954879999771947
25,0.05,2.5,3.0,1.0,1.25,0.25,0.8,0.5,1,1.0,0.04076496684495211,0.03897261985940911,0.06441906429420861,0.0718926423056511,0.09905830987262032,1.0918701877823953,0.6986717570108283,2.3707082003060123,3.4554953896590064,4.709363766403726,0.7692307692307693,1.0,1.0,1.0,1.0,10,10,0.4662058000030811
26,0.05,2.5,3.0,1.0,1.25,0.5,0.8,0.5,1,1.0,0.039849977306566066,0.038301297073103535,0.06523613050438237,0.08227583059794993,0.08256290781573704,1.0809417774930254,0.744571732868053,2.3807795462056447,3.449886470154752,4.775654857816704,0.7692307692307693,1.0,1.0,1.0,1.0,11,11,0.4676086999970721
27,0.05,2.5,3.0,1.0,1.25,0.75,0.8,0.5,1,1.0,0.039396345886771544,0.037417854260587705,0.06831648795274906,0.07240541859819932,0.09285048272238901,1.09119965287688,0.7861942721727928,2.3895280448782614,3.4449658031919626,4.831848805307146,0.7692307692307693,1.0,1.0,1.0,1.0,11,11,0.47993850000057137
28,0.05,2.5,3.0,1.0,1.25,1.0,0.8,0.5,1,1.0,0.039813741416203405,0.03557274877100538,0.06590769698776514,0.07133398867143168,0.10174773718814845,1.1050472568428649,0.8241006866106204,2.3971927486405207,3.440605981127078,4.88014804100726,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,10,10,0.46383209999476094
29,0.05,2.5,3.0,1.0,1.5,0.25,0.8,0.5,1,1.0,0.03946461574957738,0.039123107526092674,0.06438644260706765,0.07077935019970091,0.09892340792082029,1.094955423348993,0.6922798036773372,2.330251187155625,3.4748400761650373,4.712038484452421,0.7692307692307693,1.0,1.0,1.0,1.0,13,13,0.4877342999971006
30,0.05,2.5,3.0,1.0,1.5,0.5,0.8,0.5,1,1.0,0.03857896530904443,0.03646954091830931,0.06484217924134741,0.08250562407254426,0.08298281157963276,1.0809624207827249,0.7336988973739835,2.34168860408397,3.4685734067834915,4.7777241232595316,0.7948717948717948,1.0,1.0,1.0,1.0,13,13,0.48758519999682903
31,0.05,2.5,3.0,1.0,1.5,0.75,0.8,0.5,1,1.0,0.038114575251621124,0.035338914458075556,0.06791681246458449,0.07239139095584363,0.09347615287259571,1.0899352027524862,0.7716341807798699,2.3517820509654257,3.463021376257416,4.833400735987141,0.7948717948717948,1.0,1.0,1.0,1.0,13,13,0.48893829999724403
32,0.05,2.5,3.0,1.0,1.5,1.0,0.8,0.5,1,1.0,0.04044743254408524,0.03704941945244836,0.07050132063862193,0.09905627364157989,0.10230812826391696,1.1378327563370483,0.8236782575810366,2.3607510850757762,3.458063642562422,4.881252360283895,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,13,13,0.48418080000556074
33,0.05,2.5,3.0,1.25,0.75,0.25,0.8,0.5,1,1.0,0.046692234640784584,0.04072599357548871,0.0778044289873162,0.10393855695820478,0.12415298569958128,1.0993524070467384,0.7100870296044093,2.551139344048238,3.372417327694677,4.687702502743036,0.6666666666666666,0.9487179487179487,1.0,1.0,0.9487179487179487,3,3,0.41427939999994123
34,0.05,2.5,3.0,1.25,0.75,0.5,0.8,0.5,1,1.0,0.04345898453352302,0.03577993011915936,0.07672364176211845,0.0896575019932586,0.12238823003733208,1.0861654239892455,0.7614935590397636,2.5485383700898865,3.3728817756468175,4.7448694769894075,0.717948717948718,0.9743589743589743,1.0,1.0,0.9743589743589743,5,5,0.423641299996234
35,0.05,2.5,3.0,1.25,0.75,0.75,0.8,0.5,1,1.0,0.04267963036070993,0.03692551046319971,0.07590146820857878,0.085575727031794,0.12079677117907611,1.0977509594298358,0.8101376221690089,2.5462936606509174,3.3731381225121027,4.794725218927425,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,5,5,0.44176530000549974
36,0.05,2.5,3.0,1.25,0.75,1.0,0.8,0.5,1,1.0,0.04237099899421526,0.035385264512630576,0.07089101291076473,0.08159351325146075,0.1193536659152265,1.13578989763496,0.8417936105319654,2.544329751848238,3.3732307804708626,4.838622091215598,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,6,6,0.4387332999976934
37,0.05,2.5,3.0,1.25,1.0,0.25,0.8,0.5,1,1.0,0.042941545469807836,0.038777280021557586,0.07071577918055597,0.10381084369053906,0.1144105153618756,1.0745264337125484,0.7020145970158183,2.477560221598992,3.405911749974223,4.689780906455638,0.7435897435897436,0.9487179487179487,1.0,1.0,0.9487179487179487,6,6,0.43563369999901624
38,0.05,2.5,3.0,1.25,1.0,0.5,0.8,0.5,1,1.0,0.040637892968019076,0.03645027794106232,0.06583654791664488,0.08833085162426316,0.11327629447960329,1.0737977154530933,0.705253773773336,2.480554853621584,3.4037858616420067,4.746547331902377,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,9,9,0.4526174999991781
39,0.05,2.5,3.0,1.25,1.0,0.75,0.8,0.5,1,1.0,0.03899529683898675,0.0358043229011468,0.06607386195762953,0.07413663329609066,0.07799640891456248,1.087068599340412,0.7918665876011062,2.483113895357974,3.4018674083156952,4.796050655997192,0.7435897435897436,1.0,1.0,1.0,1.0,8,8,0.4516748000023654
40,0.05,2.5,3.0,1.25,1.0,1.0,0.8,0.5,1,1.0,0.039983202983158814,0.03538063753213941,0.06966522962660557,0.07373924356746289,0.07414326337913191,1.1106134726622765,0.8306214473096247,2.485319631604227,3.40011636641475,4.83963511068913,0.7435897435897436,1.0,1.0,1.0,1.0,8,8,0.45296300000336487
41,0.05,2.5,3.0,1.25,1.25,0.25,0.8,0.5,1,1.0,0.043003617591009624,0.03831412490165562,0.06634359772070822,0.10368366433120822,0.10648687332545763,1.063937650165338,0.6614475064983765,2.4217192215732553,3.4317071863040383,4.691909889569075,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,8,8,0.469329799998377
42,0.05,2.5,3.0,1.25,1.25,0.5,0.8,0.5,1,1.0,0.04032163207621054,0.037332490264793815,0.06429653301856315,0.07671773810620953,0.08826418698553416,1.0762622022679693,0.6940317506156646,2.4279331972378486,3.4280783867490072,4.748273793464591,0.7435897435897436,1.0,1.0,1.0,1.0,11,11,0.47486669999489095
43,0.05,2.5,3.0,1.25,1.25,0.75,0.8,0.5,1,1.0,0.039784740153355834,0.03563411370066917,0.06693898409540144,0.07796662302673366,0.08606066772304437,1.0860579379367947,0.7769321980235304,2.433370746798289,3.424842200053604,4.797423256609761,0.7435897435897436,1.0,1.0,1.0,1.0,11,11,0.4749673999976949
44,0.05,2.5,3.0,1.25,1.25,1.0,0.8,0.5,1,1.0,0.03956280366103834,0.03419239370448759,0.06930885541759757,0.07257559370697937,0.09413636048051464,1.086893131968348,0.8125887831143928,2.4381644624781416,3.4219304337653966,4.840694142466361,0.7692307692307693,1.0,1.0,1.0,1.0,11,11,0.47454730000026757
45,0.05,2.5,3.0,1.25,1.5,0.25,0.8,0.5,1,1.0,0.04019553618218093,0.038323291349851574,0.06527099029526656,0.07221783793968649,0.10355700340906132,1.0845329692726449,0.6570297688903111,2.3779915899838215,3.4522227027047734,4.694088849296861,0.7692307692307693,0.9743589743589743,1.0,1.0,0.9743589743589743,14,14,0.5032136000008904
46,0.05,2.5,3.0,1.25,1.5,0.5,0.8,0.5,1,1.0,0.039620091753196876,0.03778317273732299,0.06396031333692367,0.07731735731553516,0.08819772238282127,1.0782252175713212,0.6847839157666158,2.386078691901389,3.4477059034931585,4.750048368608162,0.7692307692307693,1.0,1.0,1.0,1.0,12,12,0.47602119999646675
47,0.05,2.5,3.0,1.25,1.5,0.75,0.8,0.5,1,1.0,0.03895583032363236,0.035392677296578995,0.06660106321575036,0.0779368780799903,0.08660124876723559,1.083069131275796,0.7644936289024713,2.3932606921110278,3.443658663412407,4.798842481186796,0.7948717948717948,1.0,1.0,1.0,1.0,12,12,0.48261310000088997
48,0.05,2.5,3.0,1.25,1.5,1.0,0.8,0.5,1,1.0,0.039463708319680255,0.03605004668404517,0.06896750952816369,0.07164970147184395,0.09462791614309471,1.0993836034427777,0.797464967440277,2.399678021107775,3.440006295258968,4.841798572122059,0.7692307692307693,1.0,1.0,1.0,1.0,12,12,0.48032270000112476
