rank,combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
1,9,0.05,2.5,3.0,0.75,1.25,0.25,0.8,0.5,1,1.0,0.040167870644967664,0.04008625081907471,0.06338898422457394,0.07533287866900003,0.09242852646608114,1.0947295198130502,0.7019391855718311,2.3122612419409734,3.4833001857997488,4.736895560001585,0.7692307692307693,1.0,1.0,1.0,1.0,10,10,0.46200669999961974
2,23,0.05,2.5,3.0,1.0,1.0,0.75,0.8,0.5,1,1.0,0.03844616303180084,0.034138676932094505,0.06389957763552485,0.07241941473213814,0.0726332751583588,1.0924440709616716,0.8039545725606558,2.4370202929127913,3.422631108817825,4.830367090331237,0.7692307692307693,1.0,1.0,1.0,1.0,8,8,0.4497460999991745
3,46,0.05,2.5,3.0,1.25,1.5,0.5,0.8,0.5,1,1.0,0.039620091753196876,0.03778317273732299,0.06396031333692367,0.07731735731553516,0.08819772238282127,1.0782252175713212,0.6847839157666158,2.386078691901389,3.4477059034931585,4.750048368608162,0.7692307692307693,1.0,1.0,1.0,1.0,12,12,0.47602119999646675
4,13,0.05,2.5,3.0,0.75,1.5,0.25,0.8,0.5,1,1.0,0.039073107882348836,0.03885501097114697,0.06398148413731657,0.07635358438569699,0.09229166866707977,1.1048567054198004,0.7399653931742591,2.27649031125236,3.5008380624923916,4.740358028744225,0.7948717948717948,1.0,1.0,1.0,1.0,14,14,0.5074481000046944
5,42,0.05,2.5,3.0,1.25,1.25,0.5,0.8,0.5,1,1.0,0.04032163207621054,0.037332490264793815,0.06429653301856315,0.07671773810620953,0.08826418698553416,1.0762622022679693,0.6940317506156646,2.4279331972378486,3.4280783867490072,4.748273793464591,0.7435897435897436,1.0,1.0,1.0,1.0,11,11,0.47486669999489095
6,29,0.05,2.5,3.0,1.0,1.5,0.25,0.8,0.5,1,1.0,0.03946461574957738,0.039123107526092674,0.06438644260706765,0.07077935019970091,0.09892340792082029,1.094955423348993,0.6922798036773372,2.330251187155625,3.4748400761650373,4.712038484452421,0.7692307692307693,1.0,1.0,1.0,1.0,13,13,0.4877342999971006
7,25,0.05,2.5,3.0,1.0,1.25,0.25,0.8,0.5,1,1.0,0.04076496684495211,0.03897261985940911,0.06441906429420861,0.0718926423056511,0.09905830987262032,1.0918701877823953,0.6986717570108283,2.3707082003060123,3.4554953896590064,4.709363766403726,0.7692307692307693,1.0,1.0,1.0,1.0,10,10,0.4662058000030811
8,30,0.05,2.5,3.0,1.0,1.5,0.5,0.8,0.5,1,1.0,0.03857896530904443,0.03646954091830931,0.06484217924134741,0.08250562407254426,0.08298281157963276,1.0809624207827249,0.7336988973739835,2.34168860408397,3.4685734067834915,4.7777241232595316,0.7948717948717948,1.0,1.0,1.0,1.0,13,13,0.48758519999682903
9,26,0.05,2.5,3.0,1.0,1.25,0.5,0.8,0.5,1,1.0,0.039849977306566066,0.038301297073103535,0.06523613050438237,0.08227583059794993,0.08256290781573704,1.0809417774930254,0.744571732868053,2.3807795462056447,3.449886470154752,4.775654857816704,0.7692307692307693,1.0,1.0,1.0,1.0,11,11,0.4676086999970721
10,3,0.05,2.5,3.0,0.75,0.75,0.75,0.8,0.5,1,1.0,0.039352607243260486,0.03684684994569012,0.06573034828291392,0.07144674927222032,0.0723703827480289,1.1268072948534917,0.8454056910177314,2.442418428368967,3.4192897331696486,4.879111745614409,0.7692307692307693,1.0,1.0,1.0,1.0,7,7,0.44235440000193194
