combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
1,0.05,2.5,3.0,0.75,0.75,0.25,0.8,0.5,1,1.0,0.03741885051788739,0.03671611477764903,0.06165944355384155,0.06334701463389875,0.06636107952540557,1.1654527715531775,0.8108144217293898,2.4259556851884554,3.42924043853111,4.730364364598472,0.8205128205128205,1.0,1.0,1.0,1.0,4,4,0.6399453999983962
2,0.05,2.5,3.0,0.75,0.75,0.5,0.8,0.5,1,1.0,0.036967746885724836,0.035113500677322065,0.0627181759232524,0.06715836522666284,0.0677570761417693,1.1640362825970472,0.8386947457076985,2.5382984025860935,3.4238384750162822,4.812444150357578,0.8461538461538461,1.0,1.0,1.0,1.0,4,4,0.412465000001248
3,0.05,2.5,3.0,0.75,0.75,0.75,0.8,0.5,1,1.0,0.03735496361461762,0.03354508261726728,0.06305146957048535,0.07144674927222032,0.08508487712997118,1.167835305956731,0.8454056910177314,2.8913570715066896,3.4192897331696486,4.879111745614409,0.8461538461538461,1.0,1.0,1.0,1.0,4,4,0.4117811999967671
4,0.05,2.5,3.0,0.75,0.75,1.0,0.8,0.5,1,1.0,0.04011305084846998,0.03382338987657205,0.0666409102248139,0.10740255138502185,0.1131203480177205,1.237367077590509,0.8946408391402372,3.190186608835603,3.525053644529578,4.934453009721125,0.7692307692307693,0.9487179487179487,1.0,1.0,0.9487179487179487,4,4,0.40338899999915157
5,0.05,2.5,3.0,0.75,1.0,0.25,0.8,0.5,1,1.0,0.03770640395777558,0.03658728158376089,0.057872646667440006,0.06564510769702805,0.07430499012473622,1.1418552874925854,0.7804186931287234,2.359803779050594,3.460401119518849,4.733563533282961,0.8461538461538461,1.0,1.0,1.0,1.0,7,7,0.43527699999685865
6,0.05,2.5,3.0,0.75,1.0,0.5,0.8,0.5,1,1.0,0.03797335576247944,0.03708037255024952,0.05996011443998734,0.06720070307398703,0.08975115765087688,1.1610984517835732,0.8109883422505106,2.5508372089920215,3.4530496900214303,4.81465300697414,0.8461538461538461,1.0,1.0,1.0,1.0,7,7,0.4332097000005888
7,0.05,2.5,3.0,0.75,1.0,0.75,0.8,0.5,1,1.0,0.039686781613480805,0.03532394101191781,0.06692413279963712,0.08605197265181876,0.10193478677768941,1.1943231736349014,0.8379111464206517,2.9028311960468045,3.4467986442513734,4.880508541409938,0.7692307692307693,0.9743589743589743,1.0,1.0,0.9743589743589743,7,7,0.4310425000003306
8,0.05,2.5,3.0,0.75,1.0,1.0,0.8,0.5,1,1.0,0.04141900593885697,0.03659974651378924,0.07400008721957581,0.11178870269934,0.1130068198435871,1.2114368293614484,0.8618019553898648,3.2007356221411953,3.5410137529222254,4.935170937474652,0.7692307692307693,0.9230769230769231,1.0,1.0,0.9230769230769231,7,7,0.44183179999527056
9,0.05,2.5,3.0,0.75,1.25,0.25,0.8,0.5,1,1.0,0.037447656346441836,0.037018659577838876,0.05656517086318958,0.06520489075393049,0.07533287866900003,1.163200063626797,0.8468460400394804,2.3122612419409734,3.4833001857997488,4.736895560001585,0.8461538461538461,1.0,1.0,1.0,1.0,8,8,0.4355940000023111
10,0.05,2.5,3.0,0.75,1.25,0.5,0.8,0.5,1,1.0,0.038343255010654734,0.03637081329639794,0.06107251382970345,0.06668647510394954,0.09061681587596346,1.1700335875017767,0.785832789633929,2.5633725132200027,3.4751145617316865,4.816987557024788,0.8205128205128205,1.0,1.0,1.0,1.0,8,8,0.4348256000012043
11,0.05,2.5,3.0,0.75,1.25,0.75,0.8,0.5,1,1.0,0.039133043000980874,0.03709444158319574,0.06629701090613464,0.08702895854703012,0.1026804675327469,1.196285795924503,0.8110396863048095,2.9143003227054862,3.468047262195114,4.882026091447472,0.7692307692307693,0.9743589743589743,1.0,1.0,0.9743589743589743,9,9,0.4351012000042829
12,0.05,2.5,3.0,0.75,1.25,1.0,0.8,0.5,1,1.0,0.04194370242554142,0.03607809144187128,0.07345485366031144,0.11244258974212043,0.11289373348631102,1.2481164427047258,0.8652554143618545,3.211279024406423,3.5568010674966217,4.936006166486351,0.7435897435897436,0.9230769230769231,1.0,1.0,0.9230769230769231,8,8,0.4341712000023108
13,0.05,2.5,3.0,0.75,1.5,0.25,0.8,0.5,1,1.0,0.0367364399392816,0.037585688945823176,0.057509946436539734,0.06490671665538482,0.07635358438569699,1.1517766318258715,0.8520382103152997,2.27649031125236,3.5008380624923916,4.740358028744225,0.8205128205128205,1.0,1.0,1.0,1.0,10,10,0.4609249999994063
14,0.05,2.5,3.0,0.75,1.5,0.5,0.8,0.5,1,1.0,0.03786108347711063,0.037000473849554724,0.06219604701977244,0.0662137937672446,0.09147723566759192,1.171780006562959,0.7660186231683497,2.575904573398901,3.4923677619812565,4.819445727866139,0.7692307692307693,1.0,1.0,1.0,1.0,9,9,0.4501645999989705
15,0.05,2.5,3.0,0.75,1.5,0.75,0.8,0.5,1,1.0,0.03855841090210932,0.03639589215704433,0.06586886053761323,0.08801533860092084,0.10342217010347107,1.1981590386073684,0.7895944403641693,2.9257649228352705,3.4849535699896705,4.8836620208277,0.7692307692307693,0.9743589743589743,1.0,1.0,0.9743589743589743,10,10,0.4492594999974244
16,0.05,2.5,3.0,0.75,1.5,1.0,0.8,0.5,1,1.0,0.04143678085908483,0.03554898272137148,0.07294710512077149,0.11278106036730431,0.113093374118287,1.2499501388557643,0.8678779082550818,3.221817037204744,3.5724197258991808,4.93695614241912,0.7692307692307693,0.9230769230769231,1.0,1.0,0.9230769230769231,10,10,0.4494758000000729
17,0.05,2.5,3.0,1.0,0.75,0.25,0.8,0.5,1,1.0,0.03794039484440964,0.037043714623684346,0.06255154921755347,0.06682260334980965,0.0670313514276063,1.1639891553331296,0.8146116088757367,2.494506833916887,3.3979692766609446,4.704243817582665,0.8205128205128205,1.0,1.0,1.0,1.0,4,4,0.42084500000055414
18,0.05,2.5,3.0,1.0,0.75,0.5,0.8,0.5,1,1.0,0.037301118714048884,0.036279947906095976,0.06609801822407141,0.06684193052607929,0.06777910136914868,1.1663845919223201,0.8234138889305314,2.496704833861429,3.3960265823425857,4.771735733072177,0.8205128205128205,1.0,1.0,1.0,1.0,3,3,0.39672280000377214
