rank,combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
1,9,0.05,2.5,3.0,0.75,1.25,0.25,0.8,0.5,1,1.0,0.037447656346441836,0.037018659577838876,0.05656517086318958,0.06520489075393049,0.07533287866900003,1.163200063626797,0.8468460400394804,2.3122612419409734,3.4833001857997488,4.736895560001585,0.8461538461538461,1.0,1.0,1.0,1.0,8,8,0.4355940000023111
2,13,0.05,2.5,3.0,0.75,1.5,0.25,0.8,0.5,1,1.0,0.0367364399392816,0.037585688945823176,0.057509946436539734,0.06490671665538482,0.07635358438569699,1.1517766318258715,0.8520382103152997,2.27649031125236,3.5008380624923916,4.740358028744225,0.8205128205128205,1.0,1.0,1.0,1.0,10,10,0.4609249999994063
3,30,0.05,2.5,3.0,1.0,1.5,0.5,0.8,0.5,1,1.0,0.037523856185312864,0.03646954091830931,0.05758768270398494,0.06569991935344013,0.08298281157963276,1.1635003341828958,0.7833917140976894,2.356373594882456,3.4685734067834915,4.7777241232595316,0.8205128205128205,1.0,1.0,1.0,1.0,9,9,0.4492367000057129
4,5,0.05,2.5,3.0,0.75,1.0,0.25,0.8,0.5,1,1.0,0.03770640395777558,0.03658728158376089,0.057872646667440006,0.06564510769702805,0.07430499012473622,1.1418552874925854,0.7804186931287234,2.359803779050594,3.460401119518849,4.733563533282961,0.8461538461538461,1.0,1.0,1.0,1.0,7,7,0.43527699999685865
5,29,0.05,2.5,3.0,1.0,1.5,0.25,0.8,0.5,1,1.0,0.036300818456199285,0.037283525616083585,0.058600911770795495,0.06525127646298012,0.07031728380619336,1.1627479101835991,0.8417834825182808,2.330251187155625,3.4748400761650373,4.712038484452421,0.8461538461538461,1.0,1.0,1.0,1.0,11,11,0.463512800000899
6,25,0.05,2.5,3.0,1.0,1.25,0.25,0.8,0.5,1,1.0,0.0374888391620419,0.03674027583744523,0.058643156817019954,0.06561799984258063,0.06950699879677862,1.160751499657113,0.8353841400233932,2.3707082003060123,3.4554953896590064,4.709363766403726,0.8461538461538461,1.0,1.0,1.0,1.0,8,8,0.44608910000533797
7,26,0.05,2.5,3.0,1.0,1.25,0.5,0.8,0.5,1,1.0,0.038089492069262536,0.036785287692491016,0.059433915165138754,0.066130943123756,0.08227583059794993,1.1622384556987815,0.8033001281477539,2.3807795462056447,3.449886470154752,4.775654857816704,0.8205128205128205,1.0,1.0,1.0,1.0,8,8,0.4382146000061766
8,46,0.05,2.5,3.0,1.25,1.5,0.5,0.8,0.5,1,1.0,0.037421801388076374,0.03656833683457587,0.0595964050458414,0.06602722728306686,0.07731735731553516,1.1581129427980994,0.7981446295659396,2.386078691901389,3.4477059034931585,4.750048368608162,0.8205128205128205,1.0,1.0,1.0,1.0,9,9,0.46545270000206074
9,6,0.05,2.5,3.0,0.75,1.0,0.5,0.8,0.5,1,1.0,0.03797335576247944,0.03708037255024952,0.05996011443998734,0.06720070307398703,0.08975115765087688,1.1610984517835732,0.8109883422505106,2.5508372089920215,3.4530496900214303,4.81465300697414,0.8461538461538461,1.0,1.0,1.0,1.0,7,7,0.4332097000005888
10,47,0.05,2.5,3.0,1.25,1.5,0.75,0.8,0.5,1,1.0,0.03825680447815165,0.037214598911110196,0.06055305633996281,0.06660106321575036,0.08660124876723559,1.1685634209347722,0.8170754372382021,2.4675385324817967,3.443658663412407,4.798842481186796,0.8205128205128205,1.0,1.0,1.0,1.0,8,8,0.47915249999641674
11,45,0.05,2.5,3.0,1.25,1.5,0.25,0.8,0.5,1,1.0,0.0367647526498302,0.03700425875425007,0.06099591642604167,0.06560184113164047,0.06646303347234697,1.1531254570838139,0.7775330688238853,2.3779915899838215,3.4522227027047734,4.694088849296861,0.8461538461538461,1.0,1.0,1.0,1.0,11,11,0.4760141000006115
12,10,0.05,2.5,3.0,0.75,1.25,0.5,0.8,0.5,1,1.0,0.038343255010654734,0.03637081329639794,0.06107251382970345,0.06668647510394954,0.09061681587596346,1.1700335875017767,0.785832789633929,2.5633725132200027,3.4751145617316865,4.816987557024788,0.8205128205128205,1.0,1.0,1.0,1.0,8,8,0.4348256000012043
13,41,0.05,2.5,3.0,1.25,1.25,0.25,0.8,0.5,1,1.0,0.03793405769469568,0.03720192888796297,0.06133320707399627,0.06579150305293993,0.06603503235281256,1.13833571678439,0.796056648295405,2.4217192215732553,3.4317071863040383,4.691909889569075,0.7948717948717948,1.0,1.0,1.0,1.0,7,7,0.45907830000214744
14,1,0.05,2.5,3.0,0.75,0.75,0.25,0.8,0.5,1,1.0,0.03741885051788739,0.03671611477764903,0.06165944355384155,0.06334701463389875,0.06636107952540557,1.1654527715531775,0.8108144217293898,2.4259556851884554,3.42924043853111,4.730364364598472,0.8205128205128205,1.0,1.0,1.0,1.0,4,4,0.6399453999983962
15,37,0.05,2.5,3.0,1.25,1.0,0.25,0.8,0.5,1,1.0,0.03760130639171606,0.036648150923001124,0.06168751628286225,0.06574014874093785,0.06667066227857084,1.151780483231933,0.81569117293094,2.477560221598992,3.405911749974223,4.689780906455638,0.8205128205128205,1.0,1.0,1.0,1.0,5,5,0.42372210000030464
16,21,0.05,2.5,3.0,1.0,1.0,0.25,0.8,0.5,1,1.0,0.03783139860274287,0.03695655392225811,0.06210704920769027,0.06615778947532802,0.06869223664428199,1.1403352217865823,0.8017024926633098,2.423354111056483,3.430758747414984,4.706765087560086,0.7948717948717948,1.0,1.0,1.0,1.0,7,7,0.4342991000012262
17,14,0.05,2.5,3.0,0.75,1.5,0.5,0.8,0.5,1,1.0,0.03786108347711063,0.037000473849554724,0.06219604701977244,0.0662137937672446,0.09147723566759192,1.171780006562959,0.7660186231683497,2.575904573398901,3.4923677619812565,4.819445727866139,0.7692307692307693,1.0,1.0,1.0,1.0,9,9,0.4501645999989705
18,42,0.05,2.5,3.0,1.25,1.25,0.5,0.8,0.5,1,1.0,0.03805690970869909,0.036295848630750034,0.062376005418997134,0.06652254890038872,0.07671773810620953,1.1573773800515739,0.8178483496513138,2.4279331972378486,3.4280783867490072,4.748273793464591,0.7948717948717948,1.0,1.0,1.0,1.0,8,8,0.4406870999955572
19,17,0.05,2.5,3.0,1.0,0.75,0.25,0.8,0.5,1,1.0,0.03794039484440964,0.037043714623684346,0.06255154921755347,0.06682260334980965,0.0670313514276063,1.1639891553331296,0.8146116088757367,2.494506833916887,3.3979692766609446,4.704243817582665,0.8205128205128205,1.0,1.0,1.0,1.0,4,4,0.42084500000055414
20,22,0.05,2.5,3.0,1.0,1.0,0.5,0.8,0.5,1,1.0,0.03817036389514829,0.03645203258040644,0.06258672085351095,0.06676285188891717,0.08156532832460263,1.1640747522484913,0.827997597890203,2.4307399365749234,3.426415873743167,4.773658325372537,0.7948717948717948,1.0,1.0,1.0,1.0,8,8,0.4373342999970191
