tag_id,front_count,rear_count,front_yaw_median_abs,rear_yaw_median_abs,front_angle_median_abs,rear_angle_median_abs,front_dist_median_abs_cm,rear_dist_median_abs_cm,front_single_h_median,rear_single_h_median,rear_minus_front_yaw_abs,rear_minus_front_angle_abs
54,1,1,3.607,32.08,0.082,0.425,0.05,28.94,3.689,32.505,28.473,0.34299999999999997
55,12,1,5.284,31.987,3.746,1.775,15.08,24.72,1.7265,30.212,26.703,-1.971
38,9,3,4.7,15.6,1.3,3.7,1.7,5.0,2.8,11.5,10.899999999999999,2.4000000000000004
36,9,3,2.7,12.9,1.03,2.4,1.1,4.7,3.179,10.6,10.2,1.3699999999999999
56,10,2,6.641,16.456500000000002,6.4445,5.368,18.33,12.735,4.3205,21.8245,9.815500000000002,-1.0764999999999993
41,13,5,5.6,14.7,2.898,6.3,3.4,4.7,5.1,23.3,9.1,3.4019999999999997
37,6,2,4.05,13.1,1.25,4.95,1.0,4.2,3.8,13.2,9.05,3.7
34,11,3,4.381,12.039,2.459,5.853,1.52,5.23,4.0,9.2,7.6579999999999995,3.3939999999999997
35,8,2,3.4735,11.096,2.2475,6.0975,2.195,7.710000000000001,2.4185,17.193,7.6225000000000005,3.85
50,8,3,11.559,18.268,1.8050000000000002,2.6,1.6150000000000002,3.2,13.2025,12.16,6.709000000000001,0.7949999999999999
46,8,2,3.9000000000000004,9.95,2.05,3.0,3.45,4.800000000000001,6.300000000000001,12.149999999999999,6.049999999999999,0.9500000000000002
57,12,4,7.8629999999999995,13.653500000000001,4.556,7.6434999999999995,22.265,19.03,8.86,19.183,5.7905000000000015,3.0874999999999995
33,9,3,4.188,8.706,2.907,5.181,1.6,4.7,4.124,1.486,4.518,2.274
39,6,2,5.85,10.05,2.8,1.35,2.05,3.65,4.3,9.5,4.200000000000001,-1.4499999999999997
48,11,4,6.756,10.85,3.028,4.75,3.31,5.95,4.802,15.5,4.093999999999999,1.722
32,8,2,4.55,7.749,2.5725,11.261500000000002,1.25,4.25,4.342,15.6415,3.199,8.689000000000002
52,4,3,8.79,11.542,3.2835,9.351,1.12,2.64,10.1785,15.062,2.7520000000000007,6.067500000000001
51,8,3,10.623999999999999,11.815,1.5815000000000001,7.263,3.685,0.8,7.882,9.239,1.1910000000000007,5.6815
53,4,1,14.478,14.675,2.251,7.778,1.11,5.63,17.322499999999998,6.897,0.19700000000000095,5.526999999999999
42,12,2,7.1,7.05,1.4089999999999998,7.15,5.01,3.7,9.05,4.05,-0.04999999999999982,5.7410000000000005
49,10,5,6.8,6.6,3.6999999999999997,3.3,1.945,6.4,5.371,6.58,-0.20000000000000018,-0.3999999999999999
58,7,2,7.999,7.635,3.509,12.081,17.75,18.665,9.626,4.4455,-0.3639999999999999,8.572
45,5,1,4.5,1.2,2.4,2.5,4.1,1.6,4.1,3.7,-3.3,0.10000000000000009
40,15,4,30.9,13.05,2.4,4.75,4.9,2.635,26.9,19.529,-17.849999999999998,2.35
