dataset,source_file,gt_x,gt_y,gt_h,tag_id,camera_role,true_distance_m,meas_distance_m,distance_error_cm,true_angle_deg,meas_angle_deg,angle_error_deg,true_yaw_deg,meas_yaw_deg,yaw_error_deg,single_ok,single_x,single_y,single_h,single_pos_err_cm,single_heading_err_deg,score,flag,abs_yaw_err,abs_angle_err,abs_dist_err,rear_suspect_score
625,measure12-0625.txt,6.0,2.0,180.0,54,rear,4.3719,4.6613,28.94,18.539,18.963,0.425,18.539,-13.542,-32.08,True,5.6219,-0.511,212.505,253.93,32.505,12.347,DIST|YAW|FAR,32.08,0.425,28.94,9.45875
625,measure12-0625.txt,7.0,3.0,180.0,55,rear,3.339,3.5862,24.72,24.224,22.449,-1.775,24.224,-7.763,-31.987,True,6.4991,1.1179,210.212,194.76,30.212,11.933,DIST|YAW|LOW_YAW|FAR,31.987,1.775,24.72,9.13565
625,measure12-0625.txt,7.0,4.0,180.0,57,rear,3.0628,3.274,21.12,6.185,16.094,9.909,6.185,-2.342,-8.527,True,6.7766,3.5188,198.436,53.05,18.436,9.232,DIST|ANGLE|LOW_YAW|FAR,8.527,9.909,21.12,7.285550000000001
624,measure11-0624(1).txt,3.0,3.0,0.0,41,rear,1.845,1.798,-4.7,19.0,26.2,7.2,19.0,-2.3,-21.3,True,3.0454,3.6991,28.5,70.05,28.5,7.6,YAW|LOW_YAW,21.3,7.2,4.7,7.25
625,measure12-0625.txt,6.0,2.0,90.0,49,rear,1.9252,1.8809,-4.43,16.599,24.856,8.257,16.599,-2.342,-18.941,True,5.348,2.0282,117.198,65.26,27.198,7.427,ANGLE|YAW|LOW_YAW,18.941,8.257,4.43,7.12115
624,measure11-0624(1).txt,4.0,3.0,0.0,41,rear,2.81,2.882,7.2,12.3,22.1,9.8,12.3,-2.3,-14.7,True,4.1293,3.737,24.4,74.82,24.4,7.64,ANGLE|YAW|LOW_YAW,14.7,9.8,7.2,7.08
625,measure12-0625.txt,8.0,4.0,180.0,57,rear,2.0715,2.2409,16.94,9.167,17.588,8.421,9.167,-2.342,-11.509,True,7.8093,3.5597,199.93,47.99,19.93,8.498,DIST|ANGLE|LOW_YAW,11.509,8.421,16.94,6.943149999999999
625,measure12-0625.txt,8.0,3.0,270.0,32,rear,2.1767,2.1223,-5.44,9.787,21.007,11.22,9.787,-2.342,-12.129,True,8.4785,3.029,293.349,47.94,23.349,7.253,ANGLE|YAW|LOW_YAW,12.129,11.22,5.44,6.8968
624,measure11-0624(1).txt,4.0,3.0,270.0,36,rear,1.769,1.722,-4.7,17.8,24.5,6.7,17.8,-2.3,-20.1,True,4.6347,2.9696,296.8,63.54,26.8,7.2,YAW|LOW_YAW,20.1,6.7,4.7,6.835000000000001
625,measure12-0625.txt,6.0,4.0,90.0,48,rear,4.1236,4.2206,9.7,21.182,23.022,1.84,21.182,-4.875,-26.058,True,4.1256,4.3539,117.898,190.76,27.898,7.765,YAW|LOW_YAW|FAR,26.058,1.84,9.7,6.8256
