tag_id,camera_role,obs_count,datasets,gt_pose_count,distance_mean_clean,distance_median,distance_std_clean,distance_mad,distance_outliers,angle_mean_clean,angle_median,angle_std_clean,angle_mad,angle_outliers,yaw_mean_clean,yaw_median,yaw_std_clean,yaw_mad,yaw_outliers,single_pos_err_mean_clean,single_pos_err_median,single_pos_err_std_clean,single_pos_err_mad,single_pos_err_outliers,single_heading_err_mean_clean,single_heading_err_median,single_heading_err_std_clean,single_heading_err_mad,single_heading_err_outliers,diagnosis_flags,suggested_use
31,front,2,625,2,19.015,19.015,0.44547727214752425,0.3149999999999995,0,4.359,4.359,1.1723830432072957,0.829,0,5.081,5.081,6.751455546769156,4.774,0,24.625,24.625,7.162991693419729,5.065000000000001,0,5.6035,5.6035,1.0203550852521883,0.7215000000000003,0,LOW_COUNT|DIST_STEADY_BIAS|ANGLE_STEADY_BIAS,WEAK_OR_INSPECT
32,front,8,"624,625",8,1.0085714285714287,0.355,1.889792127646394,1.33,1,-0.3381428571428572,-0.6325000000000001,2.8857658387662846,2.122,1,-0.553,-0.806,5.054469210510635,4.55,1,14.941428571428572,19.35,7.815172057332729,7.1499999999999995,1,4.269857142857143,4.342,2.8708959361478916,1.5979999999999996,1,OK_FIRST_PASS,TRUSTED_FIRST_PASS
32,rear,2,625,2,-4.25,-4.25,1.6829141392239835,1.1900000000000002,0,11.261500000000002,11.261500000000002,0.05868986283848358,0.04150000000000009,0,-4.38,-4.38,10.958740894829115,7.7490000000000006,0,30.294999999999998,30.294999999999998,24.95379830807326,17.644999999999996,0,15.6415,15.6415,10.90005103199063,7.7075,0,LOW_COUNT|ANGLE_STEADY_BIAS|SINGLE_POSE_BAD_HEADING,WEAK_OR_INSPECT
33,front,9,"624,625",9,-1.2077777777777776,-0.34,3.916046404786905,1.8900000000000001,0,1.156111111111111,-1.261,4.9658138669417635,3.303,0,-2.420875,-2.874,4.894544556004602,3.274,1,15.7125,15.43,14.692600421397744,7.97,1,5.1035,4.124,5.3229631382744484,3.4339999999999997,1,OK_FIRST_PASS,TRUSTED_FIRST_PASS
33,rear,3,625,3,-0.6066666666666668,-2.54,5.329815506500514,2.16,0,3.222,5.181,7.446342122142926,4.312,0,-3.236333333333333,-3.522,11.80209321829536,11.371,0,37.86666666666667,33.6,18.463516277603606,11.690000000000001,0,1.1365,1.486,0.4942676400493967,0.699,1,ANGLE_UNSTABLE,WEAK_OR_INSPECT
34,front,11,"624,625",11,-1.3245454545454545,-1.23,2.5831854894155923,1.83,0,-0.6823333333333333,-0.7,2.8515822362330705,1.7590000000000001,2,-2.6046000000000005,-3.339,4.849430509520336,4.944,1,15.333333333333334,16.7,9.417873963905016,6.029999999999999,2,3.1774444444444447,4.0,2.447238755777167,2.146,2,OK_FIRST_PASS,TRUSTED_FIRST_PASS
34,rear,3,625,3,-2.1133333333333333,-1.51,7.662834549521041,6.74,0,2.644,2.839,8.401197474169976,8.107,0,11.372499999999999,10.706,0.942573339321668,1.3330000000000002,1,62.36666666666667,47.18,46.988171206521045,22.33,0,8.003333333333332,9.2,7.239560299723549,5.370000000000001,0,YAW_STEADY_BIAS|ANGLE_UNSTABLE,WEAK_OR_INSPECT
35,front,8,"624,625",8,-0.6924999999999999,-0.29500000000000004,2.757575280671668,2.14,0,-1.615625,-2.2475,1.7958053456000498,1.2954999999999999,0,-2.541125,-3.3235,3.4517270392618578,2.96,0,11.877142857142859,12.265,7.877579396163339,5.760000000000001,1,1.9204285714285714,2.4185,1.0773768850225776,0.9089999999999999,1,OK_FIRST_PASS,TRUSTED_FIRST_PASS
35,rear,2,"624,625",2,3.5100000000000002,3.5100000000000002,10.903586565896564,7.710000000000001,0,-1.4975,-1.4975,8.623167196569947,6.0975,0,-4.404,-4.404,15.692113688091863,11.096,0,50.575,50.575,14.036069606552969,9.925,0,17.193,17.193,4.111118825818589,2.907000000000001,0,LOW_COUNT|DIST_UNSTABLE|ANGLE_UNSTABLE|YAW_UNSTABLE|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,WEAK_OR_INSPECT
36,front,9,"624,625",9,0.55125,-0.26,2.181987544157194,1.26,1,-0.695125,-1.0,1.8066026076984552,0.8,1,-2.4397777777777776,-2.7,3.9861017855098035,2.0380000000000003,0,8.526250000000001,8.53,4.268010367841203,4.39,1,2.8964999999999996,3.179,0.6793772884046095,0.47899999999999965,3,OK_FIRST_PASS,TRUSTED_FIRST_PASS
36,rear,3,"624,625",3,-4.489999999999999,-4.7,1.993313823761828,1.67,0,3.2123333333333335,2.4,3.1607841326691917,1.863,0,-2.971,-1.713,16.535928247304415,14.613,0,37.32333333333333,40.35,27.853607187101158,23.189999999999998,0,13.216666666666667,10.6,12.482420972444942,8.35,0,YAW_UNSTABLE|SINGLE_POSE_BAD_HEADING,USE_DIST_ANGLE_WEAK_YAW
37,front,6,"624,625",6,-0.325,-0.85,0.9844626283748239,1.05,2,0.5800000000000001,0.15,2.6109385285755007,1.3,1,-3.047166666666667,-2.2,5.209021805163294,4.15,0,22.74666666666667,14.25,24.72236612192827,12.219999999999999,0,4.7,3.8,5.112240213448504,2.5999999999999996,1,OK_FIRST_PASS,TRUSTED_FIRST_PASS
37,rear,2,624,2,-4.2,-4.2,3.818376618407357,2.7,0,4.95,4.95,0.0707106781186545,0.04999999999999982,0,-4.6,-4.6,18.526197667087544,13.1,0,51.254999999999995,51.254999999999995,26.311443327951434,18.605,0,13.2,13.2,13.435028842544403,9.5,0,LOW_COUNT|ANGLE_STEADY_BIAS|YAW_UNSTABLE|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,WEAK_OR_INSPECT
38,front,9,"624,625",9,-0.9877777777777779,-1.0,2.0950165737875306,1.1,0,-1.2691428571428574,-0.6,1.304197764728881,0.7000000000000001,2,-4.479000000000001,-4.7,3.5870104544034995,3.310999999999999,0,22.21111111111111,16.28,21.91184351238186,14.14,0,2.7033750000000003,2.8,2.3877855214462986,1.7999999999999998,1,OK_FIRST_PASS,TRUSTED_FIRST_PASS
38,rear,3,624,3,-5.333333333333333,-5.0,3.511884584284246,3.0,0,3.533333333333333,3.7,0.6658328118479393,0.39999999999999947,0,0.9666666666666662,7.4,18.699286973928533,8.2,0,31.4,33.76,3.3375440072005036,4.719999999999999,1,13.333333333333334,11.5,9.681081206834975,6.8,0,YAW_UNSTABLE|SINGLE_POSE_BAD_HEADING,USE_DIST_ANGLE_WEAK_YAW
39,front,6,624,6,-1.4999999999999998,-2.05,0.9591663046625438,0.8999999999999999,1,-2.38,-2.25,0.8043631020876082,0.8500000000000001,1,-4.92,-4.0,2.5242820761555156,2.75,1,18.326,18.84,9.760979971293866,8.175,1,4.74,4.3,4.523604757270467,2.9,1,OK_FIRST_PASS,TRUSTED_FIRST_PASS
39,rear,2,624,2,-3.5500000000000003,-3.5500000000000003,5.161879502661797,3.6500000000000004,0,0.65,0.65,1.9091883092036785,1.35,0,10.05,10.05,5.1618795026617965,3.6499999999999995,0,27.365000000000002,27.365000000000002,3.825447686219222,2.705,0,9.5,9.5,7.0710678118654755,5.0,0,LOW_COUNT,TRUSTED_FIRST_PASS
