tag_id,obs_count,unique_tags,gt_pose_count,distance_mean_clean,distance_median,distance_std_clean,distance_outliers,angle_mean_clean,angle_median,angle_std_clean,angle_outliers,yaw_mean_clean,yaw_median,yaw_std_clean,yaw_outliers,single_pos_err_mean_clean,single_pos_err_median,single_pos_err_std_clean,single_pos_err_outliers,single_heading_err_mean_clean,single_heading_err_median,single_heading_err_std_clean,single_heading_err_outliers
31,2,1,2,19.015,19.015,0.445477272,0,4.359,4.359,1.172383043,0,5.081,5.081,6.751455547,0,24.625,24.625,7.162991693,0,5.6035,5.6035,1.020355085,0
32,10,1,10,-0.774,-0.3,3.353353877,0,3.1132,1.0115,6.036600346,0,-1.403444444,-0.806,6.084432104,1,18.35333333,19.35,13.01848686,1,4.727875,4.6295,2.956831337,2
33,12,1,12,-1.0575,-0.735,4.048683568,0,1.672583333,0.3905,5.374800199,0,-2.643272727,-3.198,6.691230247,1,21.75454545,17.615,18.06588573,1,4.3101,4.042,4.986216545,2
34,14,1,14,-1.493571429,-1.37,3.778818715,0,1.542214286,-0.393,5.510946284,0,-1.824923077,-3.267,8.721871975,1,21.35333333,18.48,14.56281587,2,5.270538462,4.0145,5.226266316,1
35,10,1,10,-1.082222222,-0.295,2.83207423,1,-1.592,-2.2475,3.282203799,0,-2.9137,-3.3235,6.102784921,0,22.22,14.965,18.7745685,0,2.616125,2.6175,2.206098135,2
36,12,1,12,-1.351666667,-1.1,3.484080245,0,0.848,0.1685,3.107635787,0,-2.3671,-2.2065,3.765153751,2,8.476666667,9.66,3.995128283,3,2.45375,3.2895,1.167502187,4
37,8,1,8,-3.33375,-1.65,3.975348817,0,2.483,2.6,3.34957959,0,-3.435375,-2.2,8.302378987,0,29.87375,26.26,26.63873814,0,4.533333333,3.8,4.590715267,2
38,12,1,12,-2.074166667,-1.85,3.049114501,0,0.109666667,-0.442,3.130151531,0,-4.819181818,-4.45,6.977008482,1,28.58083333,24.155,25.05447863,0,4.775181818,3.5,4.66883876,1
39,8,1,8,-2.65,-2.05,2.781572012,0,-1.514285714,-1.6,1.795762207,1,-0.642857143,-2.6,7.876940426,1,20.90857143,24.415,9.241755657,1,6.1,4.9,5.231634544,1
40,19,1,19,-0.924705882,-2.4,4.176354747,2,-0.114578947,-0.9,3.479869559,0,-24.85266667,-19.33,21.58978156,1,172.9766667,151.62,133.3366379,1,25.28166667,21.158,20.4948123,1
41,18,1,18,-0.478235294,-1.585,4.552682225,1,0.609166667,0.05,4.509028645,0,-8.709444444,-6.397,14.39738546,0,58.64529412,52.03,48.24862694,1,10.11817647,7.2,9.645246486,1
42,14,1,14,-4.986923077,-4.16,3.577260089,1,0.737285714,-0.25,4.328069714,0,2.004692308,2.0895,13.57497547,1,29.76272727,32.66,18.02027141,3,9.220916667,8,7.402342399,2
43,8,1,8,-6.215,-6.98,4.624462903,0,1.543,1.6,3.986910619,0,19.01425,5.488,28.96249806,0,91.88166667,84.405,107.3263832,2,24.858625,15.5005,22.93905951,0
44,4,1,4,-15.62333333,-15.2,0.887487089,1,3.589,2.3,4.165055102,0,-8.2265,-8.653,3.846558072,0,60.085,63.67,30.62088884,0,11.8155,11.431,7.353350325,0
45,6,1,6,-2.98,-2.5,2.245439823,1,-1.683333333,-1.85,2.617950853,0,-3.62,-2.85,7.258581129,1,12.5375,20.68,9.734133671,2,4.5,3.9,4.352011029,1
46,10,1,10,-3.066666667,-2.8,1.755704987,1,-2.028571429,-1.85,0.734198624,3,1.277777778,0.7,12.98150394,1,46.63444444,42.895,46.26465122,1,9.944444444,8.55,9.448956439,1
47,7,1,7,-2.517142857,-2.1,2.40334291,0,-1.666666667,-2,2.755116452,1,-4.0988,-3.7,4.462466493,2,48.56666667,48.37,46.90987089,1,8.818666667,7.9,9.044866537,1
48,15,1,15,-3.199230769,-2.53,3.142134258,2,0.2038,0.377,4.520100492,0,-5.983357143,-4.6,10.06496127,1,47.69846154,52.96,28.63150649,2,8.4585,5.982,8.034952326,1
49,15,1,15,-0.139285714,-0.41,4.095127432,1,0.4148,1.308,4.964705806,0,-2.300133333,-4.13,10.48126951,0,52.65,43.47,40.54053598,0,7.605142857,5.7,6.756464823,1
50,11,1,11,-1.995555556,-1.03,1.568814131,2,-0.7795,-1.03,3.736432947,1,8.633363636,1.852,18.96538964,0,58.346,75.01,42.20363523,1,16.50990909,12.16,15.03929172,0
51,11,1,11,1.657,1.51,2.852079358,1,-1.712875,-0.674,1.611410956,3,-0.132181818,-0.392,13.98187795,0,60.99818182,65.8,37.31405548,0,10.83972727,9.239,8.697124756,0
52,7,1,7,-1.503333333,-0.4,2.970714841,1,2.968285714,4.778,5.719647475,0,2.194142857,-2.822,14.58081765,0,62.84857143,46.18,50.98106819,0,12.96828571,13.172,9.202895191,0
53,5,1,5,-1.34,-0.93,1.436802004,1,1.1044,-0.366,4.293522482,0,13.7206,14.675,24.52391715,0,74.265,76.17,41.38611724,1,11.504,12.843,7.713345016,1
54,2,1,2,14.495,14.495,20.42831491,0,0.2535,0.2535,0.242537626,0,-17.8435,-17.8435,20.13345138,0,135.385,135.385,167.6479468,0,18.097,18.097,20.37598901,0
55,13,1,13,15.68076923,15.7,6.031968255,0,-3.721909091,-3.7,1.958163397,2,-4.553090909,-5.5,2.318255614,2,34.45363636,34.53,15.53997444,2,2.1257,1.753,1.510116776,3
56,12,1,12,17.365,17.43,4.541434495,0,-6.7177,-5.55,2.726278173,2,-7.449,-6.641,6.625737751,3,39.01222222,45.02,11.63399091,3,9.8431,6.897,11.3651309,2
57,16,1,16,19.02785714,19.735,6.385527119,2,-1.2506875,-2.775,6.247334042,0,-0.417333333,-6.523,13.03280719,1,44.07083333,49.78,13.17851106,4,12.34266667,11.9165,8.955514396,1
58,9,1,9,18.37222222,17.75,4.799423866,0,5.562777778,3.915,5.122262678,0,7.557666667,7.999,13.61117753,0,28.90714286,27.41,7.610616958,2,11.49944444,7.913,11.00349612,0
