dataset,source_file,gt_x,gt_y,gt_h,tag_id,camera_role,true_distance_m,meas_distance_m,distance_error_cm,true_angle_deg,meas_angle_deg,angle_error_deg,true_yaw_deg,meas_yaw_deg,yaw_error_deg,single_ok,single_x,single_y,single_h,single_pos_err_cm,single_heading_err_deg,score,flag
624,measure11-0624(1).txt,2,3,0,49,front,4.465,4.449,-1.6,40.5,37.2,-3.3,-49.5,-57.1,-7.6,TRUE,1.6599,2.5127,4.3,59.43,4.3,2.93,EDGE|FAR
624,measure11-0624(1).txt,2,3,90,37,front,2.67,2.672,0.2,36.5,36.9,0.3,36.5,40.7,4.2,TRUE,1.8421,3.1207,86.2,19.87,3.8,0.98,EDGE
624,measure11-0624(1).txt,2,3,90,38,front,2.236,2.218,-1.7,16.4,15.8,-0.6,16.4,15.2,-1.1,TRUE,2.0504,3.0046,90.6,5.06,0.6,0.77,OK
624,measure11-0624(1).txt,2,3,90,39,front,2.17,2.147,-2.4,-8.7,-10.8,-2,-8.7,-12.2,-3.5,TRUE,2.1268,3.0465,91.4,13.51,1.4,1.85,OK
624,measure11-0624(1).txt,2,3,90,40,front,1.74,1.787,4.7,-27.4,-23.8,3.5,62.6,60.5,-2.1,TRUE,2.0847,2.9897,95.7,8.53,5.7,2.55,OK
624,measure11-0624(1).txt,2,3,90,45,rear,2.864,2.848,-1.6,6.6,9.1,2.5,6.6,5.4,-1.2,TRUE,1.9353,2.9902,93.7,6.54,3.7,1.39,LOW_YAW
624,measure11-0624(1).txt,2,3,90,46,rear,2.912,2.986,7.4,-12.3,-11.5,0.8,-12.3,-2.3,10,TRUE,2.5093,3.1377,80.8,52.76,9.2,3.73,LOW_YAW
624,measure11-0624(1).txt,2,3,180,41,front,0.957,1.023,6.6,38.8,39.3,0.5,38.8,44.4,5.6,TRUE,1.9849,2.879,174.9,12.19,5.1,2.6,EDGE
624,measure11-0624(1).txt,2,3,180,42,front,0.805,0.775,-3,-25.8,-22.4,3.4,-25.8,-28.3,-2.5,TRUE,1.9573,3.0227,185.9,4.83,5.9,2.23,OK
624,measure11-0624(1).txt,2,3,270,38,rear,2.236,2.216,-2,16.4,20,3.7,16.4,-3.8,-20.1,TRUE,2.8004,2.9386,293.8,80.27,23.8,5.65,YAW|LOW_YAW
624,measure11-0624(1).txt,2,3,270,39,rear,2.17,2.171,0.1,-8.7,-6.8,2,-8.7,-2.3,6.4,TRUE,1.7546,2.976,265.5,24.66,4.5,1.95,LOW_YAW
624,measure11-0624(1).txt,2,3,270,43,front,1.529,1.455,-7.4,30.7,32.3,1.6,-59.3,-59.9,-0.5,TRUE,1.947,2.944,272.2,7.71,2.2,2.13,EDGE
624,measure11-0624(1).txt,2,3,270,45,front,2.864,2.823,-4.1,6.6,4.2,-2.4,6.6,2.1,-4.5,TRUE,1.7722,2.976,272.1,22.9,2.1,2.52,LOW_YAW
624,measure11-0624(1).txt,2,3,270,46,front,2.912,2.915,0.3,-12.3,-14.5,-2.2,-12.3,16.3,28.5,TRUE,3.4667,2.9449,239.2,146.77,30.8,6.49,YAW
624,measure11-0624(1).txt,2,3,270,47,front,3.245,3.227,-1.8,-28.7,-25.9,2.8,-28.7,-37.1,-8.4,TRUE,1.6011,2.7264,281.2,48.37,11.2,2.98,FAR
624,measure11-0624(1).txt,2,4,90,38,front,1.307,1.315,0.8,28.8,28.7,-0.1,28.8,29.2,0.4,TRUE,1.9876,3.9974,89.5,1.26,0.5,0.28,OK
624,measure11-0624(1).txt,2,4,90,39,front,1.192,1.188,-0.4,-16.1,-17.3,-1.2,-16.1,-20.6,-4.5,TRUE,2.0906,4.0333,93.3,9.65,3.3,1.38,OK
624,measure11-0624(1).txt,2,4,180,40,front,0.957,1.021,6.4,38.8,40.2,1.3,38.8,44.7,5.8,TRUE,1.9797,3.8772,175.5,12.45,4.5,2.88,EDGE
624,measure11-0624(1).txt,2,4,180,41,front,0.846,0.824,-2.1,-28.2,-23,5.2,-28.2,-30.3,-2.1,TRUE,1.9654,4.0229,187.3,4.15,7.3,2.58,OK
624,measure11-0624(1).txt,2,4,270,39,rear,1.192,1.12,-7.2,-16.1,-16.8,-0.7,-16.1,-2.3,13.7,TRUE,1.7006,4.0279,255.5,30.07,14.5,4.42,YAW|LOW_YAW
