x,y,heading_deg,tag_id,camera_role,distance_m,distance_error_m,angle_error_deg,yaw_error_deg,used_in_solution,distance_bin_m
3,3,265,49,front,3.727,-0.03,13.6,-10.9,TRUE,3-4
3,3,265,37,rear,2.182,-0.022,8.2,-17.7,TRUE,2-3
4,4,230,36,rear,0.804,-0.037,9.4,-0.2,TRUE,0-1
7,1,20,54,front,3.362,0.198,-0.8,10,TRUE,3-4
7,1,20,55,front,3.337,0.207,-1.4,1.8,TRUE,3-4
7,1,20,56,front,3.673,0.167,-1,2.4,TRUE,3-4
7,2,60,31,front,3.537,0.187,2.3,-1,TRUE,3-4
7,2,60,34,front,3.1,-0.104,9.4,-25.8,TRUE,3-4
7,2,60,57,front,3.715,0.192,1.9,-7.5,TRUE,3-4
7,2,60,58,front,3.68,0.188,2.4,9.4,TRUE,3-4
7,3,315,55,front,3.467,0.168,0,2.4,TRUE,3-4
7,3,315,56,front,3.231,0.162,9.6,28.9,TRUE,3-4
8,1,35,54,front,2.401,0.222,-3,20.9,TRUE,2-3
8,1,35,55,front,2.433,0.263,-0.4,-0.6,TRUE,2-3
8,1,35,56,front,2.864,0.185,-0.7,4.7,TRUE,2-3
8,1,35,57,front,3.577,0.153,0.6,98.1,FALSE,3-4
8,2,50,31,front,2.77,0.168,1.7,-0.9,TRUE,2-3
8,2,50,56,front,2.415,0.233,2,-12.6,TRUE,2-3
8,2,50,57,front,2.891,0.199,1.9,3.5,TRUE,2-3
8,4,295,51,front,3.399,-0.152,-0.1,14.2,TRUE,3-4
9,1,50,55,front,1.464,0.196,4.4,1.9,TRUE,1-2
9,2,85,31,front,2.131,0.048,8.9,6.8,TRUE,2-3
9,2,85,57,front,2.126,0.091,8.4,1.2,TRUE,2-3
9,3,315,56,front,1.262,0.18,5.7,15.4,TRUE,1-2
