camera_role,tag_id,n,used_in_solution_rate,useful_dist_angle_rate,useful_dist_angle_yaw_rate,distance_min_m,distance_max_m,distance_mean_m,abs_dist_err_mean_m,abs_dist_err_median_m,abs_dist_err_p90_m,abs_angle_err_mean_deg,abs_angle_err_median_deg,abs_angle_err_p90_deg,abs_yaw_err_mean_deg,abs_yaw_err_median_deg,abs_yaw_err_p90_deg
front,31,6,1.0,0.5,0.5,2.131,4.100,3.184,0.098,0.089,0.177,3.90,3.20,6.50,3.73,2.85,7.40
front,32,5,1.0,1.0,1.0,2.170,3.873,3.140,0.047,0.068,0.075,2.48,2.00,4.44,9.56,7.40,17.30
front,33,5,1.0,1.0,1.0,2.182,3.895,3.197,0.071,0.068,0.113,1.64,0.80,4.02,7.14,8.10,10.82
front,34,4,1.0,0.75,0.75,2.562,3.404,3.043,0.078,0.074,0.096,3.27,1.85,7.27,8.10,3.20,19.86
front,35,3,1.0,1.0,1.0,3.124,3.175,3.146,0.071,0.060,0.098,2.60,2.90,3.62,1.37,1.80,1.88
front,36,4,1.0,1.0,1.0,0.795,3.706,2.530,0.052,0.044,0.087,1.12,0.50,2.53,7.40,6.30,11.93
front,37,2,1.0,1.0,0.5,3.114,3.365,3.240,0.075,0.075,0.079,1.90,1.90,2.70,16.00,16.00,27.12
front,38,4,1.0,1.0,0.75,3.114,3.807,3.350,0.086,0.079,0.118,2.95,2.75,4.67,11.43,7.60,22.91
front,39,4,1.0,1.0,0.75,3.099,4.634,3.733,0.078,0.066,0.108,1.57,1.70,2.60,10.85,8.30,22.11
front,40,3,1.0,1.0,1.0,3.105,3.705,3.502,0.111,0.116,0.127,0.83,0.70,1.26,4.77,4.50,5.30
front,41,4,1.0,1.0,0.75,2.329,3.770,3.208,0.104,0.104,0.132,3.07,2.55,5.55,9.40,4.20,19.23
front,42,6,1.0,1.0,1.0,1.458,3.171,2.383,0.060,0.052,0.093,2.30,1.95,4.05,6.18,6.50,9.30
front,43,4,1.0,1.0,1.0,1.020,3.504,2.219,0.028,0.024,0.053,2.08,1.95,2.70,1.10,1.15,1.97
front,44,5,0.8,1.0,0.8,0.800,4.235,2.790,0.055,0.034,0.104,3.12,2.80,4.98,27.74,14.10,63.94
front,45,6,0.833,1.0,0.833,2.856,4.393,3.649,0.040,0.026,0.083,1.78,2.15,2.65,15.48,4.30,40.45
front,46,7,1.0,1.0,0.857,2.845,3.994,3.441,0.061,0.059,0.101,1.96,1.40,4.16,8.51,5.10,17.58
front,47,7,0.857,1.0,0.571,2.829,4.535,3.479,0.057,0.050,0.096,3.14,1.20,6.80,26.09,21.50,53.36
front,48,5,1.0,1.0,1.0,0.969,4.075,2.768,0.054,0.052,0.081,3.60,3.40,5.72,7.70,6.40,13.54
front,49,5,1.0,0.8,0.6,0.960,4.130,3.102,0.026,0.026,0.052,4.86,1.80,10.84,15.52,13.70,23.18
front,50,3,1.0,1.0,1.0,2.933,3.655,3.399,0.065,0.069,0.071,1.97,0.50,4.34,8.23,10.10,10.66
front,51,5,1.0,0.8,0.8,2.564,3.804,3.390,0.067,0.063,0.131,1.08,0.40,2.40,12.74,14.20,20.22
front,52,4,1.0,1.0,1.0,1.719,3.909,3.102,0.035,0.028,0.056,2.00,1.75,2.94,2.20,2.00,3.64
front,53,5,0.8,1.0,0.8,2.902,4.640,3.906,0.025,0.026,0.040,2.02,2.30,2.72,21.44,7.40,55.46
front,54,3,1.0,0.333,0.333,2.401,4.001,3.255,0.180,0.198,0.217,2.47,3.00,3.48,11.03,10.00,18.72
front,55,8,1.0,0.5,0.5,1.464,3.891,2.760,0.160,0.157,0.224,2.65,2.70,4.64,4.95,3.75,10.07
front,56,8,1.0,0.375,0.375,1.262,3.673,2.479,0.161,0.165,0.199,3.71,2.95,6.87,10.11,7.65,19.45
front,57,5,0.8,0.2,0.2,2.126,4.217,3.305,0.149,0.153,0.196,2.86,1.90,5.80,22.16,3.50,61.86
front,58,2,1.0,0.5,0.5,3.072,3.680,3.376,0.161,0.161,0.183,2.65,2.65,2.85,10.90,10.90,12.10
rear,32,1,1.0,1.0,1.0,1.238,1.238,1.238,0.046,0.046,0.046,4.80,4.80,4.80,1.70,1.70,1.70
rear,33,1,1.0,1.0,1.0,1.208,1.208,1.208,0.055,0.055,0.055,4.40,4.40,4.40,1.60,1.60,1.60
rear,34,1,1.0,1.0,1.0,1.197,1.197,1.197,0.048,0.048,0.048,3.30,3.30,3.30,1.60,1.60,1.60
rear,35,3,1.0,1.0,1.0,1.178,2.673,2.020,0.053,0.049,0.076,6.53,6.50,6.82,9.57,7.60,18.16
rear,36,3,1.0,0.667,0.667,0.804,1.736,1.421,0.018,0.011,0.032,7.33,7.70,9.06,5.20,2.10,11.06
rear,37,1,1.0,0.0,0.0,2.182,2.182,2.182,0.022,0.022,0.022,8.20,8.20,8.20,17.70,17.70,17.70
rear,38,2,1.0,1.0,1.0,2.115,2.215,2.165,0.021,0.021,0.039,7.25,7.25,7.85,13.20,13.20,17.60
rear,39,1,1.0,1.0,1.0,2.126,2.126,2.126,0.025,0.025,0.025,7.10,7.10,7.10,6.70,6.70,6.70
rear,44,1,1.0,1.0,1.0,1.393,1.393,1.393,0.041,0.041,0.041,4.70,4.70,4.70,3.50,3.50,3.50
rear,45,1,1.0,1.0,1.0,1.817,1.817,1.817,0.038,0.038,0.038,3.20,3.20,3.20,11.80,11.80,11.80
rear,47,1,1.0,1.0,1.0,1.751,1.751,1.751,0.021,0.021,0.021,3.00,3.00,3.00,2.00,2.00,2.00
rear,48,1,1.0,1.0,1.0,2.392,2.392,2.392,0.040,0.040,0.040,3.30,3.30,3.30,4.90,4.90,4.90
rear,49,5,1.0,1.0,1.0,1.645,3.140,2.282,0.041,0.013,0.095,5.00,5.10,6.76,2.28,2.80,3.30
rear,50,2,1.0,1.0,1.0,1.703,2.225,1.964,0.039,0.039,0.041,2.70,2.70,3.34,8.25,8.25,12.21
rear,51,2,1.0,1.0,1.0,0.591,1.592,1.091,0.057,0.057,0.086,0.60,0.60,0.84,16.10,16.10,18.74
rear,52,3,1.0,1.0,1.0,0.694,2.713,1.694,0.031,0.018,0.053,4.07,5.00,6.28,8.87,6.80,14.88
rear,53,1,1.0,1.0,1.0,1.983,1.983,1.983,0.040,0.040,0.040,4.70,4.70,4.70,17.70,17.70,17.70
