group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,est_h,pos_err_cm,heading_err_deg,confidence,ok_for_true_location_update,ok_for_correction_motion,reason,distance_items,angle_items,yaw_items,distance_tag_count,angle_tag_count,yaw_tag_count,distance_bearing_span_deg,angle_bearing_span_deg,distance_rms_cm,distance_max_abs_cm,angle_rms_deg,angle_max_abs_deg,yaw_rms_deg,yaw_max_abs_deg,filter_enabled,filter_disabled,distance_disabled,angle_disabled,yaw_disabled
624_x2.000_y3.000_h0.0,624,2.0,3.0,0.0,2.2,2.85,20.0,25.00000000000001,20.0,FAILED,False,False,solver_failed: not enough enabled distance/angle items after filtering,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,2,1,0,1,0
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,4.2042575147105925,0.3125,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,6,6,6,6,6,210.51919146133457,210.51919146133457,2.609162176816467,5.9399897317338635,2.0824082985109333,3.442984391791896,5.17932457986163,10.565763231115682,18,0,0,0,0
624_x2.000_y3.000_h180.0,624,2.0,3.0,180.0,2.00625,3.0000000000000004,176.5625,0.6250000000000089,3.4375,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,2,2,2,2,2,2,58.60391652685212,58.60391652685212,0.1378428188971577,0.16556649680554703,0.1225793381888656,0.1406829600729509,6.596166306417272,9.196817039927055,6,0,0,0,0
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,1.9906249999999999,2.9875,270.15625,1.5625000000000222,0.15625,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,6,5,6,6,5,219.74655934879297,219.74655934879297,1.871012751707014,2.7605900888593826,2.3040258912674108,3.1855964722292924,10.475530857831869,20.458153527770776,17,1,0,0,1
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,1.9843750000000009,3.9999999999999996,88.75,1.5624999999999112,1.25,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,2,2,2,2,2,2,42.96155969443055,42.96155969443055,0.08039095677184341,0.10978776240964105,0.6108563231024414,0.641364801194527,3.6728461624134887,5.191364801194453,6,0,0,0,0
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,2.01875,4.015625,178.90625,2.440703023720816,1.09375,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,2,2,2,2,2,2,60.972964688098955,60.972964688098955,0.33544568548404785,0.38232117938707955,0.5710989444415672,0.6139236223684748,5.866366138065665,7.779826377631537,6,0,0,0,0
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0156249999999996,3.978125,267.5,2.6882266459508024,2.5,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,5,5,5,5,185.9194717616847,185.9194717616847,4.451858398619313,7.883891411728983,1.7178199352920023,2.6195489973098347,10.797177090749509,15.929979117806909,15,0,0,0,0
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,2.9,2.971875,359.84375,10.387981336621676,0.15625,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,3,3,2,3,3,2,193.39964020636188,193.39964020636188,4.879725005423646,7.070829382564225,1.902821776721748,2.226209548145789,12.28838119904442,16.458928289521424,8,1,0,0,1
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,2.8298078556679194,0.78125,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,5,5,5,5,215.1662142432957,215.1662142432957,0.974607801477957,1.5980600583853644,3.1926132223413513,4.90607901057956,6.042924304860089,9.412670989420462,15,0,0,0,0
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.0124999999999997,3.00625,178.75,1.3975424859373486,1.25,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,4,4,3,4,4,3,78.51089662477955,78.51089662477955,1.4401352833780716,2.0578255474005935,4.113754378849414,7.873971995551926,11.849382447151841,17.62827495623756,11,1,0,0,1
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,0.9375000000000355,0.78125,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,8,8,8,8,8,8,227.78762968869518,227.78762968869518,2.592268889414192,4.717239170194176,3.9264253772573663,8.635125183085506,10.781643983271055,17.80805930696249,24,0,0,0,0
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9187499999999997,4.115625,355.46875,14.131773818243754,4.53125,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,5,5,5,5,204.36130427105837,204.36130427105837,6.510342015886759,12.872798352837478,4.488376287658997,7.146398585035712,9.086619154573828,12.081909464367328,15,0,0,0,0
624_x3.000_y4.000_h90.0,624,3.0,4.0,90.0,3.2,3.85,110.0,25.00000000000001,20.0,FAILED,False,False,solver_failed: not enough enabled distance/angle items after filtering,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,3,0,0,0,0
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.9937500000000004,4.01875,179.0625,1.976423537605209,0.9375,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,4,4,3,4,4,3,77.32002283915676,77.32002283915676,1.4304599763630699,2.0124374646734777,3.990744291457176,7.5908647851259445,7.957104950699243,10.746635214874061,11,1,0,0,1
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.11875,3.9875,264.375,11.940608234089243,5.625,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,5,5,3,5,5,3,177.73715372534053,177.73715372534053,6.6116668686196425,12.730756540710164,7.0545247448888135,15.38194046334587,16.1365961857055,21.25694046334587,13,2,0,0,2
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.143750000000001,2.9406250000000003,6.25,15.552958922661686,6.25,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,5,5,4,5,5,4,175.8031858221572,175.8031858221572,10.504035276098685,18.573951477572237,4.693552081407805,7.907371225330081,14.857935862785375,24.04262877466985,14,1,0,0,1
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.993750000000001,3.0281250000000006,90.625,2.8811076429040705,0.625,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,5,5,5,5,202.12636352356307,202.12636352356307,1.7458830333555664,2.5686673691615702,3.873011587054342,6.515316449575806,5.849885708297753,9.720752049528699,15,0,0,0,0
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.9468750000000004,2.9875000000000003,177.5,5.457577873929016,2.5,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,6,2,6,6,2,84.04727423103554,84.04727423103554,3.057977148869602,4.442587174873225,4.920133178885368,11.073424793854599,8.35915160543475,11.426575206145401,14,4,0,0,4
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,3.98125,2.9781250000000004,271.5625,2.881107642903989,1.5625,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,7,7,7,7,7,7,228.75269541175732,228.75269541175732,2.8409789520731135,5.5676135414564065,4.5315899116202605,8.789700808216082,10.425102865019861,20.68890305178735,21,0,0,0,0
624_x4.000_y4.000_h0.0,624,4.0,4.0,0.0,3.95,4.140625,1.25,14.924942420324436,1.25,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,3,3,3,3,3,3,170.09385650809656,170.09385650809656,5.471044036160268,7.078687994295363,5.72313752412128,6.805456198826533,9.1750145010469,14.144543801173484,9,0,0,0,0
