group_key,dataset,gt_x,gt_y,gt_h,initial_x,initial_y,initial_h,est_x,est_y,est_h,ok,detail,observation_count,used_tag_count,used_distance_count,used_angle_count,initial_pos_err_cm,pos_err_cm,initial_heading_err_deg,heading_err_deg,distance_rms_cm,distance_max_abs_cm,angle_rms_deg,angle_max_abs_deg,cost,seed_count,best_seed_heading_deg,iterations,evaluations
624_x2.000_y3.000_h0.0,624,2.0,3.0,0.0,2.2,2.85,20.0,2.2,2.85,20.0,False,not enough distance/angle observations,1,1,1,1,25.00000000000001,25.00000000000001,20.0,20.0,21.868724780010407,21.868724780010407,23.68302745306255,23.68302745306255,inf,0,20.0,0,0
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,2.2,2.85,110.0,1.9687499999999998,3.0281250000000006,89.6875,True,ok,6,6,6,6,25.00000000000001,4.2042575147105925,20.0,0.3125,2.609162176816467,5.9399897317338635,2.0824082985109333,3.442984391791896,0.8995438878869848,13,80.0,263,2643
624_x2.000_y3.000_h180.0,624,2.0,3.0,180.0,2.2,2.85,200.0,2.00625,3.0031250000000003,176.71875,True,ok,2,2,2,2,25.00000000000001,0.6987712429687041,20.0,3.28125,0.026590226089316285,0.037146322538550436,0.16652100416164123,0.19251036704633862,0.0015687952064393127,13,170.0,337,3383
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,2.2,2.85,290.0,1.990625,2.9875,270.15625,True,ok,6,6,6,6,25.00000000000001,1.562500000000009,20.0,0.15625,1.8710127517070099,2.7605900888593826,2.3040258912674108,3.1855964722292924,1.062507977494309,13,260.0,274,2753
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,2.2,3.85,110.0,1.9843750000000009,3.9999999999999996,88.75,True,ok,2,2,2,2,25.00000000000001,1.5624999999999112,20.0,1.25,0.08039095677184341,0.10978776240964105,0.6108563231024414,0.641364801194527,0.02098881087468516,13,110.0,313,3143
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,2.2,3.85,200.0,2.01875,4.015625,178.90625,True,ok,2,2,2,2,25.00000000000001,2.440703023720816,20.0,1.09375,0.33544568548404785,0.38232117938707955,0.5710989444415672,0.6139236223684748,0.02262061922429852,13,185.0,295,2963
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.2,3.85,290.0,2.015625,3.978125,267.5,True,ok,5,5,5,5,25.00000000000001,2.688226645950828,20.0,2.5,4.451858398619309,7.883891411728983,1.7178199352920045,2.6195489973098347,1.6558275622399696,13,260.0,292,2933
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,3.2,2.85,20.0,2.9,2.9718750000000003,359.84375,True,ok,3,3,3,3,25.00000000000001,10.387981336621664,20.0,0.15625,4.879725005423649,7.070829382564225,1.9028217767217563,2.226209548145789,1.0674289711706293,13,350.0,256,2573
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,3.2,2.85,110.0,2.9718750000000003,3.0031250000000003,90.78125,True,ok,5,5,5,5,25.00000000000001,2.8298078556679194,20.0,0.78125,0.974607801477957,1.5980600583853644,3.1926132223413513,4.90607901057956,1.109063443180037,13,80.0,284,2853
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.2,2.85,200.0,3.015625,3.0125,180.0,True,ok,4,4,4,4,25.00000000000001,2.0009763241977763,20.0,0.0,1.5489461448755084,2.607808384086807,3.9366603548981964,6.682948247140445,1.913860371647664,13,170.0,262,2633
