group_key,dataset,gt_x,gt_y,gt_h,initial_x,initial_y,fixed_heading_deg,est_x,est_y,ok,detail,observation_count,used_distance_count,initial_pos_err_cm,pos_err_cm,distance_rms_cm,distance_max_abs_cm,cost,iterations,evaluations
624_x2.000_y3.000_h0.0,624,2.0,3.0,0.0,2.2,2.85,0.0,2.2,2.85,False,not enough distance observations,1,1,25.00000000000001,25.00000000000001,nan,nan,inf,0,0
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,2.2,2.85,90.0,1.95,3.0312500000000004,True,ok,6,6,25.00000000000001,5.896238207535405,2.4152831001005746,5.2220174842699585,0.37919360153474474,12,97
624_x2.000_y3.000_h180.0,624,2.0,3.0,180.0,2.2,2.85,180.0,2.00625,3.0062500000000005,True,ok,2,2,25.00000000000001,0.8838834764832283,0.03170260685933084,0.04220689844709469,4.020221126709163e-05,11,89
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,2.2,2.85,270.0,2.015625,2.9875,True,ok,6,6,25.00000000000001,2.0009763241977763,1.6084713015634922,3.0508873409192283,0.30070261508146634,14,113
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,2.2,3.85,90.0,1.984375,3.9999999999999996,True,ok,2,2,25.00000000000001,1.5625,0.05757088623994381,0.06261580171975645,0.00013257627769810206,14,113
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,2.2,3.85,180.0,2.0156249999999996,4.01875,True,ok,2,2,25.00000000000001,2.4407030237207876,0.05096097068594213,0.07132550923377723,0.00010388082133013811,13,105
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.2,3.85,270.0,2.0343750000000003,3.978125,True,ok,5,5,25.00000000000001,4.074501503251683,4.441048622238414,8.336669650194374,1.2772906779438518,14,113
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,3.2,2.85,0.0,2.921875,3.13125,True,ok,3,3,25.00000000000001,15.274186762312429,3.980189731119189,5.568147914194532,0.60027156655509,18,145
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,3.2,2.85,90.0,2.9531249999999996,3.0062500000000005,True,ok,5,5,25.00000000000001,4.728983109506787,0.5616943591903878,0.7021342503350514,0.03077699883818582,13,105
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.2,2.85,180.0,3.009375,3.0062500000000005,True,ok,4,4,25.00000000000001,1.1267347735825188,1.4050232274404824,1.7339430541548406,0.15792722157178157,12,97
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.2,2.85,270.0,3.025,3.0,True,ok,8,8,25.00000000000001,2.499999999999991,2.4770632278497264,4.282923393336757,0.6799643659680858,11,89
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,3.2,3.85,0.0,2.9,4.25,True,ok,5,5,25.00000000000001,26.925824035672523,6.4185203050261475,11.184312710827538,2.8418041857419714,10,81
624_x3.000_y4.000_h90.0,624,3.0,4.0,90.0,3.2,3.85,90.0,3.2,3.85,False,not enough distance observations,1,1,25.00000000000001,25.00000000000001,nan,nan,inf,0,0
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,3.2,3.85,180.0,2.9906249999999996,4.0125,True,ok,4,4,25.00000000000001,1.5625000000000353,1.3507112847735985,1.9828966623616218,0.14595367798517958,12,97
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.2,3.85,270.0,3.128125,3.9968749999999993,True,ok,5,5,25.00000000000001,12.816310409006157,6.301467713388534,11.920498346787479,2.549866725930183,13,105
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.2,2.85,0.0,4.159375000000001,2.9437499999999996,True,ok,5,5,25.00000000000001,16.90102160373753,10.628067377606818,17.033834668067627,8.579142574552645,12,97
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,4.2,2.85,90.0,3.975,3.0312500000000004,True,ok,5,5,25.00000000000001,4.00195264839556,1.4573829869307509,1.9076900105579053,0.17600370529569553,12,97
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,4.2,2.85,180.0,3.9437499999999996,2.9875,True,ok,6,6,25.00000000000001,5.762215285808093,3.0542204786426934,4.144776923028104,1.1193915278592481,12,97
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,4.2,2.85,270.0,4.0,2.975,True,ok,7,7,25.00000000000001,2.499999999999991,2.701110572923275,5.217586501451432,0.7102253915986259,11,89
624_x4.000_y4.000_h0.0,624,4.0,4.0,0.0,4.2,3.85,0.0,3.98125,4.3062499999999995,True,ok,3,3,25.00000000000001,30.68234427158389,4.525119603971967,6.925538212431981,0.6570148391852233,14,113
624_x4.000_y4.000_h90.0,624,4.0,4.0,90.0,4.2,3.85,90.0,3.86875,4.043749999999999,True,ok,3,3,25.00000000000001,13.834964763236645,9.925095708301985,15.057681910529741,3.6430803719222977,14,113
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,4.2,3.85,180.0,3.971875,3.9531249999999996,True,ok,4,4,25.00000000000001,5.466517401417517,2.254188704483683,3.16642864702672,0.40650933723374594,13,105
