group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,fixed_heading_deg,tag_id,camera_role,measured_distance_m,predicted_distance_m,residual_m,residual_cm,weight
624_x2.000_y3.000_h0.0,624,2.0,3.0,0.0,2.2,2.85,0.0,49,front,4.449,4.215510052176367,0.23348994782363253,23.348994782363253,1.0
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.95,3.0312500000000004,90.0,37,front,2.672,2.6753577447698462,-0.0033577447698460716,-0.33577447698460716,1.0
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.95,3.0312500000000004,90.0,38,front,2.218,2.220436682839661,-0.0024366828396611417,-0.24366828396611417,1.0
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.95,3.0312500000000004,90.0,39,front,2.147,2.1322145911000603,0.014785408899939512,1.4785408899939512,1.0
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.95,3.0312500000000004,90.0,40,front,1.787,1.7795193346800138,0.007480665319986146,0.7480665319986146,1.0
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.95,3.0312500000000004,90.0,45,rear,2.848,2.869941473706389,-0.021941473706389214,-2.1941473706389214,0.5
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.95,3.0312500000000004,90.0,46,rear,2.986,2.9337798251573006,0.052220174842699585,5.2220174842699585,0.5
624_x2.000_y3.000_h180.0,624,2.0,3.0,180.0,2.00625,3.0062500000000005,180.0,41,front,1.023,1.022577931015529,0.0004220689844709469,0.04220689844709469,1.0
624_x2.000_y3.000_h180.0,624,2.0,3.0,180.0,2.00625,3.0062500000000005,180.0,42,front,0.775,0.774848775568498,0.00015122443150206166,0.015122443150206166,1.0
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,2.015625,2.9875,270.0,38,rear,2.216,2.224042016380311,-0.00804201638031099,-0.804201638031099,0.5
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,2.015625,2.9875,270.0,39,rear,2.171,2.1652627763449406,0.005737223655059243,0.5737223655059243,0.5
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,2.015625,2.9875,270.0,43,front,1.455,1.4418825855890622,0.013117414410937833,1.3117414410937833,1.0
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,2.015625,2.9875,270.0,45,front,2.823,2.8535088734091922,-0.030508873409192283,-3.0508873409192283,1.0
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,2.015625,2.9875,270.0,46,front,2.915,2.8962605874860428,0.018739412513957276,1.8739412513957276,1.0
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,2.015625,2.9875,270.0,47,front,3.227,3.226166516258111,0.0008334837418888519,0.08334837418888519,1.0
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,1.984375,3.9999999999999996,90.0,38,front,1.315,1.3144796082956178,0.0005203917043821171,0.05203917043821171,1.0
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,1.984375,3.9999999999999996,90.0,39,front,1.188,1.1873738419828024,0.0006261580171975645,0.06261580171975645,1.0
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,2.0156249999999996,4.01875,180.0,40,front,1.021,1.0211033018872282,-0.00010330188722829092,-0.010330188722829092,1.0
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,2.0156249999999996,4.01875,180.0,41,front,0.824,0.8247132550923377,-0.0007132550923377723,-0.07132550923377723,1.0
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0343750000000003,3.978125,270.0,39,rear,1.12,1.2033666965019438,-0.08336669650194373,-8.336669650194374,0.5
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0343750000000003,3.978125,270.0,42,front,1.454,1.4280857489135588,0.025914251086441187,2.5914251086441187,1.0
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0343750000000003,3.978125,270.0,45,front,3.801,3.8404497010441365,-0.039449701044136365,-3.9449701044136365,1.0
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0343750000000003,3.978125,270.0,46,front,3.842,3.8677178550470814,-0.02571785504708135,-2.571785504708135,1.0
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0343750000000003,3.978125,270.0,47,front,4.121,4.11628672546629,0.004713274533710177,0.47132745337101767,1.0
