group_key,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,kind,residual,abs_residual,classification,enabled,weight_multiplier,state,reason
624_x2.000_y3.000_h0.0,624,2.0,3.0,0.0,49,front,distance,0.21868724780010407,0.21868724780010407,BAD,True,0.25,USED_LOW_WEIGHT,bad_distance_kept_for_diversity
624_x2.000_y3.000_h0.0,624,2.0,3.0,0.0,49,front,angle,-23.68302745306255,23.68302745306255,SEVERE,False,0.0,DISABLED,severe_angle_outlier
624_x2.000_y3.000_h0.0,624,2.0,3.0,0.0,49,front,yaw,-7.983027453062533,7.983027453062533,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,37,front,distance,0.005796293185310386,0.005796293185310386,GOOD,True,1.0,USED_NORMAL,good_distance
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,38,front,distance,0.00033948449498399924,0.00033948449498399924,GOOD,True,1.0,USED_NORMAL,good_distance
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,39,front,distance,0.00910521357398153,0.00910521357398153,GOOD,True,1.0,USED_NORMAL,good_distance
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,40,front,distance,-0.0034539307461811664,0.0034539307461811664,GOOD,True,1.0,USED_NORMAL,good_distance
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,45,rear,distance,-0.020681918223602214,0.020681918223602214,GOOD,True,1.0,USED_NORMAL,good_distance
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,46,rear,distance,0.059399897317338635,0.059399897317338635,GOOD,True,1.0,USED_NORMAL,good_distance
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,37,front,angle,-0.22977379195631897,0.22977379195631897,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,38,front,angle,-1.227377887943078,1.227377887943078,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,39,front,angle,-2.446563625685627,2.446563625685627,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,40,front,angle,1.9501053523838436,1.9501053523838436,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,45,rear,angle,3.442984391791896,3.442984391791896,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,46,rear,angle,1.678263231115693,1.678263231115693,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,37,front,yaw,3.257726208043721,3.257726208043721,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,38,front,yaw,-2.1398778879431006,2.1398778879431006,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,39,front,yaw,-4.159063625685633,4.159063625685633,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,40,front,yaw,-4.062394647616145,4.062394647616145,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,45,rear,yaw,-0.5695156082080928,0.5695156082080928,GOOD,True,1.0,USED_NORMAL,good_yaw
