source_row,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,ok,reason,tag_x_m,tag_y_m,tag_yaw_deg,tag_room,tag_facing,camera_x_m,camera_y_m,camera_heading_deg,bearing_world_deg,pred_distance_m,pred_angle_deg,pred_yaw_deg,meas_distance_m,meas_angle_deg,meas_yaw_deg,meas_distance_residual_m,meas_distance_residual_cm,meas_angle_residual_deg,meas_yaw_residual_deg,true_distance_m,true_angle_deg,true_yaw_deg,true_distance_delta_m,true_distance_delta_cm,true_angle_delta_deg,true_yaw_delta_deg
0,624,2.0,3.0,0.0,49,front,True,,5.45,0.1,90.0,inner,up,2.055,3.0,0.0,319.496135227463,4.464977603527256,40.503864772536986,-49.496135227463014,4.449,37.2,-57.1,-0.01597760352725608,-1.597760352725608,-3.303864772536997,-7.60386477253698,4.465,40.5,-49.5,2.2396472743935192e-05,0.002239647274393519,-0.0038647725369855834,-0.0038647725369855834
1,624,2.0,3.0,90.0,37,front,True,,3.59,5.2,270.0,inner,down,2.0,3.055,90.0,53.451985369554706,2.6700421344990044,36.548014630445294,36.54801463044532,2.672,36.9,40.7,0.001957865500995748,0.1957865500995748,0.35198536955471127,4.151985369554666,2.67,36.5,36.5,-4.2134499004475856e-05,-0.004213449900447586,-0.048014630445294415,-0.04801463044532284
2,624,2.0,3.0,90.0,38,front,True,,2.63,5.2,270.0,inner,down,2.0,3.055,90.0,73.63215439401327,2.2356039452461163,16.36784560598673,16.36784560598676,2.218,15.8,15.2,-0.017603945246116304,-1.7603945246116304,-0.5678456059867187,-1.16784560598677,2.236,16.4,16.4,0.0003960547538839343,0.03960547538839343,0.03215439401327558,0.032154394013247156
3,624,2.0,3.0,90.0,39,front,True,,1.67,5.2,270.0,inner,down,2.0,3.055,90.0,98.74616226255522,2.1702361622643744,-8.74616226255523,-8.74616226255523,2.147,-10.8,-12.2,-0.023236162264374638,-2.323616226437464,-2.0538377374447805,-3.4538377374447577,2.17,-8.7,-8.7,-0.0002361622643745065,-0.02361622643745065,0.04616226255524225,0.04616226255524225
4,624,2.0,3.0,90.0,40,front,True,,1.2,4.7,0.0,inner,right,2.0,3.055,90.0,115.93468295028809,1.8292143122116664,-25.934682950288106,64.0653170497119,1.787,-23.8,60.5,-0.042214312211666494,-4.221431221166649,2.134682950288095,-3.5653170497118936,1.74,-27.4,62.6,-0.08921431221166642,-8.921431221166642,-1.4653170497118992,-1.4653170497118992
5,624,2.0,3.0,90.0,45,rear,True,,1.67,0.1,90.0,inner,up,2.0,2.925,270.0,263.33723786955295,2.8442090288865898,6.6627621304470495,6.6627621304470495,2.848,9.1,5.4,0.003790971113410091,0.3790971113410091,2.437237869552945,-1.2627621304470438,2.864,6.6,6.6,0.019790971113410105,1.9790971113410105,-0.06276213044705514,-0.06276213044705514
6,624,2.0,3.0,90.0,46,rear,True,,2.62,0.1,90.0,inner,up,2.0,2.925,270.0,282.3783972327699,2.892235294715836,-12.378397232769885,-12.378397232769885,2.986,-11.5,-2.3,0.09376470528416414,9.376470528416414,0.8783972327698848,10.078397232769873,2.912,-12.3,-12.3,0.019764705284163853,1.9764705284163853,0.07839723276987343,0.07839723276987343
7,624,2.0,3.0,180.0,41,front,True,,1.2,3.7,0.0,inner,right,1.945,3.0,180.0,136.78372115385588,1.0222646428396125,43.21627884614412,43.21627884614412,1.023,39.3,44.4,0.0007353571603874176,0.07353571603874176,-3.9162788461441096,1.1837211538558847,0.957,38.8,38.8,-0.06526464283961253,-6.526464283961253,-4.41627884614411,-4.41627884614411
8,624,2.0,3.0,180.0,42,front,True,,1.22,2.75,0.0,inner,right,1.945,3.0,180.0,199.02560603756868,0.7668930825088984,-19.02560603756868,-19.02560603756868,0.775,-22.4,-28.3,0.008106917491101595,0.8106917491101595,-3.374393962431327,-9.274393962431333,0.805,-25.8,-25.8,0.03810691749110162,3.810691749110162,-6.774393962431333,-6.774393962431333
9,624,2.0,3.0,270.0,38,rear,True,,2.63,5.2,270.0,inner,down,2.0,3.075,90.0,73.48645880906085,2.2164216656584097,16.51354119093915,16.513541190939122,2.216,20.0,-3.8,-0.0004216656584095091,-0.04216656584095091,3.4864588090608493,-20.313541190939134,2.236,16.4,16.4,0.01957833434159051,1.9578334341590509,-0.11354119093914505,-0.11354119093911663
10,624,2.0,3.0,270.0,39,rear,True,,1.67,5.2,270.0,inner,down,2.0,3.075,90.0,98.82718858932617,2.1504708786682047,-8.82718858932617,-8.82718858932617,2.171,-6.8,-2.3,0.020529121331795075,2.0529121331795075,2.0271885893261583,6.527188589326158,2.17,-8.7,-8.7,0.019529121331795185,1.9529121331795185,0.12718858932618105,0.12718858932618105
11,624,2.0,3.0,270.0,43,front,True,,1.22,1.73,0.0,inner,right,2.0,2.945,270.0,237.30053887899808,1.4438230500999767,32.69946112100192,-57.30053887899808,1.455,32.3,-59.9,0.01117694990002338,1.117694990002338,-0.3994611210019343,-2.599461121001923,1.529,30.7,-59.3,0.08517694990002322,8.517694990002322,-1.9994611210019286,-1.9994611210019002
12,624,2.0,3.0,270.0,45,front,True,,1.67,0.1,90.0,inner,up,2.0,2.945,270.0,263.3836595368129,2.8640748942721452,6.6163404631871,6.6163404631871,2.823,4.2,2.1,-0.04107489427214528,-4.107489427214528,-2.4163404631871117,-4.516340463187106,2.864,6.6,6.6,-7.489427214535382e-05,-0.007489427214535382,-0.016340463187106025,-0.016340463187106025
