source_row,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,ok,reason,tag_x_m,tag_y_m,tag_yaw_deg,tag_room,tag_facing,camera_x_m,camera_y_m,camera_heading_deg,bearing_world_deg,pred_distance_m,pred_angle_deg,pred_yaw_deg,meas_distance_m,meas_angle_deg,meas_yaw_deg,meas_distance_residual_m,meas_distance_residual_cm,meas_angle_residual_deg,meas_yaw_residual_deg,true_distance_m,true_angle_deg,true_yaw_deg,true_distance_delta_m,true_distance_delta_cm,true_angle_delta_deg,true_yaw_delta_deg,worst_score
60,624,4.0,3.0,0.0,34,front,True,,6.45,5.2,270.0,inner,down,4.055,3.0,0.0,42.56997232808507,3.2520801035644866,-42.56997232808507,47.4300276719149,3.196,-32.0,-57.7,-0.05608010356448645,-5.608010356448645,10.569972328085072,-105.1300276719149,3.252,-42.6,47.4,-8.010356448684419e-05,-0.00801035644868442,-0.030027671914922394,-0.030027671914893972,15.15792894784291
69,624,4.0,3.0,180.0,39,front,True,,1.67,5.2,270.0,inner,down,3.945,3.0,180.0,135.96017456666635,3.164747225293041,44.03982543333365,-45.96017456666635,3.098,41.0,48.7,-0.066747225293041,-6.6747225293041,-3.0398254333336467,94.66017456666634,3.165,44.0,-46.0,0.00025277470695916904,0.025277470695916904,-0.03982543333364674,-0.03982543333364674,11.814237106972003
32,624,3.0,3.0,180.0,40,front,True,,1.2,4.7,0.0,inner,right,2.945,3.0,180.0,135.74837836005614,2.436190673982642,44.25162163994386,44.25162163994386,2.425,41.8,-52.4,-0.011190673982642174,-1.1190673982642174,-2.4516216399438804,-96.65162163994387,2.367,42.5,42.5,-0.069190673982642,-6.9190673982642,-1.7516216399438633,-1.7516216399438633,10.706182856961856
204,625,7.0,4.0,0.0,56,front,True,,10.1,2.75,180.0,inner,left,7.055,4.0,0.0,337.6814071150422,3.2915839652058096,22.31859288495781,22.318592884957752,3.5334,19.786,-26.072,0.24181603479419023,24.181603479419024,-2.5325928849578077,-48.390592884957755,3.3308,23.91,23.91,0.039216034794190335,3.9216034794190335,1.5914071150421876,1.5914071150422444,10.51957761269885
156,625,6.0,2.0,180.0,54,rear,True,,10.2,0.71,180.0,inner,left,6.075,2.0,0.0,342.63411288367774,4.322004743171853,17.365887116322256,17.365887116322256,4.6613,18.963,-13.542,0.3392952568281471,33.92952568281471,1.5971128836777382,-30.907887116322257,4.3719,18.539,18.539,0.04989525682814744,4.989525682814744,1.1731128836777316,1.1731128836777316,10.409064809421082
241,625,8.0,3.0,180.0,57,rear,True,,10.1,3.77,180.0,inner,left,8.075,3.0,0.0,20.819152028120303,2.166454476789208,-20.8191520281203,-20.819152028120243,2.4148,-11.274,-2.342,0.24834552321079206,24.834552321079208,9.545152028120299,18.47715202812026,2.152,-18.14,-18.14,-0.01445447678920786,-1.445447678920786,2.6791520281203134,2.6791520281202565,9.996343009734634
283,625,9.0,4.0,180.0,40,front,True,,1.2,4.7,0.0,inner,right,8.945,4.0,180.0,174.83558808792503,7.776568973525536,5.164411912074968,5.164411912074968,7.4125,0.291,-2.214,-0.36406897352553624,-36.40689735255363,-4.873411912074971,-7.3784119120749665,7.7682,4.43,4.43,-0.008368973525535672,-0.8368973525535672,-0.734411912074961,-0.734411912074961,9.643691299076547
63,624,4.0,3.0,0.0,57,front,True,,10.1,3.77,180.0,inner,left,4.055,3.0,0.0,7.259129978258267,6.09384320441542,-7.259129978258272,-7.2591299782582155,5.773,-9.6,16.1,-0.3208432044154206,-32.08432044154206,-2.340870021741722,23.35912997825821,6.082,-6.3,-6.3,-0.011843204415420416,-1.1843204415420416,0.959129978258261,0.9591299782582041,9.533067093381474
216,625,7.0,4.0,180.0,57,rear,True,,10.1,3.77,180.0,inner,left,7.075,4.0,0.0,355.6519924520983,3.033731201013036,4.348007547901716,4.348007547901716,3.274,16.094,-2.342,0.24026879898696407,24.026879898696407,11.745992452098278,-6.690007547901729,3.0628,6.185,6.185,0.02906879898696424,2.906879898696424,1.8369924520982863,1.8369924520982863,9.389707551895546
194,625,7.0,3.0,180.0,55,rear,True,,10.1,1.73,180.0,inner,left,7.075,3.0,0.0,337.2256450478367,3.2807811569807575,22.77435495216332,22.77435495216332,3.5862,22.449,-7.763,0.3054188430192424,30.541884301924238,-0.325354952163309,-30.537354952163327,3.339,24.224,24.224,0.05821884301924252,5.821884301924252,1.4496450478366683,1.4496450478366683,9.270564006322283
217,625,7.0,4.0,180.0,58,rear,True,,9.31,4.69,180.0,inner,left,7.075,4.0,0.0,17.15675609072276,2.3390863600987464,-17.15675609072275,-17.15675609072275,2.5779,-5.163,-13.077,0.2388136399012537,23.881363990125372,11.99375609072274,4.0797560907227535,2.3582,-17.013,-17.013,0.0191136399012537,1.9113639901253698,0.14375609072274642,0.14375609072274642,9.18216710400493
151,625,6.0,2.0,180.0,40,front,True,,1.2,4.7,0.0,inner,right,5.945,2.0,180.0,150.3592572311421,5.4593978605703395,29.640742768857905,29.640742768857905,5.3612,30.697,-37.594,-0.0981978605703393,-9.81978605703393,1.056257231142098,-67.2347427688579,5.4106,28.72,28.72,-0.04879786057033986,-4.879786057033986,-0.920742768857906,-0.920742768857906,9.03951723200661
