group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,est_h,tag_id,camera_role,distance_residual_cm,distance_weight,angle_residual_deg,angle_weight,yaw_residual_deg,yaw_weight
624_x2.000_y3.000_h0.0,624,2.0,3.0,0.0,2.2,2.85,20.0,49,front,21.868724780010407,0.25,-23.68302745306255,0.0,-7.983027453062533,0.05
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,37,front,0.5796293185310386,1.0,-0.22977379195631897,0.5,3.257726208043721,0.05
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,38,front,0.033948449498399924,1.0,-1.227377887943078,0.5,-2.1398778879431006,0.05
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,39,front,0.910521357398153,1.0,-2.446563625685627,0.5,-4.159063625685633,0.05
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,40,front,-0.34539307461811664,1.0,1.9501053523838436,0.5,-4.062394647616145,0.05
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,45,rear,-2.0681918223602214,0.5,3.442984391791896,0.2,-0.5695156082080928,0.01
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,46,rear,5.9399897317338635,0.5,1.678263231115693,0.2,10.565763231115682,0.0025
624_x2.000_y3.000_h180.0,624,2.0,3.0,180.0,2.00625,3.0000000000000004,176.5625,41,front,-0.16556649680554703,1.0,-0.10129014289037741,0.5,1.5612098571096453,0.05
624_x2.000_y3.000_h180.0,624,2.0,3.0,180.0,2.00625,3.0000000000000004,176.5625,42,front,0.1029029668113024,1.0,0.1406829600729509,0.5,-9.196817039927055,0.05
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,1.9906249999999999,2.9875,270.15625,38,rear,-1.513635130017743,0.5,3.1855964722292924,0.2,-20.458153527770776,0.0025
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,1.9906249999999999,2.9875,270.15625,39,rear,0.9616942904817183,0.5,1.5691526300611827,0.2,6.225402630061183,0.01
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,1.9906249999999999,2.9875,270.15625,43,front,2.6679018707333135,1.0,-0.5151879373690917,0.5,-2.5589379373690804,0.05
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,1.9906249999999999,2.9875,270.15625,45,front,-2.7605900888593826,1.0,-2.4173549337268696,0.5,-4.361104933726864,0.05
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,1.9906249999999999,2.9875,270.15625,46,front,1.3451874775782358,1.0,-2.131673054393218,0.5,28.824576945606793,0.0
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,1.9906249999999999,2.9875,270.15625,47,front,-1.113596743317924,1.0,2.9305107896449556,0.5,-8.113239210355033,0.05
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,1.9843750000000009,3.9999999999999996,88.75,38,front,0.10978776240964105,1.0,0.5787418135379312,0.5,-0.17125818646201196,0.05
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,1.9843750000000009,3.9999999999999996,88.75,39,front,0.029530646563680207,1.0,-0.641364801194527,0.5,-5.191364801194453,0.05
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,2.01875,4.015625,178.90625,40,front,-0.38232117938707955,1.0,-0.5247911914109409,0.5,2.881458808589059,0.05
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,2.01875,4.015625,178.90625,41,front,-0.28085250864430256,1.0,0.6139236223684748,0.5,-7.779826377631537,0.05
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0156249999999996,3.978125,267.5,39,rear,-7.883891411728983,0.5,2.6195489973098347,0.2,14.619548997309892,0.0025
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0156249999999996,3.978125,267.5,42,front,3.782470318547948,1.0,-0.66399079527514,0.5,-3.9639907952751514,0.05
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0156249999999996,3.978125,267.5,45,front,-3.7552992260386553,1.0,-1.5299791178069029,0.5,-15.929979117806909,0.0125
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0156249999999996,3.978125,267.5,46,front,-2.9028261375890096,1.0,-1.1818394348676406,0.5,-5.281839434867663,0.05
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0156249999999996,3.978125,267.5,47,front,-0.3220537874328855,1.0,1.9271806802120466,0.5,-8.472819319787959,0.05
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,2.9,2.971875,359.84375,41,rear,1.7411862257798782,0.5,2.226209548145789,0.2,-26.43004045185421,0.0
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,2.9,2.971875,359.84375,42,rear,7.070829382564225,0.5,1.7340904913055795,0.2,5.5778404913055795,0.01
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,2.9,2.971875,359.84375,55,front,4.2903135964042605,1.0,-1.7026782895214296,0.5,-16.458928289521424,0.0125
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,36,front,1.5980600583853644,1.0,-1.4902927794157108,0.5,2.8909572205842835,0.05
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,37,front,-0.3496936066848644,1.0,-1.497373126010558,0.5,-1.2161231260105012,0.05
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,38,front,-1.2874532082629564,1.0,-2.8320770769294086,0.5,-4.950827076929386,0.05
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,39,front,-0.6107915454126367,1.0,3.7961197640154296,0.5,-7.722630235984582,0.05
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,46,rear,-0.2064417335023272,0.5,4.90607901057956,0.2,-9.412670989420462,0.01
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.0124999999999997,3.00625,178.75,40,front,-1.499556814821723,1.0,-0.8712775767563699,0.5,-96.32127757675639,0.0
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.0124999999999997,3.00625,178.75,41,front,0.49584414479539873,1.0,-0.6569806650029761,0.5,-2.206980665002959,0.05
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.0124999999999997,3.00625,178.75,42,front,1.251711027905822,1.0,-2.1217250437624386,0.5,17.62827495623756,0.0125
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.0124999999999997,3.00625,178.75,43,front,-2.0578255474005935,1.0,7.873971995551926,0.25,-10.27602800444808,0.0125
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,37,rear,-4.717239170194176,0.5,4.310936278955211,0.2,-17.607813721044806,0.0025
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,38,rear,-3.142654565588421,0.5,2.314332978617358,0.2,7.795582978617347,0.01
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,44,front,1.0471565704273988,1.0,-1.3741946779366288,0.5,-4.992944677936634,0.05
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,45,front,-0.38352740695790644,1.0,-1.203787323766221,0.5,0.2774626762337675,0.05
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,46,front,-2.2628727303714236,1.0,-2.9893093069624967,0.5,-17.80805930696249,0.0125
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,47,front,0.8342895997163868,1.0,-3.0421561123982315,0.5,-3.860906112398254,0.05
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,48,front,-3.815909724966371,1.0,1.8167650927006207,0.5,-9.601984907299396,0.05
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,49,front,-0.0938697967714397,1.0,8.635125183085506,0.25,-10.4836248169145,0.0125
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9187499999999997,4.115625,355.46875,36,front,-1.8888215618702464,1.0,0.6004657062030105,0.5,-7.330784293796967,0.05
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9187499999999997,4.115625,355.46875,40,rear,5.521804777671768,0.5,7.146398585035712,0.1,-7.884851414964288,0.01
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9187499999999997,4.115625,355.46875,41,rear,3.4829014003455727,0.5,6.513159464367334,0.1,12.081909464367328,0.0025
