group_key,mode,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,kind,value,sigma,base_weight,enabled,weight_multiplier,state,reason,effective_weight
624_x2.000_y3.000_h0.0,distance_only,624,2.0,3.0,0.0,49,front,distance,4.449,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h90.0,distance_only,624,2.0,3.0,90.0,37,front,distance,2.672,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h90.0,distance_only,624,2.0,3.0,90.0,38,front,distance,2.218,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h90.0,distance_only,624,2.0,3.0,90.0,39,front,distance,2.147,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h90.0,distance_only,624,2.0,3.0,90.0,40,front,distance,1.787,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h90.0,distance_only,624,2.0,3.0,90.0,45,rear,distance,2.848,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h90.0,distance_only,624,2.0,3.0,90.0,46,rear,distance,2.986,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h180.0,distance_only,624,2.0,3.0,180.0,41,front,distance,1.023,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h180.0,distance_only,624,2.0,3.0,180.0,42,front,distance,0.775,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h270.0,distance_only,624,2.0,3.0,270.0,38,rear,distance,2.216,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h270.0,distance_only,624,2.0,3.0,270.0,39,rear,distance,2.171,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h270.0,distance_only,624,2.0,3.0,270.0,43,front,distance,1.455,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h270.0,distance_only,624,2.0,3.0,270.0,45,front,distance,2.823,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h270.0,distance_only,624,2.0,3.0,270.0,46,front,distance,2.915,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h270.0,distance_only,624,2.0,3.0,270.0,47,front,distance,3.227,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h90.0,distance_only,624,2.0,4.0,90.0,38,front,distance,1.315,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h90.0,distance_only,624,2.0,4.0,90.0,39,front,distance,1.188,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h180.0,distance_only,624,2.0,4.0,180.0,40,front,distance,1.021,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h180.0,distance_only,624,2.0,4.0,180.0,41,front,distance,0.824,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h270.0,distance_only,624,2.0,4.0,270.0,39,rear,distance,1.12,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h270.0,distance_only,624,2.0,4.0,270.0,42,front,distance,1.454,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h270.0,distance_only,624,2.0,4.0,270.0,45,front,distance,3.801,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h270.0,distance_only,624,2.0,4.0,270.0,46,front,distance,3.842,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h270.0,distance_only,624,2.0,4.0,270.0,47,front,distance,4.121,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h0.0,distance_only,624,3.0,3.0,0.0,41,rear,distance,1.798,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x3.000_y3.000_h0.0,distance_only,624,3.0,3.0,0.0,42,rear,distance,1.691,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x3.000_y3.000_h0.0,distance_only,624,3.0,3.0,0.0,55,front,distance,7.295,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h90.0,distance_only,624,3.0,3.0,90.0,36,front,distance,2.316,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h90.0,distance_only,624,3.0,3.0,90.0,37,front,distance,2.226,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h90.0,distance_only,624,3.0,3.0,90.0,38,front,distance,2.156,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h90.0,distance_only,624,3.0,3.0,90.0,39,front,distance,2.5,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h90.0,distance_only,624,3.0,3.0,90.0,46,rear,distance,2.848,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x3.000_y3.000_h180.0,distance_only,624,3.0,3.0,180.0,40,front,distance,2.425,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h180.0,distance_only,624,3.0,3.0,180.0,41,front,distance,1.894,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h180.0,distance_only,624,3.0,3.0,180.0,42,front,distance,1.769,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h180.0,distance_only,624,3.0,3.0,180.0,43,front,distance,2.136,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h0.0,distance_angle,624,2.0,3.0,0.0,49,front,distance,4.449,0.05,1.0,True,1.0,USED_NORMAL,,1.0
