x_m,y_m,room,best_heading_deg,backup_heading_deg,best_status,backup_status,best_score,backup_score,best_front_good_count,best_rear_good_count,best_good_total_count,best_effective_good_count,best_front_weighted_count,best_rear_weighted_count,best_geometry_span_deg,best_front_good_tag_ids,best_rear_good_tag_ids,best_all_good_tag_ids,backup_front_good_tag_ids,backup_rear_good_tag_ids,backup_all_good_tag_ids
0.0,0.0,inner,40.0,70.0,BAD,BAD,8.905922,8.905922,2,0,2,0.8,0.8,0.0,9.059,38 39,,38 39,38 39,,38 39
0.1,0.0,inner,40.0,70.0,BAD,BAD,8.918027,8.918027,2,0,2,0.8,0.8,0.0,9.18,38 39,,38 39,38 39,,38 39
0.2,0.0,inner,40.0,70.0,BAD,BAD,8.929858,8.929858,2,0,2,0.8,0.8,0.0,9.299,38 39,,38 39,38 39,,38 39
0.3,0.0,inner,45.0,75.0,BAD,BAD,8.941382,8.941382,2,0,2,0.8,0.8,0.0,9.414,38 39,,38 39,38 39,,38 39
0.4,0.0,inner,45.0,75.0,BAD,BAD,8.952564,8.952564,2,0,2,0.8,0.8,0.0,9.526,38 39,,38 39,38 39,,38 39
0.5,0.0,inner,45.0,75.0,BAD,BAD,13.810606,13.810606,3,0,3,1.2,1.2,0.0,18.106,37 38 39,,37 38 39,37 38 39,,37 38 39
0.6,0.0,inner,45.0,75.0,BAD,BAD,13.833958,13.833958,3,0,3,1.2,1.2,0.0,18.34,37 38 39,,37 38 39,37 38 39,,37 38 39
0.7,0.0,inner,45.0,75.0,BAD,BAD,13.856737,13.856737,3,0,3,1.2,1.2,0.0,18.567,37 38 39,,37 38 39,37 38 39,,37 38 39
0.8,0.0,inner,50.0,80.0,BAD,BAD,18.883656,18.883656,4,0,4,1.6,1.6,0.0,28.837,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
0.9,0.0,inner,50.0,80.0,BAD,BAD,18.915953,18.915953,4,0,4,1.6,1.6,0.0,29.16,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.0,0.0,inner,50.0,80.0,BAD,BAD,18.947295,18.947295,4,0,4,1.6,1.6,0.0,29.473,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.1,0.0,inner,50.0,80.0,BAD,BAD,18.97759,18.97759,4,0,4,1.6,1.6,0.0,29.776,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.2,0.0,inner,55.0,85.0,BAD,BAD,19.006744,19.006744,4,0,4,1.6,1.6,0.0,30.067,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.3,0.0,inner,55.0,85.0,BAD,BAD,19.034662,19.034662,4,0,4,1.6,1.6,0.0,30.347,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.4,0.0,inner,55.0,85.0,BAD,BAD,19.061251,19.061251,4,0,4,1.6,1.6,0.0,30.613,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.5,0.0,inner,55.0,85.0,BAD,BAD,19.086418,19.086418,4,0,4,1.6,1.6,0.0,30.864,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.6,0.0,inner,90.0,55.0,MARGINAL,BAD,32.026199,19.110072,5,0,5,2.6,2.6,0.0,60.262,36 37 38 39 44,,36 37 38 39 44,36 37 38 39,,36 37 38 39
1.7,0.0,inner,95.0,60.0,MARGINAL,BAD,27.433508,19.132123,4,0,4,2.2,2.2,0.0,54.335,37 38 39 44,,37 38 39 44,36 37 38 39,,36 37 38 39
1.8,0.0,inner,100.0,60.0,MARGINAL,BAD,27.852116,19.152484,4,0,4,2.2,2.2,0.0,58.521,37 38 39 44,,37 38 39 44,36 37 38 39,,36 37 38 39
1.9,0.0,inner,105.0,60.0,MARGINAL,BAD,28.202987,19.171072,4,0,4,2.2,2.2,0.0,62.03,37 38 39 44,,37 38 39 44,36 37 38 39,,36 37 38 39
2.0,0.0,inner,105.0,60.0,MARGINAL,BAD,28.493672,19.187806,4,0,4,2.2,2.2,0.0,64.937,37 38 39 44,,37 38 39 44,36 37 38 39,,36 37 38 39
2.1,0.0,inner,110.0,65.0,BAD,BAD,23.710972,19.202612,3,0,3,1.8,1.8,0.0,57.11,38 39 44,,38 39 44,36 37 38 39,,36 37 38 39
2.2,0.0,inner,90.0,120.0,MARGINAL,BAD,31.584284,18.838089,5,0,5,2.6,2.6,0.0,55.843,36 37 38 39 43,,36 37 38 39 43,39 44,,39 44
2.3,0.0,inner,115.0,145.0,MARGINAL,MARGINAL,34.046947,22.484564,4,0,4,2.8,2.8,0.0,60.469,38 39 43 44,,38 39 43 44,43 44,,43 44
2.4,0.0,inner,120.0,65.0,MARGINAL,MARGINAL,34.164528,23.876769,4,0,4,2.8,2.8,0.0,61.645,38 39 43 44,,38 39 43 44,35 36 37 38 39,,35 36 37 38 39
2.5,0.0,inner,120.0,65.0,MARGINAL,MARGINAL,34.255289,23.902538,4,0,4,2.8,2.8,0.0,62.553,38 39 43 44,,38 39 43 44,35 36 37 38 39,,35 36 37 38 39
2.6,0.0,inner,95.0,125.0,GOOD,MARGINAL,36.764509,29.271336,6,0,6,3.0,3.0,0.0,67.645,35 36 37 38 39 43,,35 36 37 38 39 43,39 43 44,,39 43 44
2.7,0.0,inner,125.0,70.0,MARGINAL,MARGINAL,34.371994,23.947931,4,0,4,2.8,2.8,0.0,63.72,38 39 43 44,,38 39 43 44,35 36 37 38 39,,35 36 37 38 39
2.8,0.0,inner,100.0,130.0,GOOD,MARGINAL,45.254714,29.360519,6,0,6,3.9,3.9,0.0,62.547,36 37 38 39 42 43,,36 37 38 39 42 43,39 43 44,,39 43 44
