tag_id,x_m,y_m,yaw_deg,facing,room
1,9.56,10.3,270.0,down,outer
2,8.54,10.83,270.0,down,outer
3,7.59,10.83,270.0,down,outer
4,6.64,10.83,270.0,down,outer
5,5.6,10.83,270.0,down,outer
6,4.65,10.83,270.0,down,outer
7,3.7,10.83,270.0,down,outer
8,2.7,11.4,270.0,down,outer
9,1.7,10.4,270.0,down,outer
10,2.2,10.89,0.0,right,outer
11,1.2,9.88,0.0,right,outer
12,1.47,8.86,0.0,right,outer
13,1.47,7.84,0.0,right,outer
14,1.47,6.83,0.0,right,outer
15,1.47,5.81,0.0,right,outer
16,1.6,5.3,90.0,up,outer
17,2.45,5.3,90.0,up,outer
18,3.05,5.87,90.0,up,outer
19,4.0,5.87,90.0,up,outer
20,4.95,5.87,90.0,up,outer
21,6.4,5.87,90.0,up,outer
22,7.35,5.87,90.0,up,outer
23,8.3,5.4,90.0,up,outer
24,9.4,5.4,90.0,up,outer
25,9.63,5.81,180.0,left,outer
26,9.63,6.83,180.0,left,outer
27,9.63,7.84,180.0,left,outer
28,9.63,8.86,180.0,left,outer
29,9.63,9.88,180.0,left,outer
30,9.3,10.89,180.0,left,outer
31,9.976,4.003,270.0,down,inner
32,8.37,5.192,270.0,down,inner
33,7.413,5.192,270.0,down,inner
34,6.449,5.192,270.0,down,inner
35,5.492,5.192,270.0,down,inner
36,4.538,4.723,270.0,down,inner
37,3.597,5.192,270.0,down,inner
38,2.634,5.192,270.0,down,inner
39,1.671,5.192,270.0,down,inner
40,1.2,4.703,0.0,right,inner
41,1.2,3.695,0.0,right,inner
42,1.217,2.75,0.0,right,inner
43,1.217,1.737,0.0,right,inner
44,1.217,0.709,0.0,right,inner
45,1.676,0.1,90.0,up,inner
46,2.627,0.1,90.0,up,inner
47,3.577,0.1,90.0,up,inner
48,4.52,0.1,90.0,up,inner
49,5.46,0.1,90.0,up,inner
50,6.407,0.288,90.0,up,inner
51,7.498,0.431,90.0,up,inner
52,8.564,0.288,90.0,up,inner
53,9.651,0.1,90.0,up,inner
54,10.385,0.704,180.0,left,inner
55,10.32,1.734,180.0,left,inner
56,10.32,2.751,180.0,left,inner
57,10.32,3.766,180.0,left,inner
58,9.533,4.69,180.0,left,inner
