x_m,y_m,room,best_heading_deg,backup_heading_deg,best_status,backup_status,best_score,backup_score,best_front_good_count,best_rear_good_count,best_good_total_count,best_effective_good_count,best_front_weighted_count,best_rear_weighted_count,best_geometry_span_deg,best_front_good_tag_ids,best_rear_good_tag_ids,best_all_good_tag_ids,backup_front_good_tag_ids,backup_rear_good_tag_ids,backup_all_good_tag_ids
0.0,0.0,inner,40.0,70.0,BAD,BAD,8.902426,8.902426,2,0,2,0.8,0.8,0.0,9.024,38 39,,38 39,38 39,,38 39
0.1,0.0,inner,40.0,70.0,BAD,BAD,8.914443,8.914443,2,0,2,0.8,0.8,0.0,9.144,38 39,,38 39,38 39,,38 39
0.2,0.0,inner,40.0,70.0,BAD,BAD,8.926186,8.926186,2,0,2,0.8,0.8,0.0,9.262,38 39,,38 39,38 39,,38 39
0.3,0.0,inner,45.0,75.0,BAD,BAD,8.937622,8.937622,2,0,2,0.8,0.8,0.0,9.376,38 39,,38 39,38 39,,38 39
0.4,0.0,inner,45.0,75.0,BAD,BAD,8.948717,8.948717,2,0,2,0.8,0.8,0.0,9.487,38 39,,38 39,38 39,,38 39
0.5,0.0,inner,45.0,75.0,BAD,BAD,13.80397,13.80397,3,0,3,1.2,1.2,0.0,18.04,37 38 39,,37 38 39,37 38 39,,37 38 39
0.6,0.0,inner,45.0,75.0,BAD,BAD,13.827149,13.827149,3,0,3,1.2,1.2,0.0,18.271,37 38 39,,37 38 39,37 38 39,,37 38 39
0.7,0.0,inner,45.0,75.0,BAD,BAD,13.849753,13.849753,3,0,3,1.2,1.2,0.0,18.498,37 38 39,,37 38 39,37 38 39,,37 38 39
0.8,0.0,inner,50.0,80.0,BAD,BAD,18.877643,18.877643,4,0,4,1.6,1.6,0.0,28.776,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
0.9,0.0,inner,50.0,80.0,BAD,BAD,18.909885,18.909885,4,0,4,1.6,1.6,0.0,29.099,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.0,0.0,inner,50.0,80.0,BAD,BAD,18.941179,18.941179,4,0,4,1.6,1.6,0.0,29.412,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.1,0.0,inner,50.0,80.0,BAD,BAD,18.971431,18.971431,4,0,4,1.6,1.6,0.0,29.714,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.2,0.0,inner,55.0,85.0,BAD,BAD,19.000548,19.000548,4,0,4,1.6,1.6,0.0,30.005,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.3,0.0,inner,55.0,85.0,BAD,BAD,19.028438,19.028438,4,0,4,1.6,1.6,0.0,30.284,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.4,0.0,inner,55.0,85.0,BAD,BAD,19.055007,19.055007,4,0,4,1.6,1.6,0.0,30.55,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.5,0.0,inner,55.0,85.0,BAD,BAD,19.080163,19.080163,4,0,4,1.6,1.6,0.0,30.802,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.6,0.0,inner,90.0,55.0,MARGINAL,BAD,31.996558,19.103815,5,0,5,2.6,2.6,0.0,59.966,36 37 38 39 44,,36 37 38 39 44,36 37 38 39,,36 37 38 39
1.7,0.0,inner,95.0,60.0,MARGINAL,BAD,27.403517,19.125874,4,0,4,2.2,2.2,0.0,54.035,37 38 39 44,,37 38 39 44,36 37 38 39,,36 37 38 39
1.8,0.0,inner,100.0,60.0,MARGINAL,BAD,27.824047,19.146255,4,0,4,2.2,2.2,0.0,58.24,37 38 39 44,,37 38 39 44,36 37 38 39,,36 37 38 39
1.9,0.0,inner,105.0,60.0,MARGINAL,BAD,28.176775,19.164873,4,0,4,2.2,2.2,0.0,61.768,37 38 39 44,,37 38 39 44,36 37 38 39,,36 37 38 39
2.0,0.0,inner,105.0,60.0,MARGINAL,BAD,28.469179,19.181651,4,0,4,2.2,2.2,0.0,64.692,37 38 39 44,,37 38 39 44,36 37 38 39,,36 37 38 39
2.1,0.0,inner,110.0,65.0,BAD,BAD,23.692244,19.196512,3,0,3,1.8,1.8,0.0,56.922,38 39 44,,38 39 44,36 37 38 39,,36 37 38 39
2.2,0.0,inner,90.0,120.0,MARGINAL,BAD,31.580464,18.825739,5,0,5,2.6,2.6,0.0,55.805,36 37 38 39 43,,36 37 38 39 43,39 44,,39 44
2.3,0.0,inner,115.0,145.0,MARGINAL,MARGINAL,34.030999,22.470318,4,0,4,2.8,2.8,0.0,60.31,38 39 43 44,,38 39 43 44,43 44,,43 44
2.4,0.0,inner,120.0,65.0,MARGINAL,MARGINAL,34.149748,23.879267,4,0,4,2.8,2.8,0.0,61.497,38 39 43 44,,38 39 43 44,35 36 37 38 39,,35 36 37 38 39
2.5,0.0,inner,120.0,65.0,MARGINAL,MARGINAL,34.241551,23.905043,4,0,4,2.8,2.8,0.0,62.416,38 39 43 44,,38 39 43 44,35 36 37 38 39,,35 36 37 38 39
2.6,0.0,inner,95.0,125.0,GOOD,MARGINAL,36.772701,29.263458,6,0,6,3.0,3.0,0.0,67.727,35 36 37 38 39 43,,35 36 37 38 39 43,39 43 44,,39 43 44
2.7,0.0,inner,125.0,70.0,MARGINAL,MARGINAL,34.360034,23.95047,4,0,4,2.8,2.8,0.0,63.6,38 39 43 44,,38 39 43 44,35 36 37 38 39,,35 36 37 38 39
2.8,0.0,inner,100.0,130.0,GOOD,MARGINAL,42.25629,29.354222,6,0,6,3.6,3.6,0.0,62.563,36 37 38 39 42 43,,36 37 38 39 42 43,39 43 44,,39 43 44
2.9,0.0,inner,100.0,130.0,GOOD,GOOD,45.324513,39.37821,6,0,6,3.9,3.9,0.0,63.245,36 37 38 39 42 43,,36 37 38 39 42 43,39 42 43 44,,39 42 43 44
3.0,0.0,inner,105.0,135.0,GOOD,GOOD,45.381482,39.390718,6,0,6,3.9,3.9,0.0,63.815,36 37 38 39 42 43,,36 37 38 39 42 43,39 42 43 44,,39 42 43 44
3.1,0.0,inner,105.0,135.0,GOOD,GOOD,45.427799,39.393422,6,0,6,3.9,3.9,0.0,64.278,36 37 38 39 42 43,,36 37 38 39 42 43,39 42 43 44,,39 42 43 44
3.2,0.0,inner,105.0,135.0,GOOD,GOOD,45.464069,39.387738,6,0,6,3.9,3.9,0.0,64.641,36 37 38 39 42 43,,36 37 38 39 42 43,39 42 43 44,,39 42 43 44
3.3,0.0,inner,130.0,95.0,GOOD,GOOD,44.381097,39.003464,5,0,5,3.8,3.8,0.0,63.811,38 39 42 43 44,,38 39 42 43 44,35 36 37 38 39 42,,35 36 37 38 39 42
3.4,0.0,inner,110.0,140.0,GOOD,GOOD,52.508842,46.35583,7,0,7,4.6,4.6,0.0,65.088,36 37 38 39 41 42 43,,36 37 38 39 41 42 43,39 41 42 43 44,,39 41 42 43 44
3.5,0.0,inner,110.0,140.0,GOOD,GOOD,52.518493,46.331508,7,0,7,4.6,4.6,0.0,65.185,36 37 38 39 41 42 43,,36 37 38 39 41 42 43,39 41 42 43 44,,39 41 42 43 44
3.6,0.0,inner,110.0,140.0,GOOD,GOOD,52.520386,46.302654,7,0,7,4.6,4.6,0.0,65.204,36 37 38 39 41 42 43,,36 37 38 39 41 42 43,39 41 42 43 44,,39 41 42 43 44
3.7,0.0,inner,130.0,100.0,GOOD,GOOD,51.239668,46.113821,6,0,6,4.5,4.5,0.0,62.397,38 39 41 42 43 44,,38 39 41 42 43 44,35 36 37 38 39 41 42,,35 36 37 38 39 41 42
3.8,0.0,inner,115.0,145.0,GOOD,GOOD,52.502975,46.233867,7,0,7,4.6,4.6,0.0,65.03,36 37 38 39 41 42 43,,36 37 38 39 41 42 43,39 41 42 43 44,,39 41 42 43 44
3.9,0.0,inner,115.0,145.0,GOOD,GOOD,52.484649,46.194988,7,0,7,4.6,4.6,0.0,64.846,36 37 38 39 41 42 43,,36 37 38 39 41 42 43,39 41 42 43 44,,39 41 42 43 44
