x,y,today_heading_deg,today_tags_seen,today_position_error_m,today_heading_error_deg,is_low_tag_point,A_current_heading_deg,A_score,A_status,A_front_count,A_rear_count,A_effective_count,A_geometry_span_deg,A_tag_ids,B_front6_rear3_heading_deg,B_score,B_status,B_front_count,B_rear_count,B_effective_weighted_count,B_geometry_span_deg,B_tag_ids,C_front6_rear3_rear06_heading_deg,C_score,C_status,C_front_count,C_rear_count,C_effective_weighted_count,C_geometry_span_deg,C_tag_ids,diff_A_B_deg,diff_A_C_deg,diff_B_C_deg,large_diff_A_B,large_diff_A_C,large_diff_B_C,priority
5.0,1.0,265.0,2,0.08,9.43,True,265.0,32.9777,MARGINAL,2,1,2.3,199.6,48 49 36,110.0,69.804,GOOD,7,1,4.9,208.0,35 36 37 38 39 40 41 49,110.0,72.804,GOOD,7,1,5.2,208.0,35 36 37 38 39 40 41 49,155.0,155.0,0.0,True,True,False,P1_low_tag_and_heading_diff
2.0,1.0,170.0,3,0.081,9.12,True,170.0,23.1749,MARGINAL,2,0,2.0,63.5,43 44,60.0,54.9669,GOOD,5,1,3.5,199.7,35 36 37 38 39 45,60.0,57.9669,GOOD,5,1,3.8,199.7,35 36 37 38 39 45,110.0,110.0,0.0,True,True,False,P1_low_tag_and_heading_diff
2.0,4.0,245.0,3,0.093,1.61,True,245.0,42.2132,GOOD,3,1,3.3,184.3,42 45 46 38,290.0,65.0213,GOOD,6,1,4.5,200.2,45 46 47 48 49 50 39,290.0,68.0213,GOOD,6,1,4.8,200.2,45 46 47 48 49 50 39,45.0,45.0,0.0,True,True,False,P1_low_tag_and_heading_diff
5.0,4.0,150.0,3,0.372,10.64,True,150.0,43.1324,GOOD,4,0,4.0,62.6,36 37 40 41,245.0,75.9202,GOOD,7,1,5.5,209.2,43 44 45 46 47 48 49 35,245.0,78.9202,GOOD,7,1,5.8,209.2,43 44 45 46 47 48 49 35,95.0,95.0,0.0,True,True,False,P1_low_tag_and_heading_diff
9.0,3.0,315.0,3,0.324,3.35,True,315.0,46.8196,GOOD,3,2,3.6,216.4,53 55 56 33 34,230.0,64.0273,GOOD,5,1,4.4,200.3,48 49 50 51 52 31,230.0,67.0273,GOOD,5,1,4.7,200.3,48 49 50 51 52 31,85.0,85.0,0.0,True,True,False,P1_low_tag_and_heading_diff
8.0,2.0,50.0,7,0.337,2.84,False,50.0,56.3625,GOOD,4,2,4.6,207.2,31 32 56 57 49 50,110.0,71.503,GOOD,6,1,5.1,205.0,32 33 34 35 36 37 52,110.0,74.503,GOOD,6,1,5.4,205.0,32 33 34 35 36 37 52,60.0,60.0,0.0,True,True,False,P3_high_error_and_heading_diff
8.0,3.0,110.0,5,0.084,0.3,False,110.0,56.8387,GOOD,4,2,4.6,216.8,32 33 34 35 52 53,250.0,70.1425,GOOD,5,1,5.0,201.4,48 49 50 51 52 32,250.0,73.1425,GOOD,5,1,5.3,201.4,48 49 50 51 52 32,140.0,140.0,0.0,True,True,False,P4_heading_diff
2.0,3.0,265.0,6,0.093,8.58,False,265.0,57.0044,GOOD,4,2,4.6,220.1,43 45 46 47 38 39,65.0,70.6291,GOOD,5,1,5.0,206.3,35 36 37 38 39 43,265.0,74.0088,GOOD,4,2,5.2,220.1,43 45 46 47 38 39,160.0,0.0,160.0,True,False,True,P4_heading_diff
3.0,2.0,130.0,7,0.119,2.43,False,130.0,66.4338,GOOD,5,2,5.6,208.7,38 39 40 41 42 48 49,65.0,76.1588,GOOD,6,2,5.4,221.6,33 34 35 36 37 38 45 46,65.0,82.1588,GOOD,6,2,6.0,221.6,33 34 35 36 37 38 45 46,65.0,65.0,0.0,True,True,False,P4_heading_diff
4.0,2.0,135.0,7,0.132,5.17,False,135.0,66.5677,GOOD,5,2,5.6,211.4,38 39 40 41 42 49 50,65.0,79.0747,GOOD,6,2,5.7,220.7,32 33 34 35 36 37 46 47,65.0,85.0747,GOOD,6,2,6.3,220.7,32 33 34 35 36 37 46 47,70.0,70.0,0.0,True,True,False,P4_heading_diff
4.0,3.0,250.0,7,0.138,8.72,False,250.0,66.6639,GOOD,5,2,5.6,213.3,44 45 46 47 48 35 36,295.0,77.5539,GOOD,6,2,5.55,220.5,47 48 49 50 51 52 37 38,295.0,82.0539,GOOD,6,2,6.0,220.5,47 48 49 50 51 52 37 38,45.0,45.0,0.0,True,True,False,P4_heading_diff
