sample_index,declared_x_m,declared_y_m,preferred_heading_deg,gt_x_m,gt_y_m,gt_heading_deg,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,heading_error_deg,tags_seen,front_count,rear_count,tags_used,used_tag_count,solver_stage,solver_detail,compact_json,compact_csv,obs_json,latest_obs,actual_minus_preferred_heading_deg,abs_actual_minus_preferred_heading_deg,table_tag_count,table_used_tag_count,table_rejected_tag_count,yaw_accept_count,yaw_keep_accept_count,yaw_flip_accept_count,yaw_reject_edge_count,yaw_weak_small_count,yaw_poor_match_count,all_mean_abs_distance_error_m,all_mean_abs_angle_error_deg,all_mean_abs_yaw_error_deg,all_max_abs_distance_error_m,all_max_abs_angle_error_deg,all_max_abs_yaw_error_deg,used_mean_abs_distance_error_m,used_mean_abs_angle_error_deg,used_mean_abs_yaw_error_deg,used_max_abs_distance_error_m,used_max_abs_angle_error_deg,used_max_abs_yaw_error_deg,rejected_mean_abs_distance_error_m,rejected_mean_abs_angle_error_deg,rejected_mean_abs_yaw_error_deg,rejected_max_abs_distance_error_m,rejected_max_abs_angle_error_deg,rejected_max_abs_yaw_error_deg,low_tag_flag,heading_override_flag,remeasure_priority
1,2.0,1.0,60.0,2.0,1.0,60.0,,,,,,5,4,1,34;37;38;39;45,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y1.00_h60_20260703_180133.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y1.00_h60_20260703_180133.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x2.00_y1.00_h60_20260703_180133.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,5,5,0,2,2,0,2,0,1,0.039,2.02,15.440000000000001,0.047,6.3,31.9,0.039,2.02,15.440000000000001,0.047,6.3,31.9,,,,,,,N,N,OK
2,2.0,4.0,290.0,2.0,4.0,290.0,,,,,,5,4,1,45;46;47;48;39,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y4.00_h290_20260703_180647.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y4.00_h290_20260703_180647.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x2.00_y4.00_h290_20260703_180647.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,5,5,0,4,3,1,0,1,0,0.0436,1.7,5.96,0.063,2.8,17.8,0.0436,1.7,5.96,0.063,2.8,17.8,,,,,,,N,N,OK
3,4.0,3.0,250.0,4.0,3.0,250.0,,,,,,5,4,1,44;45;46;48;35,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y3.00_h250_20260703_181313.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y3.00_h250_20260703_181313.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x4.00_y3.00_h250_20260703_181313.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,5,5,0,2,1,1,3,0,0,0.0512,1.6,39.3,0.078,4.4,80.3,0.0512,1.6,39.3,0.078,4.4,80.3,,,,,,,N,N,OK
4,4.0,4.0,220.0,4.0,4.0,220.0,,,,,,7,5,2,41;42;43;45;46;35;36,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y4.00_h220_20260703_181007.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y4.00_h220_20260703_181007.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x4.00_y4.00_h220_20260703_181007.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,7,7,0,4,3,1,3,0,0,0.031,2.1142857142857143,22.914285714285715,0.074,3.6,73.2,0.031,2.1142857142857143,22.914285714285715,0.074,3.6,73.2,,,,,,,N,N,OK
5,5.0,1.0,115.0,5.0,1.0,115.0,,,,,,9,8,1,35;36;37;38;39;40;41;42;49,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y1.00_h115_20260703_181804.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y1.00_h115_20260703_181804.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x5.00_y1.00_h115_20260703_181804.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,9,9,0,6,4,2,2,1,0,0.08455555555555555,2.3111111111111113,18.11111111111111,0.206,9.8,75.9,0.08455555555555555,2.3111111111111113,18.11111111111111,0.206,9.8,75.9,,,,,,,N,N,OK
6,5.0,2.0,115.0,5.0,2.0,115.0,,,,,,9,7,2,35;36;37;38;39;40;41;49;50,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y2.00_h115_20260703_182057.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y2.00_h115_20260703_182057.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x5.00_y2.00_h115_20260703_182057.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,9,9,0,5,3,2,4,0,0,0.04733333333333333,2.433333333333333,15.533333333333335,0.15,10.2,77.8,0.04733333333333333,2.433333333333333,15.533333333333335,0.15,10.2,77.8,,,,,,,N,N,OK
7,6.0,2.0,65.0,6.0,2.0,65.0,,,,,,6,6,0,32;33;34;35;57;58,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x6.00_y2.00_h65_20260703_182439.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x6.00_y2.00_h65_20260703_182439.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x6.00_y2.00_h65_20260703_182439.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,3,3,0,2,1,0,0.04750000000000001,2.0,15.883333333333333,0.113,5.7,60.0,0.04750000000000001,2.0,15.883333333333333,0.113,5.7,60.0,,,,,,,N,N,OK
8,6.0,4.0,260.0,6.0,4.0,260.0,,,,,,7,6,1,46;47;48;49;50;51;34,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x6.00_y4.00_h260_20260703_183043.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x6.00_y4.00_h260_20260703_183043.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x6.00_y4.00_h260_20260703_183043.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,7,7,0,2,2,0,3,2,0,0.04428571428571428,1.5142857142857142,26.085714285714285,0.153,5.7,88.7,0.04428571428571428,1.5142857142857142,26.085714285714285,0.153,5.7,88.7,,,,,,,N,N,OK
9,7.0,1.0,25.0,7.0,1.0,25.0,,,,,,5,5,0,31;54;55;56;57,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y1.00_h25_20260703_182647.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y1.00_h25_20260703_182647.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x7.00_y1.00_h25_20260703_182647.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,5,5,0,4,3,1,1,0,0,0.0372,0.8400000000000001,18.44,0.053,1.5,51.0,0.0372,0.8400000000000001,18.44,0.053,1.5,51.0,,,,,,,N,N,OK
10,9.0,4.0,245.0,9.0,4.0,245.0,,,,,,6,5,1,48;50;51;52;53;58,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x9.00_y4.00_h245_20260703_183330.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x9.00_y4.00_h245_20260703_183330.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x9.00_y4.00_h245_20260703_183330.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,3,2,1,2,1,0,0.03716666666666667,2.1999999999999997,21.099999999999998,0.059,6.0,69.8,0.03716666666666667,2.1999999999999997,21.099999999999998,0.059,6.0,69.8,,,,,,,N,N,OK
