tag_id,camera_role,obs_count,used_count,rejected_count,reject_rate,mean_abs_distance_error_m,mean_abs_angle_error_deg,mean_abs_yaw_error_deg,used_mean_abs_distance_error_m,used_mean_abs_angle_error_deg,used_mean_abs_yaw_error_deg,yaw_accept_count,yaw_keep_accept_count,yaw_flip_accept_count,yaw_reject_edge_count,yaw_poor_match_count
31,front,1,1,0,0.0,0.018,0.6,2.9,0.018,0.6,2.9,1,1,0,0,0
32,front,1,1,0,0.0,0.062,1.5,2.3,0.062,1.5,2.3,1,1,0,0,0
33,front,1,1,0,0.0,0.035,2.7,4.0,0.035,2.7,4.0,1,1,0,0,0
34,front,2,2,0,0.0,0.0235,0.6000000000000001,4.25,0.0235,0.6000000000000001,4.25,1,1,0,0,0
34,rear,1,1,0,0.0,0.028,0.1,3.2,0.028,0.1,3.2,0,0,0,1,0
35,front,3,3,0,0.0,0.057666666666666665,3.1999999999999997,18.5,0.057666666666666665,3.1999999999999997,18.5,0,0,0,3,0
35,rear,2,2,0,0.0,0.035,1.2000000000000002,35.25,0.035,1.2000000000000002,35.25,1,1,0,1,0
36,front,2,2,0,0.0,0.028,1.1,19.0,0.028,1.1,19.0,1,0,1,0,0
36,rear,1,1,0,0.0,0.034,2.5,8.8,0.034,2.5,8.8,0,0,0,1,0
37,front,3,3,0,0.0,0.045000000000000005,0.9666666666666667,11.766666666666666,0.045000000000000005,0.9666666666666667,11.766666666666666,3,2,1,0,0
38,front,3,3,0,0.0,0.03166666666666667,0.9,10.4,0.03166666666666667,0.9,10.4,2,2,0,0,1
39,front,3,3,0,0.0,0.07100000000000001,2.5,11.566666666666665,0.07100000000000001,2.5,11.566666666666665,2,2,0,1,0
39,rear,1,1,0,0.0,0.045,1.6,0.5,0.045,1.6,0.5,1,1,0,0,0
40,front,2,2,0,0.0,0.178,2.6,40.3,0.178,2.6,40.3,2,1,1,0,0
41,front,3,3,0,0.0,0.06366666666666666,5.0,37.93333333333334,0.06366666666666666,5.0,37.93333333333334,1,0,1,2,0
42,front,2,2,0,0.0,0.08399999999999999,5.8500000000000005,8.0,0.08399999999999999,5.8500000000000005,8.0,1,1,0,1,0
43,front,1,1,0,0.0,0.005,3.3,73.2,0.005,3.3,73.2,1,0,1,0,0
44,front,1,1,0,0.0,0.061,1.8,7.1,0.061,1.8,7.1,0,0,0,1,0
45,front,3,3,0,0.0,0.04699999999999999,0.7333333333333334,30.13333333333333,0.04699999999999999,0.7333333333333334,30.13333333333333,2,1,1,0,0
45,rear,1,1,0,0.0,0.041,1.3,10.8,0.041,1.3,10.8,0,0,0,1,0
46,front,4,4,0,0.0,0.0645,1.95,40.65,0.0645,1.95,40.65,2,1,1,2,0
47,front,2,2,0,0.0,0.0275,2.2,1.4,0.0275,2.2,1.4,2,2,0,0,0
48,front,4,4,0,0.0,0.0285,1.7500000000000002,10.325,0.0285,1.7500000000000002,10.325,3,3,0,1,0
49,front,1,1,0,0.0,0.012,1.1,14.7,0.012,1.1,14.7,0,0,0,0,0
49,rear,2,2,0,0.0,0.034,0.25,3.4,0.034,0.25,3.4,1,1,0,1,0
50,front,2,2,0,0.0,0.032,0.6000000000000001,41.8,0.032,0.6000000000000001,41.8,1,0,1,0,0
50,rear,1,1,0,0.0,0.02,2.1,1.2,0.02,2.1,1.2,0,0,0,1,0
51,front,2,2,0,0.0,0.037,3.85,31.7,0.037,3.85,31.7,1,1,0,1,0
52,front,1,1,0,0.0,0.044,0.6,5.1,0.044,0.6,5.1,0,0,0,0,0
53,front,1,1,0,0.0,0.037,6.0,37.4,0.037,6.0,37.4,0,0,0,1,0
54,front,1,1,0,0.0,0.036,1.5,32.7,0.036,1.5,32.7,0,0,0,1,0
55,front,1,1,0,0.0,0.027,0.1,2.9,0.027,0.1,2.9,1,1,0,0,0
56,front,1,1,0,0.0,0.053,1.4,51.0,0.053,1.4,51.0,1,0,1,0,0
57,front,2,2,0,0.0,0.0825,0.7,31.35,0.0825,0.7,31.35,1,1,0,1,0
58,front,1,1,0,0.0,0.017,0.2,2.3,0.017,0.2,2.3,1,1,0,0,0
58,rear,1,1,0,0.0,0.059,3.1,5.6,0.059,3.1,5.6,0,0,0,1,0
