sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_quant_true_angle_deg,yaw_quant_meas_yaw_deg,yaw_quant_true_yaw_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_best_mode,yaw_best_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_quantized_deg,yaw_decision
1,2.0,1.0,60.0,60.0,34,front,A,6.018,6.06,-0.042,16.9,16.9,0.1,42.4,46.9,-4.5,16.9,42.4,46.9,-4.5,-89.2,keep,-4.5,-84.8,84.8,46.9,accept_keep_quantized
1,2.0,1.0,60.0,60.0,37,front,A,4.401,4.432,-0.031,-10.9,-9.3,-1.7,18.9,20.7,-1.8,-9.3,18.9,20.7,-1.8,-39.6,keep,-1.8,-37.8,37.8,20.7,accept_keep_quantized
1,2.0,1.0,60.0,60.0,38,front,A,4.155,4.189,-0.034,-21.0,-21.7,0.7,-19.8,8.3,-28.2,-21.7,-19.8,8.3,-28.2,11.5,flip,11.5,16.7,16.7,,poor_keep_flip_match
1,2.0,1.0,60.0,60.0,39,front,A,4.113,4.16,-0.047,-28.7,-34.9,6.3,27.0,-4.9,31.9,-34.9,27.0,-4.9,31.9,-22.0,flip,-22.0,9.8,9.8,,reject_edge
1,2.0,1.0,60.0,60.0,45,rear,A,0.841,0.883,-0.041,-12.4,-11.1,-1.3,8.1,18.9,-10.8,-11.1,8.1,18.9,-10.8,-27.0,keep,-10.8,-16.2,16.2,,reject_edge
2,2.0,4.0,290.0,290.0,45,front,A,3.819,3.864,-0.045,24.9,25.1,-0.2,14.9,5.1,9.8,25.1,14.9,5.1,9.8,-20.0,keep,9.8,-10.2,10.2,,weak_small_true_yaw
2,2.0,4.0,290.0,290.0,46,front,A,3.862,3.896,-0.034,9.2,11.0,-1.8,8.9,-9.0,17.8,11.0,8.9,-9.0,17.8,0.1,flip,0.1,17.7,17.7,-9.0,accept_flip_quantized
2,2.0,4.0,290.0,290.0,47,front,A,4.121,4.152,-0.031,-4.8,-2.0,-2.8,-22.4,-22.0,-0.3,-2.0,-22.4,-22.0,-0.3,44.4,keep,-0.3,-44.1,44.1,-22.0,accept_keep_quantized
2,2.0,4.0,290.0,290.0,48,front,A,4.527,4.59,-0.063,-15.1,-13.0,-2.1,-34.4,-33.0,-1.4,-13.0,-34.4,-33.0,-1.4,67.4,keep,-1.4,-66.0,66.0,-33.0,accept_keep_quantized
2,2.0,4.0,290.0,290.0,39,rear,A,1.117,1.162,-0.045,3.3,4.9,-1.6,-15.6,-15.1,-0.5,4.9,-15.6,-15.1,-0.5,30.7,keep,-0.5,-30.3,30.3,-15.1,accept_keep_quantized
3,4.0,3.0,250.0,250.0,44,front,A,3.496,3.557,-0.061,32.8,31.0,1.8,-46.1,-39.0,-7.1,31.0,-46.1,-39.0,-7.1,85.1,keep,-7.1,-78.0,78.0,,reject_edge
3,4.0,3.0,250.0,250.0,45,front,A,3.586,3.664,-0.078,20.1,19.0,1.1,-41.3,39.0,-80.3,19.0,-41.3,39.0,-80.3,2.4,flip,2.4,78.0,78.0,39.0,accept_flip_quantized
3,4.0,3.0,250.0,250.0,46,front,A,3.12,3.154,-0.034,4.9,5.4,-0.5,21.5,25.4,-3.9,5.4,21.5,25.4,-3.9,-47.0,keep,-3.9,-43.1,43.1,25.4,accept_keep_quantized
3,4.0,3.0,250.0,250.0,48,front,A,2.886,2.899,-0.013,-26.3,-30.7,4.4,24.2,-10.7,34.9,-30.7,24.2,-10.7,34.9,-13.4,flip,-13.4,21.4,21.4,,reject_edge
3,4.0,3.0,250.0,250.0,35,rear,A,2.649,2.579,0.07,14.8,14.7,0.2,-35.6,34.7,-70.3,14.7,-35.6,34.7,-70.3,1.0,flip,1.0,69.3,69.3,,reject_edge
4,4.0,4.0,220.0,220.0,41,front,A,2.722,2.771,-0.049,34.0,34.4,-0.4,-28.3,-5.6,-22.7,34.4,-28.3,-5.6,-22.7,33.8,keep,-22.7,-11.2,11.2,,reject_edge
4,4.0,4.0,220.0,220.0,42,front,A,3.072,2.998,0.074,14.2,16.1,-1.9,-26.9,-23.9,-3.0,16.1,-26.9,-23.9,-3.0,50.8,keep,-3.0,-47.8,47.8,-23.9,accept_keep_quantized
4,4.0,4.0,220.0,220.0,43,front,A,3.537,3.532,0.005,-2.4,0.9,-3.3,34.1,-39.1,73.2,0.9,34.1,-39.1,73.2,5.0,flip,5.0,68.2,68.2,-39.1,accept_flip_quantized
4,4.0,4.0,220.0,220.0,45,front,A,4.47,4.488,-0.018,-20.3,-19.4,-0.9,30.3,30.6,-0.3,-19.4,30.3,30.6,-0.3,-60.8,keep,-0.3,-60.5,60.5,30.6,accept_keep_quantized
4,4.0,4.0,220.0,220.0,46,front,A,4.051,4.087,-0.037,-27.4,-31.0,3.6,-33.2,19.0,-52.2,-31.0,-33.2,19.0,-52.2,14.2,flip,14.2,38.0,38.0,,reject_edge
4,4.0,4.0,220.0,220.0,35,rear,A,1.834,1.835,-0.0,-0.7,1.4,-2.2,51.2,51.4,-0.2,1.4,51.2,51.4,-0.2,-102.6,keep,-0.2,-102.4,102.4,51.4,accept_keep_quantized
4,4.0,4.0,220.0,220.0,36,rear,A,0.795,0.828,-0.034,-17.0,-14.5,-2.5,26.6,35.5,-8.8,-14.5,26.6,35.5,-8.8,-62.1,keep,-8.8,-53.2,53.2,,reject_edge
5,5.0,1.0,115.0,115.0,35,front,A,4.094,4.174,-0.08,34.4,32.1,2.3,23.3,7.1,16.2,32.1,23.3,7.1,16.2,-30.4,keep,16.2,-14.2,14.2,,reject_edge
5,5.0,1.0,115.0,115.0,36,front,A,3.675,3.699,-0.024,19.8,18.2,1.6,10.2,-6.8,17.0,18.2,10.2,-6.8,17.0,-3.4,flip,-3.4,13.6,13.6,,weak_small_true_yaw
5,5.0,1.0,115.0,115.0,37,front,A,4.295,4.366,-0.071,6.6,6.6,0.0,14.9,-18.4,33.3,6.6,14.9,-18.4,33.3,3.5,flip,3.5,29.8,29.8,-18.4,accept_flip_quantized
5,5.0,1.0,115.0,115.0,38,front,A,4.708,4.759,-0.051,-5.3,-4.5,-0.9,-27.9,-29.5,1.6,-4.5,-27.9,-29.5,1.6,57.4,keep,1.6,-55.8,55.8,-29.5,accept_keep_quantized
5,5.0,1.0,115.0,115.0,39,front,A,5.167,5.3,-0.132,-13.9,-13.6,-0.3,-40.9,-38.6,-2.4,-13.6,-40.9,-38.6,-2.4,79.5,keep,-2.4,-77.2,77.2,-38.6,accept_keep_quantized
5,5.0,1.0,115.0,115.0,40,front,A,5.048,5.254,-0.206,-19.8,-21.0,1.2,41.2,44.0,-2.8,-21.0,41.2,44.0,-2.8,-85.3,keep,-2.8,-82.4,82.4,44.0,accept_keep_quantized
5,5.0,1.0,115.0,115.0,41,front,A,4.547,4.611,-0.064,-25.6,-30.0,4.4,-40.9,35.0,-75.9,-30.0,-40.9,35.0,-75.9,5.9,flip,5.9,70.0,70.0,35.0,accept_flip_quantized
5,5.0,1.0,115.0,115.0,42,front,A,4.033,4.126,-0.094,-30.8,-40.7,9.8,37.3,24.3,13.0,-40.7,37.3,24.3,13.0,-61.7,keep,13.0,-48.7,48.7,,reject_edge
5,5.0,1.0,115.0,115.0,49,rear,A,0.897,0.936,-0.039,-2.5,-2.2,-0.3,-28.0,-27.2,-0.8,-2.2,-28.0,-27.2,-0.8,55.3,keep,-0.8,-54.5,54.5,-27.2,accept_keep_quantized
