tag_id,camera_role,obs_count,used_count,rejected_count,reject_rate,mean_abs_distance_error_m,mean_abs_angle_error_deg,mean_abs_yaw_error_deg,used_mean_abs_distance_error_m,used_mean_abs_angle_error_deg,used_mean_abs_yaw_error_deg
31,front,6,6,0,0.0,0.09749999999999999,3.9,3.733333333333333,0.09749999999999999,3.9,3.733333333333333
32,front,5,5,0,0.0,0.0466,2.48,9.559999999999999,0.0466,2.48,9.559999999999999
32,rear,1,1,0,0.0,0.046,4.8,1.7,0.046,4.8,1.7
33,front,5,5,0,0.0,0.0706,1.6400000000000001,7.140000000000001,0.0706,1.6400000000000001,7.140000000000001
33,rear,1,1,0,0.0,0.055,4.4,1.6,0.055,4.4,1.6
34,front,4,4,0,0.0,0.07825,3.275,8.1,0.07825,3.275,8.1
34,rear,1,1,0,0.0,0.048,3.3,1.6,0.048,3.3,1.6
35,front,3,3,0,0.0,0.07133333333333333,2.6,1.3666666666666665,0.07133333333333333,2.6,1.3666666666666665
35,rear,3,3,0,0.0,0.05333333333333334,6.533333333333334,9.566666666666666,0.05333333333333334,6.533333333333334,9.566666666666666
36,front,4,4,0,0.0,0.052000000000000005,1.125,7.3999999999999995,0.052000000000000005,1.125,7.3999999999999995
36,rear,3,3,0,0.0,0.018,7.333333333333333,5.2,0.018,7.333333333333333,5.2
37,front,2,2,0,0.0,0.07450000000000001,1.9,16.0,0.07450000000000001,1.9,16.0
37,rear,1,1,0,0.0,0.022,8.2,17.7,0.022,8.2,17.7
38,front,4,4,0,0.0,0.0865,2.95,11.425,0.0865,2.95,11.425
38,rear,2,2,0,0.0,0.0215,7.25,13.2,0.0215,7.25,13.2
39,front,4,4,0,0.0,0.07775,1.575,10.85,0.07775,1.575,10.85
39,rear,1,1,0,0.0,0.025,7.1,6.7,0.025,7.1,6.7
40,front,3,3,0,0.0,0.11066666666666668,0.8333333333333334,4.766666666666667,0.11066666666666668,0.8333333333333334,4.766666666666667
41,front,4,4,0,0.0,0.10350000000000001,3.0749999999999997,9.4,0.10350000000000001,3.0749999999999997,9.4
42,front,6,6,0,0.0,0.06016666666666667,2.3000000000000003,6.183333333333334,0.06016666666666667,2.3000000000000003,6.183333333333334
43,front,4,4,0,0.0,0.02825,2.075,1.1,0.02825,2.075,1.1
44,front,5,4,1,0.2,0.0546,3.12,27.74,0.064,3.725,11.35
44,rear,1,1,0,0.0,0.041,4.7,3.5,0.041,4.7,3.5
45,front,6,5,1,0.16666666666666666,0.04016666666666666,1.7833333333333332,15.483333333333334,0.028999999999999998,2.06,5.96
45,rear,1,1,0,0.0,0.038,3.2,11.8,0.038,3.2,11.8
46,front,7,7,0,0.0,0.061142857142857145,1.9571428571428573,8.514285714285714,0.061142857142857145,1.9571428571428573,8.514285714285714
47,front,7,6,1,0.14285714285714285,0.05742857142857143,3.142857142857143,26.085714285714285,0.06283333333333334,3.5,17.2
47,rear,1,1,0,0.0,0.021,3.0,2.0,0.021,3.0,2.0
48,front,5,5,0,0.0,0.0536,3.6,7.7,0.0536,3.6,7.7
48,rear,1,1,0,0.0,0.04,3.3,4.9,0.04,3.3,4.9
49,front,5,5,0,0.0,0.0258,4.86,15.52,0.0258,4.86,15.52
49,rear,5,5,0,0.0,0.0412,5.0,2.28,0.0412,5.0,2.28
50,front,3,3,0,0.0,0.065,1.9666666666666666,8.233333333333333,0.065,1.9666666666666666,8.233333333333333
50,rear,2,2,0,0.0,0.039,2.7,8.25,0.039,2.7,8.25
51,front,5,5,0,0.0,0.0668,1.08,12.74,0.0668,1.08,12.74
51,rear,2,2,0,0.0,0.0565,0.6,16.1,0.0565,0.6,16.1
52,front,4,4,0,0.0,0.035250000000000004,2.0,2.2,0.035250000000000004,2.0,2.2
52,rear,3,3,0,0.0,0.03133333333333333,4.066666666666666,8.866666666666665,0.03133333333333333,4.066666666666666,8.866666666666665
53,front,5,4,1,0.2,0.0252,2.02,21.44,0.0195,1.875,6.825
53,rear,1,1,0,0.0,0.04,4.7,17.7,0.04,4.7,17.7
54,front,3,3,0,0.0,0.18000000000000002,2.466666666666667,11.033333333333333,0.18000000000000002,2.466666666666667,11.033333333333333
55,front,8,8,0,0.0,0.160125,2.65,4.95,0.160125,2.65,4.95
56,front,8,8,0,0.0,0.160625,3.7125,10.1125,0.160625,3.7125,10.1125
57,front,5,4,1,0.2,0.1492,2.8600000000000003,22.16,0.14825,3.425,3.175
58,front,2,2,0,0.0,0.161,2.65,10.9,0.161,2.65,10.9
