sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg
1,2.0,1.0,170.0,170.0,43,front,Y,1.02,1.023,-0.003,33.3,34.8,-1.4,42.8,44.8,-2.0
1,2.0,1.0,170.0,170.0,44,front,Y,0.8,0.785,0.015,-28.5,-32.4,3.9,-36.5,-22.4,-14.1
1,2.0,1.0,170.0,170.0,47,rear,Y,1.751,1.731,0.021,23.8,20.8,3.0,-61.2,-59.2,-2.0
2,2.0,2.0,70.0,70.0,36,front,Y,3.706,3.686,0.021,23.0,23.2,-0.1,39.8,43.2,-3.3
2,2.0,2.0,70.0,70.0,38,front,Y,3.147,3.207,-0.06,-11.3,-9.0,-2.3,9.8,11.0,-1.2
2,2.0,2.0,70.0,70.0,39,front,Y,3.099,3.168,-0.069,-24.4,-26.3,1.9,18.9,-6.3,25.2
2,2.0,2.0,70.0,70.0,44,rear,Y,1.393,1.434,-0.041,16.4,11.7,4.7,-61.7,-58.3,-3.5
2,2.0,2.0,70.0,70.0,45,rear,Y,1.817,1.855,-0.038,-7.3,-10.6,3.2,-2.3,9.4,-11.8
3,2.0,3.0,265.0,265.0,43,front,Y,1.458,1.441,0.016,30.6,27.5,3.0,-59.4,-57.5,-1.9
3,2.0,3.0,265.0,265.0,45,front,Y,2.856,2.864,-0.007,2.2,1.5,0.7,2.3,6.5,-4.2
3,2.0,3.0,265.0,265.0,46,front,Y,2.845,2.913,-0.068,-16.0,-17.4,1.4,-17.6,-12.4,-5.3
3,2.0,3.0,265.0,265.0,47,front,Y,3.209,3.247,-0.038,-27.0,-33.8,6.8,-37.9,-28.8,-9.1
3,2.0,3.0,265.0,265.0,38,rear,Y,2.215,2.215,-0.0,19.4,11.3,8.0,-2.3,16.3,-18.7
3,2.0,3.0,265.0,265.0,39,rear,Y,2.126,2.152,-0.025,-6.9,-14.0,7.1,-2.3,-9.0,6.7
4,2.0,4.0,245.0,245.0,42,front,Y,1.458,1.419,0.039,8.0,7.2,0.8,-58.3,-57.8,-0.5
4,2.0,4.0,245.0,245.0,45,front,Y,3.836,3.862,-0.026,-18.2,-20.4,2.2,-13.3,4.6,-17.8
4,2.0,4.0,245.0,245.0,46,front,Y,3.864,3.904,-0.04,-27.1,-34.5,7.4,23.5,-9.5,33.0
5,3.0,2.0,130.0,130.0,38,front,Y,3.114,3.176,-0.062,34.9,34.0,1.0,23.2,-6.0,29.3
5,3.0,2.0,130.0,130.0,39,front,Y,3.358,3.413,-0.055,17.7,17.7,-0.0,-23.9,-22.3,-1.6
5,3.0,2.0,130.0,130.0,40,front,Y,3.105,3.19,-0.086,5.0,6.4,-1.4,50.9,56.4,-5.5
5,3.0,2.0,130.0,130.0,41,front,Y,2.329,2.421,-0.093,-8.8,-6.8,-2.0,38.6,43.2,-4.6
5,3.0,2.0,130.0,130.0,42,front,Y,1.8,1.883,-0.083,-25.4,-27.9,2.5,27.1,22.1,5.0
5,3.0,2.0,130.0,130.0,48,rear,Y,2.392,2.352,0.04,4.9,1.6,3.3,-43.3,-38.4,-4.9
5,3.0,2.0,130.0,130.0,49,rear,Y,3.14,3.027,0.113,-9.8,-12.5,2.7,-55.3,-52.5,-2.8
6,3.0,3.0,265.0,265.0,44,front,Y,2.82,2.854,-0.034,36.0,33.5,2.5,-56.1,-51.5,-4.6
6,3.0,3.0,265.0,265.0,45,front,Y,3.123,3.139,-0.016,22.2,20.0,2.3,25.4,25.0,0.4
6,3.0,3.0,265.0,265.0,46,front,Y,2.878,2.87,0.008,2.9,2.5,0.4,2.5,7.5,-5.1
6,3.0,3.0,265.0,265.0,47,front,Y,3.005,2.901,0.104,-15.3,-16.2,0.9,10.3,-11.2,21.5
6,3.0,3.0,265.0,265.0,48,front,Y,3.174,3.223,-0.049,-26.7,-33.0,6.4,-37.2,-28.0,-9.1
6,3.0,3.0,265.0,265.0,49,front,Y,3.727,3.758,-0.03,-32.2,-45.8,13.6,-51.6,-40.8,-10.9
6,3.0,3.0,265.0,265.0,37,rear,Y,2.182,2.204,-0.022,18.5,10.4,8.2,-2.3,15.4,-17.7
6,3.0,3.0,265.0,265.0,38,rear,Y,2.115,2.158,-0.043,-8.5,-15.0,6.5,-2.3,-10.0,7.7
7,3.0,4.0,245.0,245.0,42,front,Y,2.174,2.128,0.046,29.6,30.7,-1.0,-41.4,-34.3,-7.1
7,3.0,4.0,245.0,245.0,43,front,Y,2.894,2.831,0.063,11.3,13.4,-2.0,-51.2,-51.6,0.4
7,3.0,4.0,245.0,245.0,45,front,Y,4.091,4.066,0.025,-9.3,-6.3,-3.0,14.4,18.7,-4.4
7,3.0,4.0,245.0,245.0,46,front,Y,3.821,3.867,-0.045,-20.3,-19.7,-0.6,12.6,5.3,7.3
7,3.0,4.0,245.0,245.0,47,front,Y,3.845,3.894,-0.05,-28.5,-33.6,5.1,27.4,-8.6,36.0
8,4.0,1.0,155.0,155.0,39,front,Y,4.634,4.759,-0.125,39.3,36.4,2.9,-43.5,-28.6,-14.9
8,4.0,1.0,155.0,155.0,41,front,Y,3.77,3.838,-0.068,22.3,19.2,3.1,40.4,44.2,-3.8
8,4.0,1.0,155.0,155.0,42,front,Y,3.171,3.23,-0.059,8.8,7.3,1.4,26.4,32.3,-5.9
8,4.0,1.0,155.0,155.0,44,front,Y,2.646,2.748,-0.102,-25.9,-31.5,5.7,-26.4,-6.5,-19.9
8,4.0,1.0,155.0,155.0,49,rear,Y,1.645,1.632,0.013,13.9,7.1,6.8,-61.2,-57.9,-3.3
9,4.0,2.0,135.0,135.0,37,front,Y,3.114,3.183,-0.069,41.2,38.3,2.9,-36.6,-6.7,-29.9
9,4.0,2.0,135.0,135.0,38,front,Y,3.334,3.43,-0.096,25.4,22.2,3.2,-30.8,-22.8,-8.0
9,4.0,2.0,135.0,135.0,39,front,Y,3.842,3.904,-0.062,10.6,9.1,1.5,-34.2,-35.9,1.7
9,4.0,2.0,135.0,135.0,40,front,Y,3.705,3.835,-0.13,-0.7,-1.1,0.4,39.4,43.9,-4.5
9,4.0,2.0,135.0,135.0,41,front,Y,3.108,3.222,-0.114,-13.4,-14.0,0.6,27.3,31.0,-3.7
9,4.0,2.0,135.0,135.0,42,front,Y,2.729,2.832,-0.103,-25.6,-30.5,4.9,23.6,14.5,9.1
9,4.0,2.0,135.0,135.0,49,rear,Y,2.383,2.316,0.067,14.6,7.9,6.7,-38.5,-37.1,-1.4
10,4.0,3.0,250.0,250.0,44,front,Y,3.449,3.554,-0.105,33.7,31.0,2.8,-45.9,-39.0,-6.8
10,4.0,3.0,250.0,250.0,45,front,Y,3.597,3.668,-0.071,21.2,19.1,2.1,36.1,39.1,-3.0
10,4.0,3.0,250.0,250.0,46,front,Y,3.098,3.157,-0.059,6.0,5.5,0.4,21.4,25.5,-4.2
10,4.0,3.0,250.0,250.0,47,front,Y,2.829,2.879,-0.05,-11.8,-11.6,-0.2,5.8,8.4,-2.6
10,4.0,3.0,250.0,250.0,48,front,Y,2.815,2.897,-0.082,-25.8,-30.5,4.7,-27.0,-10.5,-16.5
10,4.0,3.0,250.0,250.0,35,rear,Y,2.673,2.59,0.083,21.5,14.7,6.9,27.1,34.7,-7.6
10,4.0,3.0,250.0,250.0,36,rear,Y,1.736,1.747,-0.011,4.8,-2.9,7.7,15.0,17.1,-2.1
11,4.0,4.0,230.0,230.0,42,front,Y,2.967,2.999,-0.031,29.5,26.2,3.2,-33.3,-23.8,-9.5
11,4.0,4.0,230.0,230.0,43,front,Y,3.504,3.535,-0.031,12.8,10.9,1.9,-39.0,-39.1,0.1
11,4.0,4.0,230.0,230.0,44,front,N,4.235,4.252,-0.017,0.9,0.2,0.7,43.5,-49.8,93.3
11,4.0,4.0,230.0,230.0,45,front,N,4.393,4.489,-0.096,-8.9,-9.3,0.4,-32.3,30.7,-63.1
11,4.0,4.0,230.0,230.0,46,front,Y,3.994,4.085,-0.091,-18.8,-20.8,2.0,17.7,19.2,-1.5
11,4.0,4.0,230.0,230.0,47,front,Y,3.789,3.879,-0.09,-27.2,-34.0,6.8,-25.9,6.0,-31.9
11,4.0,4.0,230.0,230.0,36,rear,Y,0.804,0.841,-0.037,5.1,-4.2,9.4,35.5,35.8,-0.2
12,5.0,1.0,265.0,265.0,48,front,Y,0.969,0.975,-0.005,28.2,24.9,3.4,29.4,29.9,-0.4
12,5.0,1.0,265.0,265.0,49,front,Y,0.96,0.96,0.0,-26.6,-33.3,6.7,-36.1,-28.3,-7.8
13,5.0,2.0,95.0,95.0,33,front,Y,3.895,3.965,-0.07,43.3,42.5,0.8,48.6,37.5,11.1
13,5.0,2.0,95.0,95.0,34,front,Y,3.404,3.465,-0.061,32.2,29.8,2.3,30.8,24.8,6.0
13,5.0,2.0,95.0,95.0,35,front,Y,3.138,3.185,-0.047,15.2,14.1,1.1,9.5,9.1,0.4
13,5.0,2.0,95.0,95.0,36,front,Y,2.666,2.724,-0.058,-5.1,-4.6,-0.5,4.0,-9.6,13.7
13,5.0,2.0,95.0,95.0,37,front,Y,3.365,3.445,-0.08,-18.2,-19.1,0.9,-26.2,-24.1,-2.1
13,5.0,2.0,95.0,95.0,38,front,Y,3.807,3.935,-0.128,-26.6,-31.9,5.3,-44.1,-36.9,-7.2
13,5.0,2.0,95.0,95.0,49,rear,Y,1.876,1.878,-0.002,-3.5,-8.7,5.1,-13.0,-13.7,0.6
14,5.0,3.0,265.0,265.0,46,front,Y,3.59,3.706,-0.117,36.4,34.9,1.5,43.1,39.9,3.2
14,5.0,3.0,265.0,265.0,47,front,Y,3.142,3.187,-0.045,23.0,21.8,1.2,24.7,26.8,-2.1
14,5.0,3.0,265.0,265.0,48,front,Y,2.807,2.886,-0.08,3.6,4.7,-1.1,3.5,9.7,-6.1
14,5.0,3.0,265.0,265.0,49,front,Y,2.814,2.881,-0.067,-14.9,-14.1,-0.8,10.7,-9.1,19.7
14,5.0,3.0,265.0,265.0,50,front,Y,2.933,3.004,-0.071,-27.6,-32.9,5.3,-38.0,-27.9,-10.1
14,5.0,3.0,265.0,265.0,35,rear,Y,2.21,2.182,0.028,14.3,8.1,6.2,-7.7,13.1,-20.8
