sample_index,declared_x_m,declared_y_m,preferred_heading_deg,gt_x_m,gt_y_m,gt_heading_deg,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,heading_error_deg,tags_seen,front_count,rear_count,tags_used,used_tag_count,solver_stage,solver_detail,compact_json,compact_csv,obs_json,latest_obs,actual_minus_preferred_heading_deg,abs_actual_minus_preferred_heading_deg,table_tag_count,table_used_tag_count,table_rejected_tag_count,yaw_accept_count,yaw_keep_accept_count,yaw_flip_accept_count,yaw_reject_edge_count,yaw_weak_small_count,yaw_poor_match_count,all_mean_abs_distance_error_m,all_mean_abs_angle_error_deg,all_mean_abs_yaw_error_deg,all_max_abs_distance_error_m,all_max_abs_angle_error_deg,all_max_abs_yaw_error_deg,used_mean_abs_distance_error_m,used_mean_abs_angle_error_deg,used_mean_abs_yaw_error_deg,used_max_abs_distance_error_m,used_max_abs_angle_error_deg,used_max_abs_yaw_error_deg,rejected_mean_abs_distance_error_m,rejected_mean_abs_angle_error_deg,rejected_mean_abs_yaw_error_deg,rejected_max_abs_distance_error_m,rejected_max_abs_angle_error_deg,rejected_max_abs_yaw_error_deg,low_tag_flag,heading_override_flag,remeasure_priority
1,9.0,1.0,45.0,9.0,1.0,45.0,,,,,,4,3,1,31;55;56;52,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x9.00_y1.00_h45_20260701_141623.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x9.00_y1.00_h45_20260701_141623.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x9.00_y1.00_h45_20260701_141623.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,4,4,0,3,3,0,1,0,0,0.04625,2.65,6.95,0.075,5.2,16.1,0.04625,2.65,6.95,0.075,5.2,16.1,,,,,,,N,N,OK
2,9.0,2.0,85.0,9.0,2.0,85.0,,,,,,5,4,1,31;32;33;57;52,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x9.00_y2.00_h85_20260701_142929.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x9.00_y2.00_h85_20260701_142929.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x9.00_y2.00_h85_20260701_142929.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,5,5,0,2,2,0,3,0,0,0.0576,1.92,4.9799999999999995,0.107,3.9,10.5,0.0576,1.92,4.9799999999999995,0.107,3.9,10.5,,,,,,,N,N,OK
3,9.0,3.0,295.0,9.0,3.0,295.0,,,,,,5,3,2,52;53;55;32;33,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x9.00_y3.00_h295_20260701_143242.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x9.00_y3.00_h295_20260701_143242.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x9.00_y3.00_h295_20260701_143242.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,5,5,0,3,3,0,2,0,0,0.0508,2.84,3.8599999999999994,0.079,4.2,12.7,0.0508,2.84,3.8599999999999994,0.079,4.2,12.7,,,,,,,N,N,OK
4,9.0,4.0,245.0,9.0,4.0,245.0,,,,,,4,3,1,50;51;53;58,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x9.00_y4.00_h245_20260701_143755.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x9.00_y4.00_h245_20260701_143755.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x9.00_y4.00_h245_20260701_143755.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,4,4,0,2,1,1,2,0,0,0.07175000000000001,3.35,30.25,0.097,5.5,70.3,0.07175000000000001,3.35,30.25,0.097,5.5,70.3,,,,,,,N,N,OK
5,8.0,4.0,310.0,8.0,4.0,310.0,,,,,,6,4,2,52;53;55;56;33;34,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x8.00_y4.00_h310_20260701_144004.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x8.00_y4.00_h310_20260701_144004.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x8.00_y4.00_h310_20260701_144004.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,3,2,1,3,0,0,0.03766666666666667,2.85,11.733333333333334,0.061,4.4,43.5,0.03766666666666667,2.85,11.733333333333334,0.061,4.4,43.5,,,,,,,N,N,OK
6,7.0,4.0,295.0,7.0,4.0,295.0,,,,,,6,5,1,49;50;51;53;55;34,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y4.00_h295_20260701_144240.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y4.00_h295_20260701_144240.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x7.00_y4.00_h295_20260701_144240.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,2,2,0,3,1,0,0.06216666666666667,3.533333333333333,15.549999999999999,0.16,4.4,68.1,0.06216666666666667,3.533333333333333,15.549999999999999,0.16,4.4,68.1,,,,,,,N,N,OK
7,6.0,4.0,260.0,6.0,4.0,260.0,,,,,,8,7,1,45;46;47;48;49;50;51;34,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x6.00_y4.00_h260_20260701_144630.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x6.00_y4.00_h260_20260701_144630.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x6.00_y4.00_h260_20260701_144630.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,8,8,0,2,2,0,4,2,0,0.093875,1.3625,16.7875,0.244,5.1,89.0,0.093875,1.3625,16.7875,0.244,5.1,89.0,,,,,,,N,N,OK
8,5.0,4.0,245.0,5.0,4.0,245.0,,,,,,8,7,1,42;43;44;46;47;48;49;35,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y4.00_h245_20260701_144906.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y4.00_h245_20260701_144906.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x5.00_y4.00_h245_20260701_144906.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,8,8,0,4,4,0,3,1,0,0.058,3.0375,10.15,0.092,4.4,26.8,0.058,3.0375,10.15,0.092,4.4,26.8,,,,,,,N,N,OK
9,5.0,3.0,245.0,5.0,3.0,245.0,,,,,,8,6,2,44;45;46;47;48;49;34;35,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y3.00_h245_20260701_145226.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y3.00_h245_20260701_145226.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x5.00_y3.00_h245_20260701_145226.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,8,8,0,5,4,1,3,0,0,0.047875,1.5125,21.8125,0.094,5.8,100.8,0.047875,1.5125,21.8125,0.094,5.8,100.8,,,,,,,N,N,OK
10,5.0,2.0,115.0,5.0,2.0,115.0,,,,,,9,7,2,35;36;37;38;39;40;41;49;50,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y2.00_h115_20260701_145502.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y2.00_h115_20260701_145502.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x5.00_y2.00_h115_20260701_145502.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,9,9,0,5,3,2,4,0,0,0.051333333333333335,4.511111111111111,25.966666666666665,0.095,11.4,89.8,0.051333333333333335,4.511111111111111,25.966666666666665,0.095,11.4,89.8,,,,,,,N,N,OK
