sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_quant_true_angle_deg,yaw_quant_meas_yaw_deg,yaw_quant_true_yaw_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_best_mode,yaw_best_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_quantized_deg,yaw_decision,,dd
25,7,2,60,60,34,front,A,3.099,3.197,-0.098,-31.7,-40.4,8.7,-37.8,-10.4,-27.4,-40.4,-37.8,-10.4,-27.4,48.3,keep,-27.4,-20.8,20.8,,reject_edge,,27.4
8,5,4,245,245,42,front,A,3.892,3.947,-0.055,43.7,47.3,-3.6,-44.5,-17.7,-26.8,47.3,-44.5,-17.7,-26.8,62.2,keep,-26.8,-35.4,35.4,,reject_edge,,26.8
19,2,1,60,60,39,front,A,4.015,4.16,-0.145,-29.2,-34.9,5.7,-31.6,-4.9,-26.7,-34.9,-31.6,-4.9,-26.7,36.5,keep,-26.7,-9.8,9.8,,reject_edge,,26.7
15,4,4,220,220,41,front,A,2.76,2.771,-0.011,36.4,34.4,2,-30.2,-5.6,-24.7,34.4,-30.2,-5.6,-24.7,35.8,keep,-24.7,-11.2,11.2,,reject_edge,,24.7
11,5,1,115,115,35,front,A,4.113,4.174,-0.061,36.4,32.1,4.3,-31.4,7.1,-38.5,32.1,-31.4,7.1,-38.5,24.3,flip,24.3,14.2,14.2,,reject_edge,,24.3
6,7,4,295,295,49,front,A,4.179,4.155,0.024,43.3,47.1,-3.8,-46,22.1,-68.1,47.1,-46,22.1,-68.1,23.9,flip,23.9,44.2,44.2,,reject_edge,,23.9
8,5,4,245,245,49,front,A,3.828,3.88,-0.052,-28.6,-32.2,3.5,-30.3,-7.2,-23.2,-32.2,-30.3,-7.2,-23.2,37.5,keep,-23.2,-14.3,14.3,,reject_edge,,23.2
23,6,2,65,65,35,front,A,3.109,3.187,-0.078,-30.3,-34.6,4.3,31.3,-9.6,40.9,-34.6,31.3,-9.6,40.9,-21.7,flip,-21.7,19.2,19.2,,reject_edge,,21.7
18,3,2,65,65,38,front,A,3.029,3.166,-0.137,-28.7,-32.1,3.4,28.3,-7.1,35.4,-32.1,28.3,-7.1,35.4,-21.3,flip,-21.3,14.1,14.1,,reject_edge,,21.3
27,8,3,250,250,52,front,A,2.649,2.724,-0.075,-29.4,-32.1,2.8,-33,-12.1,-20.9,-32.1,-33,-12.1,-20.9,45.1,keep,-20.9,-24.2,24.2,,reject_edge,,20.9
24,7,1,25,25,54,front,A,3.319,3.35,-0.032,31.9,30.5,1.4,-26.4,5.5,-31.9,30.5,-26.4,5.5,-31.9,20.9,flip,20.9,10.9,10.9,,reject_edge,,20.9
10,5,2,115,115,35,front,A,3.128,3.184,-0.056,38.6,34.3,4.3,28.9,9.3,19.6,34.3,28.9,9.3,19.6,-38.2,keep,19.6,-18.6,18.6,,reject_edge,,19.6
12,4,1,115,115,36,front,A,3.685,3.716,-0.031,37.8,33.7,4.1,28,8.7,19.3,33.7,28,8.7,19.3,-36.6,keep,19.3,-17.4,17.4,,reject_edge,,19.3
4,9,4,245,245,53,front,A,3.828,3.909,-0.081,-29.5,-34.9,5.5,28.8,-9.9,38.7,-34.9,28.8,-9.9,38.7,-18.8,flip,-18.8,19.9,19.9,,reject_edge,,18.8
9,5,3,245,245,49,front,A,2.838,2.891,-0.053,-28.8,-34.6,5.8,27.6,-9.6,37.3,-34.6,27.6,-9.6,37.3,-18,flip,-18,19.2,19.2,,reject_edge,,18
5,8,4,310,310,52,front,A,3.667,3.709,-0.042,29.8,32,-2.1,-25.9,-8,-17.8,32,-25.9,-8,-17.8,33.9,keep,-17.8,-16,16,,reject_edge,,17.8
26,7,3,250,250,51,front,A,2.369,2.57,-0.201,-28.6,-31.6,3,28.6,-11.6,40.2,-31.6,28.6,-11.6,40.2,-17,flip,-17,23.2,23.2,,reject_edge,,17
19,2,1,60,60,45,rear,A,0.839,0.883,-0.044,-15.4,-11.1,-4.3,-2.3,18.9,-21.3,-11.1,-2.3,18.9,-21.3,-16.6,flip,-16.6,4.7,4.7,,reject_edge,,16.6
25,7,2,60,60,50,rear,A,1.724,1.738,-0.014,-13.4,-11.4,-2,-2.3,18.6,-21,-11.4,-2.3,18.6,-21,-16.3,flip,-16.3,4.7,4.7,,reject_edge,,16.3
1,9,1,45,45,52,rear,A,0.702,0.77,-0.069,-19.4,-14.2,-5.2,14.7,30.8,-16.1,-14.2,14.7,30.8,-16.1,-45.4,keep,-16.1,-29.4,29.4,,reject_edge,,16.1
10,5,2,115,115,41,front,A,4.081,4.12,-0.038,-30,-41.5,11.4,-39,23.5,-62.5,-41.5,-39,23.5,-62.5,15.4,flip,15.4,47.1,47.1,,reject_edge,,15.4
14,4,3,250,250,48,front,A,2.824,2.899,-0.075,-27.3,-30.7,3.4,25.9,-10.7,36.6,-30.7,25.9,-10.7,36.6,-15.2,flip,-15.2,21.4,21.4,,reject_edge,,15.2
7,6,4,260,260,51,front,A,3.707,3.824,-0.117,-28.1,-33.2,5.1,-38.1,-23.2,-14.9,-33.2,-38.1,-23.2,-14.9,61.3,keep,-14.9,-46.4,46.4,,reject_edge,,14.9
25,7,2,60,60,33,front,A,3.084,3.168,-0.084,-23,-23,0,-21.9,7,-28.8,-23,-21.9,7,-28.8,14.9,flip,14.9,14,14,,weak_small_true_yaw,,14.9
23,6,2,65,65,57,front,A,4.55,4.627,-0.076,39.5,43.2,-3.7,35.8,-21.8,57.5,43.2,35.8,-21.8,57.5,-14,flip,-14,43.5,43.5,,reject_edge,,14
7,6,4,260,260,50,front,A,3.559,3.681,-0.122,-17.6,-16.5,-1.1,-20.1,-6.5,-13.6,-16.5,-20.1,-6.5,-13.6,26.6,keep,-13.6,-13,13,,weak_small_true_yaw,,13.6
28,8,2,110,110,32,front,A,3.323,3.164,0.159,26,27.1,-1.1,-20.5,7.1,-27.5,27.1,-20.5,7.1,-27.5,13.4,flip,13.4,14.1,14.1,,weak_small_true_yaw,,13.4
23,6,2,65,65,49,rear,A,1.908,1.901,0.007,-14.3,-9.5,-4.8,-2.3,15.5,-17.8,-9.5,-2.3,15.5,-17.8,-13.2,flip,-13.2,4.7,4.7,,poor_keep_flip_match,,13.2
20,2,2,70,70,39,front,A,3.043,3.16,-0.117,-24.6,-26.3,1.8,19.4,-6.3,25.7,-26.3,19.4,-6.3,25.7,-13.1,flip,-13.1,12.6,12.6,,weak_small_true_yaw,,13.1
3,9,3,295,295,52,front,A,2.651,2.706,-0.055,33.1,35,-1.9,22.7,10,12.7,35,22.7,10,12.7,-32.7,keep,12.7,-20,20,,reject_edge,,12.7
17,3,3,265,265,48,front,A,3.126,3.228,-0.102,-29.2,-33.2,4,-40.7,-28.2,-12.5,-33.2,-40.7,-28.2,-12.5,68.9,keep,-12.5,-56.4,56.4,,reject_edge,,12.5
16,3,4,280,280,45,front,A,3.966,4.07,-0.105,31.1,29.1,2,-31.4,19.1,-50.5,29.1,-31.4,19.1,-50.5,12.3,flip,12.3,38.2,38.2,,poor_keep_flip_match,,12.3
6,7,4,295,295,50,front,A,3.683,3.714,-0.03,32.3,34.6,-2.3,21.8,9.6,12.2,34.6,21.8,9.6,12.2,-31.3,keep,12.2,-19.1,19.1,,reject_edge,,12.2
21,2,3,265,265,47,front,A,3.153,3.255,-0.102,-28.6,-34.1,5.5,-40.8,-29.1,-11.7,-34.1,-40.8,-29.1,-11.7,69.9,keep,-11.7,-58.1,58.1,,reject_edge,,11.7
22,2,4,290,290,45,front,A,3.778,3.864,-0.085,26.2,25.1,1.1,16.3,5.1,11.2,25.1,16.3,5.1,11.2,-21.4,keep,11.2,-10.2,10.2,,weak_small_true_yaw,,11.2
10,5,2,115,115,49,rear,A,1.909,1.881,0.027,16.6,11.8,4.7,-2.3,-13.2,10.8,11.8,-2.3,-13.2,10.8,15.5,keep,10.8,-4.7,4.7,,reject_edge,,10.8
2,9,2,85,85,33,front,A,3.411,3.518,-0.107,-28,-31.9,3.9,-37.4,-26.9,-10.5,-31.9,-37.4,-26.9,-10.5,64.3,keep,-10.5,-53.8,53.8,,reject_edge,,10.5
9,5,3,245,245,35,rear,A,2.176,2.173,0.003,-13.6,-12.8,-0.8,-2.3,12.2,-14.6,-12.8,-2.3,12.2,-14.6,-9.9,flip,-9.9,4.7,4.7,,reject_edge,,9.9
13,4,2,65,65,47,rear,A,1.843,1.873,-0.031,-13.4,-12.9,-0.5,-2.3,12.1,-14.4,-12.9,-2.3,12.1,-14.4,-9.7,flip,-9.7,4.7,4.7,,reject_edge,,9.7
25,7,2,60,60,57,front,A,3.64,3.714,-0.074,31.9,32.4,-0.6,-37.1,-27.6,-9.5,32.4,-37.1,-27.6,-9.5,64.6,keep,-9.5,-55.1,55.1,,reject_edge,,9.5
11,5,1,115,115,42,front,A,4.027,4.126,-0.099,-29.8,-40.7,10.9,33.6,24.3,9.2,-40.7,33.6,24.3,9.2,-57.9,keep,9.2,-48.7,48.7,,reject_edge,,9.2
8,5,4,245,245,43,front,A,4.338,4.363,-0.025,32.5,34.5,-2,-39.5,-30.5,-9,34.5,-39.5,-30.5,-9,70,keep,-9,-61,61,,reject_edge,,9
9,5,3,245,245,44,front,A,4.327,4.377,-0.05,34.5,34.2,0.3,-39.8,-30.8,-9,34.2,-39.8,-30.8,-9,70.5,keep,-9,-61.6,61.6,,reject_edge,,9
1,9,1,45,45,31,front,A,3.034,3.109,-0.075,-25.4,-27.5,2.1,25.9,17.5,8.4,-27.5,25.9,17.5,8.4,-43.5,keep,8.4,-35.1,35.1,17.5,accept_keep_quantized,,8.4
