tag_id,camera_role,obs_count,used_count,rejected_count,reject_rate,mean_abs_distance_error_m,mean_abs_angle_error_deg,mean_abs_yaw_error_deg,used_mean_abs_distance_error_m,used_mean_abs_angle_error_deg,used_mean_abs_yaw_error_deg,yaw_accept_count,yaw_keep_accept_count,yaw_flip_accept_count,yaw_reject_edge_count,yaw_poor_match_count
31,front,4,4,0,0.0,0.053,2.4,2.7,0.053,2.4,2.7,4,4,0,0,0
32,front,4,4,0,0.0,0.0305,1.575,10.025,0.0305,1.575,10.025,3,3,0,0,0
32,rear,3,3,0,0.0,0.022333333333333334,1.4666666666666668,4.766666666666667,0.022333333333333334,1.4666666666666668,4.766666666666667,1,1,0,2,0
33,front,4,4,0,0.0,0.042,2.475,13.425,0.042,2.475,13.425,2,1,1,1,0
33,rear,3,3,0,0.0,0.057999999999999996,1.9000000000000001,5.033333333333333,0.057999999999999996,1.9000000000000001,5.033333333333333,0,0,0,2,0
34,front,6,6,0,0.0,0.05616666666666666,4.45,15.200000000000001,0.05616666666666666,4.45,15.200000000000001,3,2,1,2,0
34,rear,4,4,0,0.0,0.04125,1.15,1.975,0.04125,1.15,1.975,2,2,0,2,0
35,front,6,6,0,0.0,0.0365,2.5,18.333333333333332,0.0365,2.5,18.333333333333332,3,2,1,3,0
35,rear,4,4,0,0.0,0.030250000000000003,0.875,5.525,0.030250000000000003,0.875,5.525,2,2,0,2,0
36,front,7,7,0,0.0,0.02542857142857143,1.757142857142857,11.271428571428572,0.02542857142857143,1.757142857142857,11.271428571428572,3,3,0,1,0
36,rear,1,1,0,0.0,0.049,1.6,9.8,0.049,1.6,9.8,0,0,0,1,0
37,front,6,6,0,0.0,0.0295,1.9333333333333333,17.816666666666666,0.0295,1.9333333333333333,17.816666666666666,5,3,2,1,0
37,rear,1,1,0,0.0,0.005,1.8,3.7,0.005,1.8,3.7,0,0,0,1,0
38,front,6,6,0,0.0,0.04850000000000001,1.5833333333333333,16.65,0.04850000000000001,1.5833333333333333,16.65,4,3,1,1,0
38,rear,3,3,0,0.0,0.036333333333333336,2.533333333333333,6.433333333333334,0.036333333333333336,2.533333333333333,6.433333333333334,1,1,0,2,0
39,front,4,4,0,0.0,0.04275,2.6,27.85,0.04275,2.6,27.85,2,1,1,1,0
39,rear,2,2,0,0.0,0.0385,1.4,4.0,0.0385,1.4,4.0,1,1,0,1,0
40,front,2,2,0,0.0,0.1355,3.3499999999999996,38.949999999999996,0.1355,3.3499999999999996,38.949999999999996,2,1,1,0,0
41,front,4,4,0,0.0,0.03575,4.925,10.85,0.03575,4.925,10.85,2,2,0,2,0
42,front,3,3,0,0.0,0.018,5.866666666666667,6.7,0.018,5.866666666666667,6.7,1,1,0,2,0
43,front,4,4,0,0.0,0.017499999999999998,2.575,5.6,0.017499999999999998,2.575,5.6,2,2,0,2,0
44,front,4,4,0,0.0,0.05575,3.275,23.45,0.05575,3.275,23.45,1,1,0,3,0
