sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_quant_true_angle_deg,yaw_quant_meas_yaw_deg,yaw_quant_true_yaw_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_best_mode,yaw_best_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_quantized_deg,yaw_decision
1,2.0,1.0,60.0,60.0,34,front,A,6.02,6.06,-0.04,15.5,16.9,-1.4,43.4,46.9,-3.4,16.9,43.4,46.9,-3.4,-90.3,keep,-3.4,-86.9,86.9,46.9,accept_keep_quantized
1,2.0,1.0,60.0,60.0,36,front,A,4.432,4.451,-0.019,1.5,4.3,-2.8,28.5,34.3,-5.8,4.3,28.5,34.3,-5.8,-62.8,keep,-5.8,-57.0,57.0,34.3,accept_keep_quantized
1,2.0,1.0,60.0,60.0,37,front,A,4.444,4.432,0.012,-12.1,-9.3,-2.8,-23.8,20.7,-44.5,-9.3,-23.8,20.7,-44.5,3.1,flip,3.1,41.5,41.5,20.7,accept_flip_quantized
1,2.0,1.0,60.0,60.0,38,front,A,4.09,4.189,-0.099,-21.9,-21.7,-0.2,16.4,8.3,8.1,-21.7,16.4,8.3,8.1,-24.7,keep,8.1,-16.7,16.7,8.3,accept_keep_quantized
1,2.0,1.0,60.0,60.0,39,front,A,4.094,4.16,-0.065,-29.3,-34.9,5.6,27.8,-4.9,32.7,-34.9,27.8,-4.9,32.7,-22.9,flip,-22.9,9.8,9.8,,reject_edge
1,2.0,1.0,60.0,60.0,45,rear,A,0.833,0.883,-0.05,-9.3,-11.1,1.8,11.3,18.9,-7.6,-11.1,11.3,18.9,-7.6,-30.2,keep,-7.6,-22.6,22.6,,reject_edge
2,2.0,2.0,70.0,70.0,36,front,A,3.655,3.672,-0.017,24.2,23.3,0.9,39.3,43.3,-4.1,23.3,39.3,43.3,-4.1,-82.6,keep,-4.1,-78.5,78.5,43.3,accept_keep_quantized
2,2.0,2.0,70.0,70.0,37,front,A,3.484,3.515,-0.031,5.4,6.7,-1.3,24.0,26.7,-2.6,6.7,24.0,26.7,-2.6,-50.7,keep,-2.6,-48.1,48.1,26.7,accept_keep_quantized
2,2.0,2.0,70.0,70.0,38,front,A,3.169,3.2,-0.031,-10.8,-8.9,-1.9,6.2,11.1,-4.9,-8.9,6.2,11.1,-4.9,-17.3,keep,-4.9,-12.4,12.4,,ambiguous_low_separation
2,2.0,2.0,70.0,70.0,39,front,A,3.11,3.16,-0.049,-24.2,-26.3,2.1,17.9,-6.3,24.2,-26.3,17.9,-6.3,24.2,-11.6,flip,-11.6,12.6,12.6,,weak_small_true_yaw
