tag_id,camera_role,obs_count,mean_distance_error_m,mean_abs_angle_error_deg,shift_dx_m,shift_dy_m,shift_norm_m,shift_fit_rmse_m
31,rear,1,0.067,8.6,,,,
32,front,1,-0.05,5.9,,,,
33,front,1,-0.052,4.7,,,,
34,front,2,-0.085,2.2,-0.0259,-0.0937,0.0972,0.0
35,front,2,-0.052,2.9,0.0952,-0.032,0.1004,0.0
35,rear,1,-0.043,2.4,,,,
36,front,3,-0.0493,3.3,0.0721,-0.0457,0.0854,0.0257
37,front,2,-0.047,0.4,-0.0188,-0.0495,0.053,0.0
38,front,2,-0.078,1.35,0.1062,-0.064,0.124,0.0
39,front,1,-0.106,7.3,,,,
39,rear,1,-0.022,5.2,,,,
40,front,1,-0.001,3.1,,,,
41,front,1,-0.17,7.0,,,,
44,front,1,-0.02,2.7,,,,
45,front,2,-0.0485,3.05,-0.0632,0.0821,0.1036,0.0
45,rear,1,-0.035,4.2,,,,
46,front,2,-0.0565,1.85,0.2376,0.0139,0.238,0.0
47,front,2,0.039,0.65,0.1987,-0.039,0.2025,0.0
48,front,2,-0.091,1.2,-0.0132,0.0963,0.0972,0.0
49,front,1,-0.05,5.7,,,,
49,rear,1,-0.049,0.8,,,,
50,front,1,-0.06,0.9,,,,
51,front,1,0.021,0.8,,,,
52,front,1,-0.049,5.3,,,,
52,rear,1,-0.021,6.2,,,,
53,rear,1,0.071,4.4,,,,
57,rear,1,0.116,6.3,,,,
