tag_id,camera_role,obs_count,used_count,reject_count,reject_rate,mean_distance_error_m,median_distance_error_m,mean_abs_distance_error_m,p90_abs_distance_error_m,mean_angle_error_deg,mean_abs_angle_error_deg,p90_abs_angle_error_deg,mean_yaw_error_deg,mean_abs_yaw_error_deg,p90_abs_yaw_error_deg,shift_dx_m,shift_dy_m,shift_norm_m,shift_fit_rmse_m
31,rear,1,1,0,0.0,0.067,0.067,0.067,0.067,8.6,8.6,8.6,5.5,5.5,5.5,,,,
32,front,1,1,0,0.0,-0.05,-0.05,0.05,0.05,5.9,5.9,5.9,-34.7,34.7,34.7,,,,
33,front,1,1,0,0.0,-0.052,-0.052,0.052,0.052,4.7,4.7,4.7,-3.4,3.4,3.4,,,,
34,front,2,1,1,0.5,-0.085,-0.085,0.085,0.0946,2.2,2.2,2.84,-29.7,30.3,54.06,-0.0259,-0.0937,0.0972,0.0
35,front,2,2,0,0.0,-0.052,-0.052,0.052,0.0776,2.9,2.9,3.38,6.55,6.55,11.15,0.0952,-0.032,0.1004,0.0
35,rear,1,1,0,0.0,-0.043,-0.043,0.043,0.043,2.4,2.4,2.4,-3.2,3.2,3.2,,,,
36,front,3,2,1,0.333,-0.0493,-0.022,0.0493,0.0892,3.3,3.3,6.1,36.67,38.93,84.06,0.0721,-0.0457,0.0854,0.0257
37,front,2,2,0,0.0,-0.047,-0.047,0.047,0.0518,0.3,0.4,0.64,-0.2,4.6,4.76,-0.0188,-0.0495,0.053,0.0
38,front,2,2,0,0.0,-0.078,-0.078,0.078,0.102,1.05,1.35,2.19,1.3,1.3,1.54,0.1062,-0.064,0.124,0.0
39,front,1,1,0,0.0,-0.106,-0.106,0.106,0.106,7.3,7.3,7.3,30.9,30.9,30.9,,,,
39,rear,1,1,0,0.0,-0.022,-0.022,0.022,0.022,5.2,5.2,5.2,0.6,0.6,0.6,,,,
40,front,1,1,0,0.0,-0.001,-0.001,0.001,0.001,3.1,3.1,3.1,-2.8,2.8,2.8,,,,
41,front,1,0,1,1.0,-0.17,-0.17,0.17,0.17,7.0,7.0,7.0,-80.5,80.5,80.5,,,,
44,front,1,1,0,0.0,-0.02,-0.02,0.02,0.02,2.7,2.7,2.7,-6.8,6.8,6.8,,,,
45,front,2,1,1,0.5,-0.0485,-0.0485,0.0485,0.0705,3.05,3.05,3.97,-56.55,56.55,77.47,-0.0632,0.0821,0.1036,0.0
45,rear,1,1,0,0.0,-0.035,-0.035,0.035,0.035,4.2,4.2,4.2,-4.7,4.7,4.7,,,,
46,front,2,2,0,0.0,-0.0565,-0.0565,0.0795,0.1247,1.85,1.85,2.61,-34.2,34.2,58.68,0.2376,0.0139,0.238,0.0
47,front,2,2,0,0.0,0.039,0.039,0.071,0.1022,0.65,0.65,1.17,18.3,21.8,36.44,0.1987,-0.039,0.2025,0.0
48,front,2,2,0,0.0,-0.091,-0.091,0.091,0.0934,1.2,1.2,1.28,0.55,1.45,1.89,-0.0132,0.0963,0.0972,0.0
49,front,1,1,0,0.0,-0.05,-0.05,0.05,0.05,5.7,5.7,5.7,28.5,28.5,28.5,,,,
49,rear,1,1,0,0.0,-0.049,-0.049,0.049,0.049,-0.8,0.8,0.8,-2.8,2.8,2.8,,,,
50,front,1,1,0,0.0,-0.06,-0.06,0.06,0.06,-0.9,0.9,0.9,-4.9,4.9,4.9,,,,
51,front,1,1,0,0.0,0.021,0.021,0.021,0.021,-0.8,0.8,0.8,-6.3,6.3,6.3,,,,
52,front,1,1,0,0.0,-0.049,-0.049,0.049,0.049,5.3,5.3,5.3,14.9,14.9,14.9,,,,
52,rear,1,1,0,0.0,-0.021,-0.021,0.021,0.021,6.2,6.2,6.2,-2.0,2.0,2.0,,,,
53,rear,1,1,0,0.0,0.071,0.071,0.071,0.071,4.4,4.4,4.4,0.6,0.6,0.6,,,,
57,rear,1,1,0,0.0,0.116,0.116,0.116,0.116,6.3,6.3,6.3,9.4,9.4,9.4,,,,
