tag_id,camera_role,obs_count,mean_distance_error_m,mean_abs_angle_error_deg,shift_dx_m,shift_dy_m,shift_norm_m,shift_fit_rmse_m
31,front,6,0.0975,3.9,0.2572,-0.0509,0.2622,0.0283
32,front,5,-0.0466,2.48,0.0219,-0.0539,0.0582,0.0322
32,rear,1,-0.046,4.8,,,,
33,front,5,-0.0706,1.64,0.0446,-0.0797,0.0913,0.0361
33,rear,1,-0.055,4.4,,,,
34,front,4,-0.0783,3.27,0.0301,-0.0835,0.0888,0.01
34,rear,1,-0.048,3.3,,,,
35,front,3,-0.0713,2.6,0.0895,-0.0554,0.1052,0.0064
35,rear,3,0.0207,6.53,0.1354,0.0027,0.1354,0.004
36,front,4,-0.0415,1.12,0.0674,-0.0396,0.0782,0.0259
36,rear,3,-0.018,7.33,-0.0349,-0.0116,0.0368,0.0077
37,front,2,-0.0745,1.9,0.0551,-0.063,0.0837,0.0
37,rear,1,-0.022,8.2,,,,
38,front,4,-0.0865,2.95,0.104,-0.0677,0.1241,0.0124
38,rear,2,-0.0215,7.25,0.0931,-0.0272,0.097,0.0
39,front,4,-0.0777,1.57,0.0528,-0.0635,0.0826,0.027
39,rear,1,-0.025,7.1,,,,
40,front,3,-0.1107,0.83,0.1155,-0.0425,0.1231,0.013
41,front,4,-0.1035,3.07,0.1397,0.0256,0.1421,0.0092
42,front,6,-0.0318,2.3,0.0504,-0.0873,0.1008,0.0256
43,front,4,0.0112,2.08,-0.0018,-0.0197,0.0198,0.0326
44,front,5,-0.0486,3.12,0.0701,-0.0137,0.0714,0.0459
44,rear,1,-0.041,4.7,,,,
45,front,6,-0.0318,1.78,0.1208,-0.0113,0.1213,0.032
45,rear,1,-0.038,3.2,,,,
46,front,7,-0.0589,1.96,0.0793,0.0467,0.092,0.0328
47,front,7,-0.0277,3.14,0.0436,0.0268,0.0512,0.055
47,rear,1,0.021,3.0,,,,
48,front,5,-0.0536,3.6,-0.0367,0.0618,0.0719,0.0217
48,rear,1,0.04,3.3,,,,
49,front,5,-0.0258,4.86,-0.004,0.028,0.0283,0.0232
49,rear,5,0.036,5.0,0.0583,-0.0182,0.0611,0.0368
50,front,3,-0.065,1.97,-0.0347,0.0632,0.0721,0.0018
50,rear,2,-0.039,2.7,0.0328,0.0268,0.0424,0.0
51,front,5,-0.0656,1.08,0.0073,0.0693,0.0697,0.055
51,rear,2,-0.0365,0.6,0.2577,-0.1002,0.2765,0.0
52,front,4,-0.0072,2.0,0.0599,0.0455,0.0752,0.029
52,rear,3,-0.0193,4.07,0.1086,-0.001,0.1086,0.0089
53,front,5,-0.006,2.02,0.064,0.0361,0.0735,0.023
53,rear,1,0.04,4.7,,,,
54,front,3,0.18,2.47,0.2239,0.1044,0.247,0.0126
55,front,8,0.1601,2.65,0.2156,0.0388,0.2191,0.031
56,front,8,0.1606,3.71,0.1925,0.0191,0.1935,0.0244
57,front,5,0.1492,2.86,0.2316,-0.0201,0.2324,0.0303
58,front,2,0.161,2.65,0.2609,0.0231,0.2619,0.0
