tag_id,camera_role,obs_count,used_count,reject_count,reject_rate,mean_distance_error_m,median_distance_error_m,mean_abs_distance_error_m,p90_abs_distance_error_m,mean_angle_error_deg,mean_abs_angle_error_deg,p90_abs_angle_error_deg,mean_yaw_error_deg,mean_abs_yaw_error_deg,p90_abs_yaw_error_deg,shift_dx_m,shift_dy_m,shift_norm_m,shift_fit_rmse_m
31,front,6,6,0,0.0,0.0975,0.089,0.0975,0.1775,3.9,3.9,6.5,3.1,3.73,7.4,0.2572,-0.0509,0.2622,0.0283
32,front,5,5,0,0.0,-0.0466,-0.068,0.0466,0.075,1.32,2.48,4.44,6.72,9.56,17.3,0.0219,-0.0539,0.0582,0.0322
32,rear,1,1,0,0.0,-0.046,-0.046,0.046,0.046,4.8,4.8,4.8,1.7,1.7,1.7,,,,
33,front,5,5,0,0.0,-0.0706,-0.068,0.0706,0.1132,1.64,1.64,4.02,3.9,7.14,10.82,0.0446,-0.0797,0.0913,0.0361
33,rear,1,1,0,0.0,-0.055,-0.055,0.055,0.055,4.4,4.4,4.4,-1.6,1.6,1.6,,,,
34,front,4,4,0,0.0,-0.0783,-0.074,0.0783,0.0959,2.58,3.27,7.27,-4.8,8.1,19.86,0.0301,-0.0835,0.0888,0.01
34,rear,1,1,0,0.0,-0.048,-0.048,0.048,0.048,3.3,3.3,3.3,-1.6,1.6,1.6,,,,
35,front,3,3,0,0.0,-0.0713,-0.06,0.0713,0.0976,0.67,2.6,3.62,0.17,1.37,1.88,0.0895,-0.0554,0.1052,0.0064
35,rear,3,3,0,0.0,0.0207,0.028,0.0533,0.0762,6.53,6.53,6.82,-9.37,9.57,18.16,0.1354,0.0027,0.1354,0.004
36,front,4,4,0,0.0,-0.0415,-0.0435,0.052,0.0874,0.82,1.12,2.53,-0.55,7.4,11.93,0.0674,-0.0396,0.0782,0.0259
36,rear,3,3,0,0.0,-0.018,-0.011,0.018,0.0318,7.33,7.33,9.06,3.67,5.2,11.06,-0.0349,-0.0116,0.0368,0.0077
37,front,2,2,0,0.0,-0.0745,-0.0745,0.0745,0.0789,1.9,1.9,2.7,-16.0,16.0,27.12,0.0551,-0.063,0.0837,0.0
37,rear,1,1,0,0.0,-0.022,-0.022,0.022,0.022,8.2,8.2,8.2,-17.7,17.7,17.7,,,,
38,front,4,4,0,0.0,-0.0865,-0.079,0.0865,0.1184,1.8,2.95,4.67,3.23,11.43,22.91,0.104,-0.0677,0.1241,0.0124
38,rear,2,2,0,0.0,-0.0215,-0.0215,0.0215,0.0387,7.25,7.25,7.85,-5.5,13.2,17.6,0.0931,-0.0272,0.097,0.0
39,front,4,4,0,0.0,-0.0777,-0.0655,0.0777,0.1082,1.57,1.57,2.6,2.6,10.85,22.11,0.0528,-0.0635,0.0826,0.027
39,rear,1,1,0,0.0,-0.025,-0.025,0.025,0.025,7.1,7.1,7.1,6.7,6.7,6.7,,,,
40,front,3,3,0,0.0,-0.1107,-0.116,0.1107,0.1272,-0.1,0.83,1.26,-1.9,4.77,5.3,0.1155,-0.0425,0.1231,0.013
41,front,4,4,0,0.0,-0.1035,-0.1035,0.1035,0.1315,2.08,3.07,5.55,-9.4,9.4,19.23,0.1397,0.0256,0.1421,0.0092
42,front,6,6,0,0.0,-0.0318,-0.045,0.0602,0.093,1.97,2.3,4.05,-1.48,6.18,9.3,0.0504,-0.0873,0.1008,0.0256
43,front,4,4,0,0.0,0.0112,0.0065,0.0283,0.0534,0.38,2.08,2.7,-0.85,1.1,1.97,-0.0018,-0.0197,0.0198,0.0326
44,front,5,4,1,0.2,-0.0486,-0.034,0.0546,0.1038,3.12,3.12,4.98,9.58,27.74,63.94,0.0701,-0.0137,0.0714,0.0459
44,rear,1,1,0,0.0,-0.041,-0.041,0.041,0.041,4.7,4.7,4.7,-3.5,3.5,3.5,,,,
45,front,6,5,1,0.167,-0.0318,-0.021,0.0402,0.0835,0.78,1.78,2.65,-15.35,15.48,40.45,0.1208,-0.0113,0.1213,0.032
45,rear,1,1,0,0.0,-0.038,-0.038,0.038,0.038,3.2,3.2,3.2,-11.8,11.8,11.8,,,,
46,front,7,7,0,0.0,-0.0589,-0.059,0.0611,0.1014,1.79,1.96,4.16,3.91,8.51,17.58,0.0793,0.0467,0.092,0.0328
47,front,7,6,1,0.143,-0.0277,-0.045,0.0574,0.0956,3.09,3.14,6.8,-9.66,26.09,53.36,0.0436,0.0268,0.0512,0.055
47,rear,1,1,0,0.0,0.021,0.021,0.021,0.021,3.0,3.0,3.0,-2.0,2.0,2.0,,,,
48,front,5,5,0,0.0,-0.0536,-0.052,0.0536,0.0812,3.16,3.6,5.72,-5.14,7.7,13.54,-0.0367,0.0618,0.0719,0.0217
48,rear,1,1,0,0.0,0.04,0.04,0.04,0.04,3.3,3.3,3.3,-4.9,4.9,4.9,,,,
49,front,5,5,0,0.0,-0.0258,-0.026,0.0258,0.0522,3.98,4.86,10.84,-2.16,15.52,23.18,-0.004,0.028,0.0283,0.0232
49,rear,5,5,0,0.0,0.036,0.013,0.0412,0.0946,5.0,5.0,6.76,-2.04,2.28,3.3,0.0583,-0.0182,0.0611,0.0368
